player,club,games_played,games_started,mins,sub,goals,pass,assists,total_scoring_attempts,on_target_scoring_attempts,key_passes,expected_goals,fouls,fouls_suffered,offside,yellow_cards,total_red_cards
guilherme-biro,ATX,6,6,515,0,1,82,0,2,1,5,0.2,3,3,0,1
tristan-blackmon,VAN,5,5,450,0,1,91.4,0,4,1,2,0.46,6,6,0,1
ousseni-bouda-x9038,SJ,6,3,271,3,1,76.1,0,11,5,1,1.13,5,4,1,1
brandt-bronico,CLT,6,5,425,1,1,82.4,0,1,1,1,0.75,7,0,0,2
osman-bukari,ATX,6,5,428,1,1,85.7,1,12,3,8,1.27,5,3,3,0
leonardo-alves-chu-franco,DAL,2,2,122,0,1,76,0,5,1,1,0.69,2,1,1,0
vitor-costa-de-brito,SJ,3,0,38,3,1,78.6,0,2,1,1,0.41,0,1,0,0
david-da-costa,POR,6,5,483,1,1,84,2,9,2,9,0.95,1,3,1,0
bruno-damiani,PHI,5,1,193,4,1,73.7,0,9,7,5,2.25,7,6,0,1
luca-de-la-torre,SD,6,6,469,0,1,88.5,1,7,3,6,0.5,9,0,1,1
hassani-dotson,MIN,5,5,375,0,1,76.9,0,2,2,6,0.13,4,2,0,2
jeremy-ebobisse,LAFC,3,3,219,0,1,76.7,0,4,2,1,0.38,4,1,1,0
boris-enow,DC,6,5,368,1,1,84.7,0,3,1,1,0.27,10,4,0,1
franco-escobar,HOU,6,5,350,1,1,88.8,0,2,1,1,0.26,4,3,0,2
logan-farrington,DAL,6,2,228,4,1,72.2,0,3,2,3,0.32,3,8,2,1
julian-fernandez,NYC,6,4,313,2,1,79.8,2,7,3,5,0.55,4,3,0,0
deybi-flores,TOR,5,3,292,2,1,80.7,0,5,3,0,0.68,6,5,0,1
jon-gallagher,ATX,6,3,326,3,1,74.5,0,4,1,2,0.46,3,2,0,1
emiro-garces-x0776,LA,5,3,235,2,1,95.7,0,2,1,1,0.14,3,3,0,0
ryan-gauld,VAN,3,3,199,0,1,84.2,1,5,3,5,0.8,2,1,0,1
dennis-gjengaar,RBNY,2,2,177,0,1,89,0,6,3,0,1.16,2,0,1,0
ian-glavinovich,PHI,3,2,167,1,1,81.8,0,3,1,0,0.48,2,3,0,1
diogo-goncalves-x8534,RSL,6,5,427,1,1,84.6,1,13,7,9,1.19,7,3,1,0
calvin-harris,COL,4,0,104,4,1,81.5,0,5,1,0,1.31,1,1,0,0
marcel-hartel,STL,6,6,536,0,1,77.9,0,13,5,16,1.34,1,4,2,0
ryan-hollingshead,LAFC,6,3,359,3,1,88.7,0,7,3,3,1.52,4,7,1,0
mitja-ilenic,NYC,6,5,532,1,1,82,0,4,2,3,0.32,6,8,0,0
marcus-ingvartsen,SD,4,4,315,0,1,80,0,11,4,3,1.58,11,6,2,0
tate-johnson,VAN,3,2,192,1,1,86.1,0,1,1,0,0.36,1,5,0,0
anderson-julio,DAL,3,3,241,0,1,79.2,1,6,4,4,1.15,4,3,3,1
kevin-kelsy,POR,6,2,239,4,1,82,0,5,2,1,0.86,3,2,2,0
hosei-kijima,DC,6,6,474,0,1,86.8,0,4,1,4,0.44,6,6,2,0
kalani-kossa-rienzi,SEA,3,2,149,1,1,87.1,0,1,1,0,0.2,1,0,1,0
rominigue-kouame,CHI,2,0,36,2,1,81.3,0,2,2,0,0.32,1,2,0,0
yuya-kubo,CIN,5,5,374,0,1,80.3,0,10,4,5,0.97,5,2,5,1
mathias-laborda,VAN,6,6,529,0,1,91.6,0,10,2,5,1.8,7,2,0,0
beau-lerouox,SJ,6,5,389,1,1,86,1,7,4,7,1,2,4,0,1
nicolas-lodeiro,HOU,6,4,337,2,1,83.9,0,5,2,5,0.23,7,12,0,0
aaron-long,LAFC,5,5,405,0,1,94,0,1,1,1,0.86,2,3,0,0
eduard-lowen,STL,5,5,348,0,1,85.3,0,3,1,6,0.22,6,4,0,2
diego-luna,RSL,5,5,419,0,1,82.7,2,8,1,5,0.73,8,4,0,1
lukas-macnaughton,DC,2,1,99,1,1,90.6,0,2,1,0,0.6,3,1,0,1
adilson-malanda,CLT,6,6,540,0,1,87.1,1,3,1,1,1.08,1,1,0,2
josef-martinez,SJ,5,4,325,1,1,83.8,0,9,6,4,2.08,0,0,4,0
pedro-fonseca-x5893,DAL,4,2,146,2,1,73.2,0,3,1,0,0.79,1,1,0,0
christopher-mcvey,SD,6,6,540,0,1,93.6,0,3,1,2,0.53,7,1,0,2
alex-mighten,SD,3,1,113,2,1,90,0,4,2,1,1.5,0,3,0,0
aleksey-miranchuk,ATL,6,6,523,0,1,84.4,0,16,6,13,1.37,8,2,2,0
edwin-mosquera,ATL,4,0,47,4,1,69.6,0,4,2,0,0.24,3,0,0,2
hany-mukhtar,NSH,6,6,522,0,1,84.2,2,24,9,12,3.94,9,8,7,0
jacob-murrell,DC,6,1,183,5,1,62.9,1,4,2,2,0.51,5,0,0,0
alex-muyl,NSH,6,6,488,0,1,77.3,0,8,4,10,1.36,6,3,2,0
andy-najar,NSH,5,4,376,1,1,80.4,0,7,2,5,0.28,8,2,0,0
franco-negri,SD,6,4,294,2,1,87,0,3,1,3,0.22,5,2,0,3
jayden-nelson,VAN,5,4,274,1,1,85,4,7,3,6,0.63,11,3,1,1
nathan-ordaz,LAFC,6,3,302,3,1,93.3,1,6,3,4,1.56,2,5,4,1
jonathan-osorio,TOR,5,5,450,0,1,87.8,1,2,2,0,0.96,8,11,2,0
prince-osei-owusu,MTL,6,6,523,0,1,68,1,12,4,6,2.75,13,14,7,0
gabriel-pec,LA,6,6,540,0,1,86.8,1,27,9,3,1.49,11,7,1,3
jonathan-perez,NSH,4,1,103,3,1,81,0,3,2,0,0.14,1,2,0,0
fafa-picault,MIA,3,2,104,1,1,62.5,1,2,1,0,0.33,4,1,2,0
ariath-piol,RSL,4,4,229,0,1,71.4,0,4,1,2,0.94,3,3,3,0
ezequiel-ponce,HOU,6,6,534,0,1,87,1,12,1,4,2.16,16,8,6,2
jamar-ricketts,SJ,5,5,386,0,1,79.4,0,3,1,3,0.42,7,5,1,0
daniel-rios,VAN,5,1,110,4,1,74.2,0,3,1,0,0.44,0,0,1,0
rodrigues,SJ,5,4,404,1,1,81.8,0,3,2,1,0.75,2,8,0,1
cristian-roldan,SEA,6,5,458,1,1,89.7,3,9,3,5,0.52,5,17,2,0
keegan-rosenberry,COL,6,6,526,0,1,73.1,1,3,2,0,0.07,3,0,1,0
sigurd-rosted,TOR,4,3,314,1,1,83.5,0,2,1,1,0.25,2,6,0,1
paul-rothrock,SEA,6,6,439,0,1,79.1,1,9,3,7,0.81,7,10,2,0
nathan-dylan-saliba,MTL,5,5,441,0,1,83.3,0,6,2,2,1.1,4,7,0,2
dante-sealy,MTL,3,3,253,0,1,74,0,5,2,5,0.59,5,6,0,1
artem-smolyakov,LAFC,5,2,173,3,1,84.4,0,1,1,0,0.03,2,3,0,0
mohammed-sofo,RBNY,2,1,98,1,1,100,0,3,3,0,0.9,2,0,1,0
luis-suarez,MIA,5,5,380,0,1,80.8,4,8,1,10,1.18,6,11,2,2
sam-surridge,NSH,6,6,540,0,1,64.7,1,15,8,9,2.85,14,17,4,0
robert-taylor,MIA,3,1,152,2,1,80,0,5,2,2,1.36,0,1,1,0
cedric-teuchert,STL,5,4,252,1,1,78.1,1,6,2,3,1.34,3,4,5,0
erik-thommy,SKC,6,5,383,1,1,84,0,10,1,4,0.49,7,10,1,0
dagur-thorhallsson,ORL,6,1,122,5,1,80.3,0,1,1,2,0.27,0,3,0,0
mikael-uhre,PHI,6,6,410,0,1,79.8,0,11,6,6,1.37,8,9,6,1
cengiz-under,LAFC,3,3,202,0,1,81.5,0,5,1,3,1.23,0,3,0,0
myrto-uzuni,ATX,4,3,278,1,1,81.3,0,8,4,5,1.47,2,1,2,1
kerwin-vargas,CLT,6,2,219,4,1,80.8,0,12,4,2,1.18,2,4,0,0
brandon-vazquez,ATX,6,6,533,0,1,59.8,0,18,8,4,2.09,17,11,5,3
pedro-vite,VAN,5,4,388,1,1,85.1,3,7,5,6,0.38,2,10,0,0
ashley-westwood,CLT,6,6,540,0,1,85.3,0,2,1,2,0.63,9,5,0,0
brian-white,VAN,5,5,442,0,1,79.3,0,14,7,5,3.23,3,6,2,1
wilfried-zaha,CLT,5,5,450,0,1,87,0,9,4,4,0.62,9,17,1,1
luis-abram,ATL,4,2,200,2,0,87.2,0,1,0,0,0.1,1,1,0,0
lalas-abubakar,DAL,3,0,11,3,0,75,0,0,0,0,0,0,0,0,0
kellyn-acosta,CHI,3,3,210,0,0,89.2,0,1,1,0,0.04,3,5,0,0
chase-mesner-adams,CLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leonardo-frugis-afonso,MIA,1,0,8,1,0,100,0,0,0,0,0,3,0,0,1
stephen-afrifa,SKC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
william-agada,SKC,4,1,93,3,0,89.5,0,6,0,2,1.08,3,1,0,0
ali-ahmed,VAN,5,3,287,2,0,87.4,1,6,1,3,0.64,1,8,1,0
jordi-alba,MIA,5,5,450,0,0,80.4,3,4,1,6,0.25,4,6,1,3
aliyu-ibrahim,HOU,5,2,153,3,0,71.4,0,1,0,0,0.04,6,1,4,1
noah-allen,MIA,5,4,363,1,0,91.8,0,0,0,0,0,3,3,0,1
alejandro-alvarado,SD,4,1,121,3,0,91,0,1,0,1,0.09,6,2,0,0
fernando-alvarez,MTL,4,1,95,3,0,85.5,0,0,0,0,0,3,1,0,0
pedro-amador,ATL,3,3,264,0,0,84.1,0,2,0,3,0.07,2,1,0,1
prince-amponsah,NYC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malte-amundsen,CLB,5,4,337,1,0,90.3,1,2,0,2,0.07,4,2,0,1
tomas-angel,SD,6,3,234,3,0,87,2,5,1,5,0.48,4,0,0,1
ivan-angulo,ORL,6,6,479,0,0,83.3,2,7,2,6,0.91,4,6,0,2
tah-brian-anunga,CIN,5,2,206,3,0,89.1,0,0,0,1,0,1,0,0,0
christopher-applewhite,NSH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paul-arriola,SEA,2,0,74,2,0,75.7,0,1,0,0,0.09,4,0,1,0
exon-arzu,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
josh-atencio,COL,5,5,390,0,0,83.3,0,2,0,2,0.3,4,1,0,0
eduard-atuesta,ORL,6,6,516,0,0,80.5,2,7,1,14,0.45,16,8,1,3
julian-aude,LA,6,3,364,3,0,91.2,0,0,0,2,0,7,8,0,0
chidozie-awaziem-x7795,COL,6,6,514,0,0,80.6,0,3,1,2,0.51,5,3,0,1
obafemi-awodesu,HOU,6,6,540,0,0,86.6,0,2,0,1,0.24,4,4,1,2
david-ayala,POR,6,6,452,0,0,86.9,0,7,1,3,0.59,2,5,0,1
dominique-badji,DC,5,0,87,5,0,74.3,0,3,1,0,0.78,4,2,0,0
jeevan-badwal-x1100,VAN,4,0,46,4,0,70,0,0,0,0,0,1,0,0,1
andrew-baiera,NYC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
corey-baird,CIN,6,1,199,5,0,88.8,0,4,0,6,1.32,1,3,0,1
cody-baker,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reed-baker-whiting-x4772,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mounsef-bakrar,NYC,6,2,161,4,0,73,0,2,1,1,0.07,7,3,0,1
