name;club;games_played;games_started;mins;goals;left_footed_shots;right_footed_shots;goals_average_over_90_minutes;headed_shots;penalty_kick_goals;penalty_kick_taken;expected_goals;total_scoring_attempts;on_target_scoring_attempts;accurate_shooting_percentage;shots_conversion;offside;corner_kicks;goals_plus_assists
carlos-ruiz;LA;26;25;2331;15;0;0;0.58;0;7;8;0;84;51;0;17.9;46;0;20
taylor-twellman;NE;22;20;1893;15;0;0;0.71;0;0;1;0;90;47;0;16.7;23;0;19
ante-razov;CHI;26;25;2270;14;0;0;0.56;0;5;6;0;119;67;0;11.8;37;0;20
john-spencer;COL;27;25;2265;14;0;0;0.56;0;4;5;0;81;37;0;17.3;24;0;19
landon-donovan;SJ;22;21;1882;12;0;0;0.57;0;1;1;0;53;30;0;22.6;6;0;18
brian-mcbride;CLB;24;23;2183;12;0;0;0.49;0;2;2;0;68;34;0;17.6;15;0;15
preki;SKC;30;30;2678;12;0;0;0.4;0;5;6;0;92;34;0;13;3;0;29
mark-chung;COL;29;29;2639;11;0;0;0.38;0;0;0;0;78;39;0;14.1;6;0;17
damani-ralph;CHI;25;22;1985;11;0;0;0.5;0;1;1;0;91;36;0;12.1;22;0;17
edson-buddle;CLB;21;16;1509;10;0;0;0.6;0;0;0;0;59;26;0;16.9;21;0;14
pat-noonan;NE;28;17;1646;10;0;0;0.55;0;0;0;0;44;24;0;22.7;5;0;17
clint-mathis;RBNY;22;22;2019;9;0;0;0.4;0;1;3;0;84;35;0;10.7;14;0;10
damarcus-beasley;CHI;22;20;1969;7;0;0;0.32;0;0;0;0;45;16;0;15.6;9;0;12
jason-kreis;DAL;18;18;1543;7;0;0;0.41;0;1;2;0;42;21;0;16.7;17;0;9
mike-magee;RBNY;29;19;1709;7;0;0;0.37;0;0;0;0;44;25;0;15.9;11;0;9
igor-simutenkov;SKC;21;19;1435;7;0;0;0.44;0;0;0;0;43;25;0;16.3;11;0;10
brian-ching;SJ;15;14;1235;6;0;0;0.44;0;0;0;0;39;17;0;15.4;13;0;8
brad-davis;DAL;26;21;1910;6;0;0;0.28;0;2;2;0;41;16;0;14.6;7;0;11
marco-etcheverry;DC;25;21;2006;6;0;0;0.27;0;5;5;0;27;13;0;22.2;4;0;13
brian-kamler;NE;28;28;2322;6;0;0;0.23;0;0;0;0;37;18;0;16.2;2;0;11
chris-klein;SKC;27;27;2527;6;0;0;0.21;0;0;0;0;37;16;0;16.2;14;0;10
dema-kovalenko;DC;26;26;2401;6;0;0;0.22;0;0;0;0;26;14;0;23.1;1;0;6
alejandro-moreno;LA;24;10;1117;6;0;0;0.48;0;0;0;0;19;12;0;31.6;8;0;8
brian-mullan;SJ;30;30;2723;6;0;0;0.2;0;0;0;0;38;19;0;15.8;15;0;15
jeff-cunningham;CLB;21;13;1405;5;0;0;0.32;0;1;1;0;49;23;0;10.2;26;0;12
jesse-marsch;CHI;19;16;1465;5;0;0;0.31;0;1;1;0;20;10;0;25;2;0;5
zizi-roberts;COL;12;8;729;5;0;0;0.62;0;0;0;0;27;16;0;18.5;10;0;5
hristo-stoitchkov;DC;21;9;901;5;0;0;0.5;0;2;2;0;30;12;0;16.7;8;0;10
john-wolyniec;RBNY;25;14;1385;5;0;0;0.32;0;0;0;0;39;20;0;12.8;15;0;7
