name;club;games_played;games_started;mins;goals;left_footed_shots;right_footed_shots;goals_average_over_90_minutes;headed_shots;penalty_kick_goals;penalty_kick_taken;expected_goals;total_scoring_attempts;on_target_scoring_attempts;accurate_shooting_percentage;shots_conversion;offside;corner_kicks;goals_plus_assists
stern-john;CLB;27;25;2170;26;0;0;1.08;0;1;1;0;116;47;0;22.4;39;0;31
cobi-jones;LA;24;24;2136;19;0;0;0.8;0;0;1;0;63;41;0;30.2;21;0;32
raul-diaz-arce;NE;32;32;2878;18;0;0;0.56;0;3;4;0;90;51;0;20;44;0;26
roy-lassiter;DC;25;23;2151;18;0;0;0.75;0;3;3;0;85;46;0;21.2;30;0;24
welton;LA;31;29;2435;17;0;0;0.63;0;0;0;0;63;37;0;27;33;0;28
jaime-moreno;DC;31;31;2610;16;0;0;0.55;0;3;5;0;87;48;0;18.4;15;0;27
giovanni-savarese;RBNY;30;25;2163;14;0;0;0.58;0;1;2;0;61;37;0;22.9;23;0;21
ronald-cerritos;SJ;31;30;2702;13;0;0;0.43;0;1;2;0;87;50;0;14.9;41;0;25
mauricio-cienfuegos;LA;30;30;2640;13;0;0;0.44;0;4;5;0;36;25;0;36.1;9;0;29
wolde-harris;COL;27;10;1133;13;0;0;1.03;0;1;1;0;42;22;0;30.9;19;0;17
paul-bravo;COL;30;30;2579;11;0;0;0.38;0;1;2;0;90;39;0;12.2;17;0;19
mo-johnston;SKC;26;23;2080;11;0;0;0.48;0;0;0;0;60;34;0;18.3;9;0;13
diego-serna;MIA;26;23;1988;11;0;0;0.5;0;0;0;0;77;38;0;14.3;14;0;20
marco-etcheverry;DC;29;29;2590;10;0;0;0.35;0;0;0;0;72;37;0;13.9;10;0;29
eduardo-hurtado;RBNY;27;26;2351;10;0;0;0.38;0;0;0;0;97;45;0;10.3;22;0;24
brian-mcbride;CLB;24;24;2117;10;0;0;0.43;0;2;3;0;80;30;0;12.5;17;0;17
ross-paule;COL;30;29;2503;10;0;0;0.36;0;0;0;0;46;26;0;21.7;2;0;16
preki;SKC;25;24;2164;10;0;0;0.42;0;3;4;0;86;33;0;11.6;5;0;23
ante-razov;CHI;30;24;2091;10;0;0;0.43;0;0;0;0;88;41;0;11.4;32;0;19
roman-kosecki;CHI;25;25;1999;9;0;0;0.41;0;0;0;0;70;35;0;12.9;12;0;18
jason-kreis;DAL;30;30;2578;9;0;0;0.31;0;0;1;0;97;39;0;9.3;11;0;17
mauricio-ramos;TB;22;21;1932;9;0;0;0.42;0;0;0;0;85;29;0;10.6;1;0;18
jeff-cunningham;CLB;25;8;1076;8;0;0;0.67;0;0;0;0;47;20;0;17;12;0;9
jim-rooney;RBNY;28;23;2040;8;0;0;0.35;0;0;0;0;68;28;0;11.8;4;0;13
josh-wolff;CHI;14;4;651;8;0;0;1.11;0;0;0;0;23;14;0;34.8;6;0;11
edwin-gorter;NE;28;27;2394;7;0;0;0.26;0;0;0;0;72;25;0;9.7;3;0;14
