name;club;games_played;games_started;mins;goals;left_footed_shots;right_footed_shots;goals_average_over_90_minutes;headed_shots;penalty_kick_goals;penalty_kick_taken;expected_goals;total_scoring_attempts;on_target_scoring_attempts;accurate_shooting_percentage;shots_conversion;offside;corner_kicks;goals_plus_assists
jaime-moreno;DC;20;20;1725;16;0;0;0.83;0;5;5;0;66;46;0;24.2;19;0;24
raul-diaz-arce;DC;22;20;1790;15;0;0;0.75;0;2;3;0;68;45;0;22.1;32;0;21
giovanni-savarese;RBNY;29;23;2069;14;0;0;0.61;0;0;0;0;49;27;0;28.6;29;0;18
ronald-cerritos;SJ;22;22;1847;12;0;0;0.58;0;0;0;0;40;21;0;30;34;0;22
preki;SKC;27;27;2330;12;0;0;0.46;0;3;5;0;84;44;0;14.3;8;0;29
dante-washington;DAL;30;25;2162;12;0;0;0.5;0;0;1;0;69;38;0;17.4;23;0;18
damian;DAL;19;19;1479;11;0;0;0.67;0;4;4;0;68;34;0;16.2;42;0;18
welton;LA;29;12;1321;11;0;0;0.75;0;0;0;0;44;18;0;25;18;0;14
jeff-baicher;SJ;32;20;2031;10;0;0;0.44;0;0;1;0;74;36;0;13.5;19;0;12
mark-chung;SKC;32;32;2871;10;0;0;0.31;0;0;0;0;62;32;0;16.1;8;0;18
roy-lassiter;TB;24;23;1885;10;0;0;0.48;0;0;0;0;48;30;0;20.8;32;0;12
lawrence-lozzano;SJ;29;23;2096;10;0;0;0.43;0;0;0;0;65;36;0;15.4;40;0;20
antony-de-avila;RBNY;23;21;1916;9;0;0;0.42;0;0;1;0;66;35;0;13.6;28;0;18
paul-bravo;COL;30;27;2445;8;0;0;0.29;0;0;1;0;63;28;0;12.7;9;0;14
gilmar;TB;16;16;1213;8;0;0;0.59;0;0;0;0;39;18;0;20.5;16;0;14
eduardo-hurtado;LA;22;21;1772;8;0;0;0.41;0;0;0;0;69;33;0;11.6;33;0;11
harut-karapetyan;LA;30;23;1770;8;0;0;0.41;0;0;0;0;75;35;0;10.7;19;0;11
jason-kreis;DAL;32;21;2200;8;0;0;0.33;0;4;4;0;61;28;0;13.1;4;0;14
pete-marino;CLB;28;7;1229;8;0;0;0.59;0;0;2;0;38;24;0;21.1;30;0;12
vitalis-takawira;SKC;28;23;2153;8;0;0;0.33;0;0;0;0;48;28;0;16.7;43;0;15
imad-baba;NE;29;28;2391;7;0;0;0.26;0;0;0;0;50;25;0;14;6;0;12
gerell-elliott;DAL;28;15;1500;7;0;0;0.42;0;0;0;0;45;34;0;15.6;22;0;12
chris-henderson;COL;30;29;2508;7;0;0;0.25;0;2;2;0;62;23;0;11.3;35;0;20
cobi-jones;LA;26;25;2228;7;0;0;0.28;0;0;0;0;53;35;0;13.2;16;0;16
alberto-naveda;NE;29;28;2394;7;0;0;0.26;0;1;2;0;69;38;0;10.1;6;0;13
