name;club;games_played;games_started;mins;goals;left_footed_shots;right_footed_shots;goals_average_over_90_minutes;headed_shots;penalty_kick_goals;penalty_kick_taken;expected_goals;total_scoring_attempts;on_target_scoring_attempts;accurate_shooting_percentage;shots_conversion;offside;corner_kicks;goals_plus_assists
tai-baribo;PHI;5;5;394;6;2;8;1.37;3;0;0;4.74;13;8;61.5;46.1;1;0;6
hugo-cuypers;CHI;6;6;450;5;6;4;1;3;1;1;5.81;14;7;50;35.7;3;0;6
emmanuel-latte-lath;ATL;6;6;499;5;6;5;0.9;3;0;0;3.3;14;10;71.4;35.7;5;0;6
antony;POR;6;6;523;4;2;9;0.69;1;0;0;1.91;12;10;83.3;33.3;2;0;4
christian-benteke;DC;6;6;531;4;2;16;0.68;12;1;2;6.56;30;13;43.3;13.3;6;0;5
evander;CIN;6;5;462;4;3;18;0.78;0;0;0;1.6;21;11;52.4;19.1;1;13;5
alonso-martinez;NYC;5;5;431;4;0;13;0.84;1;1;1;3.22;14;10;71.4;28.6;3;0;4
martin-ojeda;ORL;6;6;487;4;14;4;0.74;0;1;1;2.84;18;7;38.9;22.2;1;12;7
tani-oluwaseyi;MIN;5;5;375;4;11;3;0.96;1;0;0;3.51;15;8;53.3;26.7;3;0;6
marco-pasalic;ORL;6;6;488;4;15;1;0.74;0;0;0;2.59;16;8;50;25;0;3;5
diego-rossi;CLB;6;6;540;4;4;13;0.67;1;0;0;1.99;18;9;50;22.2;3;10;4
kelvin-yeboah;MIN;6;5;441;4;6;19;0.82;2;1;1;5.26;27;11;40.7;14.8;3;1;4
luciano-acosta;DAL;6;6;528;3;2;5;0.51;1;0;1;2.06;8;4;50;37.5;2;19;3
cristian-arango;SJ;6;6;527;3;4;20;0.51;2;1;1;3.48;26;7;26.9;11.5;1;0;3
kevin-denkey;CIN;5;4;389;3;2;7;0.69;2;2;2;3.42;11;5;45.5;27.3;7;0;3
anders-dreyer;SD;6;6;540;3;16;5;0.5;0;0;0;2.67;21;8;38.1;14.3;3;24;4
emil-forsberg;RBNY;6;6;536;3;1;10;0.5;1;1;1;2.03;12;4;33.3;25;3;15;4
jordan-morris;SEA;3;2;216;3;1;5;1.25;1;0;0;1.38;7;4;57.1;42.9;3;0;3
luis-muriel;ORL;6;4;408;3;2;12;0.66;5;0;0;2.64;19;8;42.1;15.8;2;0;6
rafael-navarro;COL;6;6;539;3;3;7;0.5;3;0;0;2.99;13;5;38.5;23.1;3;0;3
christian-ramirez;LA;6;4;297;3;1;5;0.91;2;0;0;1.62;8;4;50;37.5;1;0;3
telasco-segovia;MIA;5;3;246;3;0;4;1.1;0;0;0;0.57;4;3;75;75;0;8;4
hannes-wolf;NYC;6;6;499;3;5;4;0.54;1;0;0;2.11;10;4;40;30;2;1;4
sam-adekugbe;VAN;2;2;114;2;2;1;1.58;1;0;0;1.67;4;2;50;50;0;0;2
tadeo-allende;MIA;3;3;237;2;3;3;0.76;0;0;0;0.49;6;5;83.3;33.3;5;0;2
josh-bauer;NSH;4;2;164;2;0;1;1.1;2;0;0;0.32;3;2;66.7;66.7;0;0;2
pep-biel;CLT;6;6;465;2;7;2;0.39;1;0;0;1.68;10;5;50;20;0;9;6
eric-maxim-choupo-moting;RBNY;6;6;540;2;1;6;0.33;2;1;1;1.62;9;5;55.6;22.2;5;0;3
alexander-freeman;ORL;6;5;484;2;1;1;0.37;5;0;0;0.85;7;3;42.9;28.6;3;0;3
daniel-gazdag;PHI;5;5;430;2;1;4;0.42;0;0;0;0.94;5;3;60;40;2;0;4
carles-gil;NE;5;5;450;2;10;1;0.4;0;1;1;1.16;11;3;27.3;18.2;0;15;2
brian-gutierrez;CHI;3;3;266;2;1;7;0.68;0;0;0;0.66;8;6;75;25;0;3;2
andrew-gutman;CHI;6;6;495;2;7;0;0.36;0;0;0;0.98;7;2;28.6;28.6;3;0;4
dejan-joveljic;SKC;6;5;460;2;0;3;0.39;0;1;1;1.05;3;2;66.7;66.7;1;0;2
deandre-kerr;TOR;5;2;223;2;1;0;0.81;2;0;0;0.48;3;3;100;66.7;2;0;2
jovan-lukic;PHI;6;6;494;2;1;11;0.36;0;0;0;0.39;12;4;33.3;16.7;0;0;2
david-martinez;LAFC;6;3;299;2;11;0;0.6;0;0;0;1.35;11;5;45.5;18.2;1;2;2
lionel-messi;MIA;3;2;215;2;8;3;0.84;1;0;0;2.08;12;9;75;16.7;0;4;4
djordje-mihailovic;COL;6;6;539;2;1;9;0.33;1;1;1;1.55;11;5;45.5;18.2;1;25;4
felipe-mora;POR;6;5;338;2;2;4;0.53;0;0;0;1.06;6;5;83.3;33.3;0;0;4
petar-musa;DAL;6;6;540;2;1;10;0.33;1;0;1;2.23;12;4;33.3;16.7;5;0;5
ahmed-qasem;NSH;5;3;277;2;4;2;0.65;1;0;0;1.17;7;4;57.1;28.6;1;0;2
albert-rusnak;SEA;6;5;501;2;5;15;0.36;2;0;0;2.2;22;10;45.5;9.1;2;40;5
jacen-russell-rowe;CLB;6;6;450;2;5;4;0.4;2;0;0;1.81;11;6;54.5;18.2;0;0;2
daniel-salloi;SKC;6;2;251;2;0;4;0.72;0;0;0;0.7;4;4;100;50;0;0;2
onni-valakari;SD;6;2;297;2;4;1;0.61;4;0;0;2.17;9;5;55.6;22.2;0;0;5
philip-zinckernagel;CHI;5;5;352;2;2;4;0.51;0;0;0;1.11;6;3;50;33.3;0;15;4
liel-abada;CLT;5;5;347;1;2;6;0.26;0;0;0;0.72;8;2;25;12.5;2;0;1
patrick-agyemang;CLT;5;5;408;1;3;4;0.22;2;0;0;1;9;3;33.3;11.1;2;0;1
forster-ajago;RSL;6;3;258;1;4;0;0.35;0;0;0;0.38;4;3;75;25;3;0;1
