name;club;games_played;games_started;mins;goals;left_footed_shots;right_footed_shots;goals_average_over_90_minutes;headed_shots;penalty_kick_goals;penalty_kick_taken;expected_goals;total_scoring_attempts;on_target_scoring_attempts;accurate_shooting_percentage;shots_conversion;offside;corner_kicks;goals_plus_assists
josef-martinez;ATL;34;34;2898;31;0;0;0.96;0;8;9;0;97;56;57.7;32;35;0;37
zlatan-ibrahimovic;LA;27;24;2143;22;0;0;0.92;0;4;4;0;116;48;41.4;19;27;10;32
bradley-wright-phillips;RBNY;32;28;2536;20;0;0;0.71;0;0;0;0;82;37;45.1;24.4;31;0;28
mauro-manotas;HOU;33;30;2633;19;0;0;0.65;0;2;2;0;95;43;45.3;20;23;4;20
;CLB;33;33;2948;19;0;0;0.58;0;3;4;0;88;40;45.5;21.6;20;0;19
ignacio-piatti;MTL;32;32;2821;16;0;0;0.51;0;4;4;0;95;32;33.7;16.8;22;3;29
nemanja-nikolic;CHI;31;29;2443;15;0;0;0.55;0;3;3;0;52;28;53.9;28.9;40;1;17
kei-kamara;VAN;28;24;2166;14;0;0;0.58;0;3;3;0;88;34;38.6;15.9;15;0;20
ola-kamara;LA;31;30;2689;14;0;0;0.47;0;0;0;0;67;31;46.3;20.9;27;0;17
carlos-vela;LAFC;28;26;2378;14;0;0;0.53;0;4;4;0;97;44;45.4;14.4;9;95;27
david-villa;NYC;23;20;1754;14;0;0;0.72;0;2;3;0;100;42;42;14;16;9;19
dom-dwyer;ORL;26;25;2244;13;0;0;0.52;0;0;0;0;78;36;46.1;16.7;41;1;13
sebastian-giovinco;TOR;28;26;2384;13;0;0;0.49;0;1;4;0;167;51;30.5;7.8;16;47;28
miguel-almiron;ATL;32;32;2760;12;0;0;0.39;0;4;5;0;132;51;38.6;9.1;12;79;26
adama-diomande;LAFC;18;14;1253;12;0;0;0.86;0;0;0;0;39;22;56.4;30.8;10;0;16
danny-hoesen;SJ;34;29;2488;12;0;0;0.43;0;0;0;0;83;33;39.8;14.5;30;0;16
aleksandar-katai;CHI;33;27;2428;12;0;0;0.44;0;0;0;0;97;41;42.3;12.4;17;43;17
damir-kreilach;RSL;33;31;2784;12;0;0;0.39;0;0;0;0;67;27;40.3;17.9;15;0;20
cristian-penilla;NE;33;33;2816;12;0;0;0.38;0;1;1;0;95;38;40;12.6;3;23;19
wayne-rooney;DC;20;18;1641;12;0;0;0.66;0;3;3;0;71;31;43.7;16.9;9;43;19
diego-rossi;LAFC;32;30;2604;12;0;0;0.41;0;0;0;0;89;40;44.9;13.5;3;15;21
romain-alessandrini;LA;26;23;1920;11;0;0;0.52;0;1;1;0;63;24;38.1;17.5;7;83;20
teal-bunbury;NE;32;30;2566;11;0;0;0.39;0;1;2;0;68;33;48.5;16.2;13;0;15
