name;club;games_played;games_started;mins;goals;left_footed_shots;right_footed_shots;goals_average_over_90_minutes;headed_shots;penalty_kick_goals;penalty_kick_taken;expected_goals;total_scoring_attempts;on_target_scoring_attempts;accurate_shooting_percentage;shots_conversion;offside;corner_kicks;goals_plus_assists
luciano-emilio;DC;29;28;2410;20;0;0;0.75;0;0;0;0;79;47;0;25.3;21;0;21
juan-pablo-angel;RBNY;24;24;2125;19;0;0;0.8;0;5;5;0;97;53;0;19.6;42;0;24
taylor-twellman;NE;26;25;2283;16;0;0;0.63;0;0;0;0;90;55;0;17.8;21;0;19
eddie-johnson;SKC;24;24;2149;15;0;0;0.63;0;1;1;0;75;43;0;20;50;0;21
maykel-galindo;CHV;28;24;2021;12;0;0;0.53;0;0;0;0;55;28;0;21.8;30;0;17
ante-razov;CHV;26;24;2041;11;0;0;0.49;0;1;1;0;85;42;0;12.9;30;0;19
christian-gomez;DC;27;27;2272;10;0;0;0.4;0;2;3;0;82;44;0;12.2;10;0;19
;RBNY;22;15;1399;9;0;0;0.58;0;0;0;0;43;20;0;20.9;12;0;13
landon-donovan;LA;25;24;2191;8;0;0;0.33;0;5;6;0;44;20;0;18.2;11;0;21
chad-barrett;CHI;30;25;1983;7;0;0;0.32;0;1;1;0;59;37;0;11.9;37;0;9
fred;DC;26;23;2097;7;0;0;0.3;0;0;0;0;28;14;0;25;21;0;15
brian-ching;HOU;20;17;1590;7;0;0;0.4;0;0;0;0;48;18;0;14.6;15;0;9
andy-dorman;NE;30;27;2269;7;0;0;0.28;0;0;0;0;48;27;0;14.6;4;0;9
alejandro-moreno;CLB;25;25;2205;7;0;0;0.29;0;0;0;0;52;31;0;13.5;31;0;14
jaime-moreno;DC;21;15;1440;7;0;0;0.44;0;4;4;0;34;18;0;20.6;15;0;13
joseph-ngwenya;HOU;25;25;1944;7;0;0;0.32;0;0;0;0;35;21;0;20;52;0;10
pat-noonan;NE;27;21;1738;7;0;0;0.36;0;0;0;0;42;24;0;16.7;32;0;11
ben-olsen;DC;24;21;1881;7;0;0;0.33;0;0;0;0;29;17;0;24.1;11;0;14
carlos-ruiz;DAL;22;19;1722;7;0;0;0.37;0;1;1;0;59;25;0;11.9;23;0;9
scott-sealy;SKC;18;15;1194;7;0;0;0.53;0;0;0;0;33;20;0;21.2;23;0;9
dwayne-de-rosario;HOU;24;22;1973;6;0;0;0.27;0;1;2;0;62;24;0;9.7;19;0;10
danny-dichio;TOR;17;14;1175;6;0;0;0.46;0;0;0;0;20;13;0;30;6;0;7
robbie-findley;RSL;16;11;974;6;0;0;0.55;0;0;0;0;20;11;0;30;10;0;6
nate-jaqua;HOU;15;10;1002;6;0;0;0.54;0;0;0;0;26;11;0;23.1;5;0;8
jovan-kirovski;COL;28;28;2161;6;0;0;0.25;0;4;4;0;36;14;0;16.7;16;0;7
clint-mathis;RBNY;26;19;1723;6;0;0;0.31;0;0;1;0;47;22;0;12.8;5;0;8
chris-rolfe;CHI;19;18;1451;6;0;0;0.37;0;1;1;0;38;19;0;15.8;4;0;9
juan-toja;DAL;27;27;2388;6;0;0;0.23;0;0;0;0;33;16;0;18.2;6;0;7
guillermo-barros-schelotto;CLB;22;19;1605;5;0;0;0.28;0;1;1;0;39;18;0;12.8;20;0;16
chris-brown;RSL;22;12;1084;5;0;0;0.42;0;0;0;0;23;13;0;21.7;4;0;5
