name;club;games_played;games_started;mins;goals;left_footed_shots;right_footed_shots;goals_average_over_90_minutes;headed_shots;penalty_kick_goals;penalty_kick_taken;expected_goals;total_scoring_attempts;on_target_scoring_attempts;accurate_shooting_percentage;shots_conversion;offside;corner_kicks;goals_plus_assists
alex-pineda-chacon;MIA;25;23;2055;19;0;0;0.83;0;0;0;0;63;36;0;30.2;7;0;28
diego-serna;MIA;22;22;1978;15;0;0;0.68;0;0;0;0;90;37;0;16.7;27;0;30
abdul-thompson-conteh;DC;25;17;1676;14;0;0;0.75;0;0;0;0;71;45;0;19.7;30;0;15
john-spencer;COL;23;22;2083;14;0;0;0.6;0;2;2;0;76;36;0;18.4;24;0;21
ronald-cerritos;SJ;25;23;1954;11;0;0;0.51;0;1;2;0;45;30;0;24.4;23;0;17
ariel-graziani;DAL;25;24;2208;11;0;0;0.45;0;0;0;0;83;40;0;13.3;37;0;19
jeff-cunningham;CLB;22;20;1770;10;0;0;0.51;0;1;1;0;72;32;0;13.9;19;0;23
eric-wynalda;CHI;21;11;1167;10;0;0;0.77;0;1;1;0;52;25;0;19.2;19;0;15
mamadou-diallo;TB;22;20;1818;9;0;0;0.45;0;3;4;0;94;41;0;9.6;56;0;14
jaime-moreno;DC;24;23;1888;9;0;0;0.43;0;2;3;0;60;40;0;15;9;0;15
rodrigo-faria;RBNY;21;11;1344;8;0;0;0.54;0;0;0;0;55;30;0;14.6;16;0;10
luis-hernandez;LA;14;12;1189;8;0;0;0.61;0;1;1;0;45;29;0;17.8;23;0;11
dema-kovalenko;CHI;25;25;2311;8;0;0;0.31;0;1;1;0;45;21;0;17.8;6;0;15
manny-lagos;SJ;26;26;2310;8;0;0;0.31;0;0;0;0;65;39;0;12.3;4;0;16
cate;NE;22;20;1807;8;0;0;0.4;0;5;5;0;47;23;0;17;13;0;16
brian-maisonneuve;CLB;25;25;2184;8;0;0;0.33;0;0;0;0;26;14;0;30.8;3;0;13
john-wilmar-perez;CLB;25;23;2105;8;0;0;0.34;0;0;0;0;41;20;0;19.5;2;0;23
preki;MIA;24;24;2139;8;0;0;0.34;0;2;3;0;80;40;0;10;2;0;22
landon-donovan;SJ;22;17;1666;7;0;0;0.38;0;1;1;0;46;26;0;15.2;8;0;17
jason-kreis;DAL;25;25;2175;7;0;0;0.29;0;0;0;0;77;32;0;9.1;15;0;17
roy-lassiter;SKC;23;19;1648;7;0;0;0.38;0;1;1;0;29;18;0;24.1;24;0;8
clint-mathis;RBNY;10;10;905;7;0;0;0.7;0;0;0;0;44;17;0;15.9;10;0;12
steve-ralston;TB;25;25;2221;7;0;0;0.28;0;0;0;0;18;11;0;38.9;4;0;13
sasha-victorine;LA;24;21;1758;7;0;0;0.36;0;0;0;0;46;24;0;15.2;19;0;12
dante-washington;CLB;21;13;1203;7;0;0;0.52;0;0;0;0;38;24;0;18.4;13;0;10
paul-bravo;COL;23;15;1352;6;0;0;0.4;0;0;0;0;43;21;0;13.9;9;0;6
cobi-jones;LA;22;22;1890;6;0;0;0.29;0;0;0;0;41;23;0;14.6;15;0;16
peter-nowak;CHI;18;18;1560;6;0;0;0.35;0;0;0;0;39;16;0;15.4;5;0;16
matt-okoh;NE;18;9;885;6;0;0;0.61;0;1;1;0;40;19;0;15;12;0;8
jorge-rodriguez;DAL;24;24;2232;6;0;0;0.24;0;3;3;0;35;17;0;17.1;0;0;10
jim-rooney;MIA;25;25;2294;6;0;0;0.24;0;0;0;0;40;23;0;15;3;0;15
hristo-stoitchkov;CHI;17;10;916;6;0;0;0.59;0;2;3;0;53;28;0;11.3;9;0;11
greg-vanney;LA;22;22;2032;6;0;0;0.27;0;4;6;0;21;14;0;28.6;0;0;9
marcelo-balboa;COL;24;22;2119;5;0;0;0.21;0;0;0;0;52;22;0;9.6;1;0;11
chris-brown;SKC;27;23;2034;5;0;0;0.22;0;0;0;0;37;18;0;13.5;8;0;7
chris-carrieri;COL;14;11;992;5;0;0;0.45;0;0;0;0;20;11;0;25;10;0;9
ted-chronopoulos;NE;16;15;1314;5;0;0;0.34;0;0;0;0;15;7;0;33.3;3;0;6
dwayne-de-rosario;SJ;21;11;1072;5;0;0;0.42;0;0;1;0;46;24;0;10.9;20;0;9
