name;club;games_played;games_started;mins;goals;left_footed_shots;right_footed_shots;goals_average_over_90_minutes;headed_shots;penalty_kick_goals;penalty_kick_taken;expected_goals;total_scoring_attempts;on_target_scoring_attempts;accurate_shooting_percentage;shots_conversion;offside;corner_kicks;goals_plus_assists
hany-mukhtar;NSH;33;32;2835;23;0;0;0.73;0;6;7;0;126;65;51.6;18.3;21;102;34
sebastian-driussi;ATX;34;32;2882;22;0;0;0.69;0;4;4;0;97;39;40.2;22.7;4;0;29
daniel-gazdag;PHI;34;34;2939;22;0;0;0.67;0;7;7;0;61;42;68.8;36.1;7;17;32
jesus-ferreira;DAL;33;29;2665;18;0;0;0.61;0;0;0;0;82;43;52.4;21.9;7;48;24
javier-hernandez;LA;32;31;2598;18;0;0;0.62;0;3;6;0;88;38;43.2;20.4;18;0;20
brenner;CIN;29;22;2061;18;0;0;0.79;0;1;1;0;77;34;44.2;23.4;8;3;24
brandon-vazquez;CIN;33;32;2753;18;0;0;0.59;0;0;0;0;82;40;48.8;21.9;21;0;26
jeremy-ebobisse;SJ;34;34;2951;17;0;0;0.52;0;2;2;0;103;46;44.7;16.5;13;0;20
cristian-arango;LAFC;34;28;2353;16;0;0;0.61;0;1;2;0;108;47;43.5;14.8;12;0;21
gonzalo-higuain;MIA;28;20;1750;16;0;0;0.82;0;5;5;0;50;20;40;32;29;44;19
diego-rubio;COL;30;28;2445;16;0;0;0.59;0;4;4;0;93;39;41.9;17.2;5;0;23
romell-quioto;MTL;30;24;2054;15;0;0;0.66;0;4;5;0;76;34;44.7;19.7;24;20;21
julian-carranza;PHI;31;28;2226;14;0;0;0.57;0;2;3;0;90;36;40;15.6;15;0;23
lewis-morgan;RBNY;32;31;2667;14;0;0;0.47;0;6;6;0;85;32;37.6;16.5;5;43;18
valentin-castellanos;NYC;17;17;1463;13;0;0;0.8;0;5;6;0;81;33;40.7;16.1;10;0;15
sebastian-ferreira;HOU;31;29;2337;13;0;0;0.5;0;2;3;0;68;26;38.2;19.1;9;0;16
mikael-uhre;PHI;27;21;1633;13;0;0;0.72;0;0;0;0;47;32;68.1;27.7;11;0;19
taxiarchis-fountas;DC;21;17;1469;12;0;0;0.74;0;0;1;0;80;33;41.3;15;3;1;15
carlos-vela;LAFC;32;28;2333;12;0;0;0.46;0;4;5;0;61;26;42.6;19.7;13;96;23
leonardo-campana;MIA;26;21;1592;11;0;0;0.62;0;0;0;0;54;25;46.3;20.4;10;0;13
dejan-joveljic;LA;32;7;983;11;0;0;1.01;0;2;3;0;34;22;64.7;32.4;10;1;14
ercan-kara;ORL;29;22;1789;11;0;0;0.55;0;1;1;0;48;19;39.6;22.9;12;0;14
luciano-acosta;CIN;30;28;2499;10;0;0;0.36;0;3;4;0;62;22;35.5;16.1;12;76;29
paul-arriola;DAL;32;29;2570;10;0;0;0.35;0;0;0;0;55;22;40;18.2;16;21;17
dairon-asprilla;POR;29;19;1844;10;0;0;0.49;0;4;4;0;50;17;34;20;12;0;12
emanuel-reynoso;MIN;29;29;2526;10;0;0;0.36;0;3;4;0;77;28;36.4;13;5;150;21
karol-swiderski;CLT;30;29;2471;10;0;0;0.36;0;0;0;0;72;36;50;13.9;6;11;16
