name;club;games_played;games_started;mins;goals;left_footed_shots;right_footed_shots;goals_average_over_90_minutes;headed_shots;penalty_kick_goals;penalty_kick_taken;expected_goals;total_scoring_attempts;on_target_scoring_attempts;accurate_shooting_percentage;shots_conversion;offside;corner_kicks;goals_plus_assists
carlos-vela;LAFC;31;31;2726;34;0;0;1.12;0;9;11;0;160;71;44.4;21.3;25;118;49
zlatan-ibrahimovic;LA;29;29;2610;30;0;0;1.03;0;6;7;0;151;65;43;19.9;44;3;37
josef-martinez;ATL;29;29;2581;27;0;0;0.94;0;5;6;0;117;50;42.7;23.1;24;0;31
diego-rossi;LAFC;34;33;2899;16;0;0;0.5;0;0;0;0;108;49;45.4;14.8;21;9;23
heber;NYC;22;18;1575;15;0;0;0.86;0;0;0;0;56;26;46.4;26.8;12;0;19
;PHI;26;25;2241;15;0;0;0.6;0;0;1;0;81;37;45.7;18.5;16;0;19
chris-wondolowski;SJ;32;24;1982;15;0;0;0.68;0;0;0;0;79;33;41.8;19;16;0;17
kei-kamara;COL;29;29;2541;14;0;0;0.5;0;4;7;0;94;44;46.8;14.9;9;0;15
mauro-manotas;HOU;32;28;2539;13;0;0;0.46;0;1;2;0;92;30;32.6;14.1;14;0;21
cj-sapong;CHI;32;29;2551;13;0;0;0.46;0;0;0;0;63;27;42.9;20.6;13;0;15
;CLB;28;28;2478;13;0;0;0.47;0;3;3;0;62;26;41.9;21;19;0;15
nani;ORL;30;26;2277;12;0;0;0.47;0;3;5;0;64;26;40.6;18.8;6;66;22
;SKC;32;31;2722;12;0;0;0.4;0;5;6;0;65;29;44.6;18.5;0;38;15
;NYC;29;24;2131;12;0;0;0.51;0;0;0;0;94;34;36.2;12.8;2;33;15
nemanja-nikolic;CHI;31;25;2003;12;0;0;0.54;0;2;2;0;48;22;45.8;25;20;0;12
alejandro-pozuelo;TOR;30;28;2524;12;0;0;0.43;0;5;6;0;76;31;40.8;15.8;5;120;24
;TOR;22;18;1691;11;0;0;0.59;0;0;0;0;50;24;48;22;9;1;18
valentin-castellanos;NYC;30;23;2052;11;0;0;0.48;0;0;0;0;80;31;38.8;13.8;19;0;18
jeremy-ebobisse;POR;34;25;2310;11;0;0;0.43;0;0;0;0;52;21;40.4;21.1;11;0;12
brian-fernandez;POR;19;16;1411;11;0;0;0.7;0;0;0;0;69;30;43.5;15.9;16;0;12
wayne-rooney;DC;28;27;2318;11;0;0;0.43;0;4;4;0;84;27;32.1;13.1;10;98;19
daniel-royer;RBNY;31;26;2321;11;0;0;0.43;0;4;5;0;85;38;44.7;12.9;10;4;19
diego-rubio;COL;26;25;2065;11;0;0;0.48;0;0;0;0;49;15;30.6;22.4;5;0;16
raul-ruidiaz;SEA;22;20;1793;11;0;0;0.55;0;0;0;0;72;28;38.9;15.3;8;0;14
pedro-santos;CLB;33;30;2763;11;0;0;0.36;0;1;1;0;75;21;28;14.7;6;89;17
tesho-akindele;ORL;28;22;1880;10;0;0;0.48;0;0;0;0;42;21;50;23.8;12;0;12
carles-gil;NE;34;34;3052;10;0;0;0.29;0;4;5;0;67;24;35.8;14.9;3;126;24
jordan-morris;SEA;26;24;2047;10;0;0;0.44;0;0;0;0;42;20;47.6;23.8;11;0;17
darwin-quintero;MIN;30;26;2208;10;0;0;0.41;0;4;5;0;81;27;33.3;12.3;10;26;15
albert-rusnak;RSL;29;28;2456;10;0;0;0.37;0;4;5;0;76;31;40.8;13.2;5;76;15
