name;club;games_played;games_started;mins;goals;left_footed_shots;right_footed_shots;goals_average_over_90_minutes;headed_shots;penalty_kick_goals;penalty_kick_taken;expected_goals;total_scoring_attempts;on_target_scoring_attempts;accurate_shooting_percentage;shots_conversion;offside;corner_kicks;goals_plus_assists
stern-john;CLB;28;26;2293;18;0;0;0.71;0;0;1;0;104;45;0;17.3;37;0;20
jason-kreis;DAL;32;32;2815;18;0;0;0.58;0;1;2;0;114;57;0;15.8;29;0;33
roy-lassiter;DC;30;29;2626;18;0;0;0.62;0;1;2;0;85;47;0;21.2;43;0;29
ronald-cerritos;SJ;31;30;2721;15;0;0;0.5;0;1;1;0;75;45;0;20;35;0;24
joe-max-moore;NE;29;29;2610;15;0;0;0.52;0;1;1;0;83;47;0;18.1;23;0;23
ante-razov;CHI;30;24;2068;14;0;0;0.61;0;2;2;0;90;49;0;15.6;32;0;21
jeff-cunningham;CLB;28;15;1556;12;0;0;0.69;0;1;1;0;60;32;0;20;25;0;17
musa-shannon;TB;27;21;1829;12;0;0;0.59;0;0;0;0;69;33;0;17.4;22;0;17
jorge-dely-valdes;COL;32;27;2415;10;0;0;0.37;0;0;0;0;70;28;0;14.3;31;0;16
jaime-moreno;DC;25;25;2114;10;0;0;0.43;0;2;2;0;70;34;0;14.3;12;0;23
giovanni-savarese;NE;27;25;2062;10;0;0;0.44;0;0;0;0;48;30;0;20.8;17;0;12
diego-serna;MIA;21;20;1862;10;0;0;0.48;0;0;0;0;62;26;0;16.1;23;0;12
josh-wolff;CHI;28;17;1775;10;0;0;0.51;0;0;0;0;55;34;0;18.2;20;0;12
raul-diaz-arce;TB;13;13;1170;9;0;0;0.69;0;2;2;0;46;22;0;19.6;27;0;14
wolde-harris;COL;29;24;2096;8;0;0;0.34;0;3;5;0;68;36;0;11.8;24;0;16
carlos-hermosillo;LA;16;16;1280;8;0;0;0.56;0;0;0;0;38;24;0;21.1;24;0;11
cobi-jones;LA;28;28;2488;8;0;0;0.29;0;0;1;0;62;32;0;12.9;32;0;16
welton;MIA;20;20;1736;8;0;0;0.41;0;0;0;0;39;21;0;20.5;19;0;14
a-j-wood;DC;24;13;1385;8;0;0;0.52;0;0;0;0;44;17;0;18.2;10;0;14
paul-bravo;COL;25;23;1966;7;0;0;0.32;0;0;0;0;40;21;0;17.5;26;0;12
eduardo-hurtado;RBNY;28;26;2377;7;0;0;0.27;0;1;2;0;79;30;0;8.9;23;0;10
clint-mathis;LA;27;20;1890;7;0;0;0.33;0;0;0;0;63;19;0;11.1;14;0;13
preki;SKC;30;28;2572;7;0;0;0.24;0;1;2;0;97;31;0;7.2;1;0;18
henry-gutierrez;MIA;30;28;2415;6;0;0;0.22;0;2;2;0;53;26;0;11.3;8;0;20
chris-klein;SKC;30;24;2198;6;0;0;0.25;0;0;0;0;39;16;0;15.4;4;0;11
peter-nowak;CHI;28;28;2480;6;0;0;0.22;0;0;0;0;35;15;0;17.1;5;0;14
lubos-kubik;CHI;27;27;2387;5;0;0;0.19;0;1;3;0;42;12;0;11.9;0;0;13
brian-mcbride;CLB;25;25;2209;5;0;0;0.2;0;0;0;0;79;31;0;6.3;11;0;15
ben-olsen;DC;28;26;2292;5;0;0;0.2;0;0;0;0;43;26;0;11.6;9;0;16
steve-ralston;TB;32;32;2872;5;0;0;0.16;0;0;0;0;41;17;0;12.2;3;0;23
dario-brose;SJ;27;12;1288;4;0;0;0.28;0;0;0;0;38;13;0;10.5;3;0;6
chris-brown;SKC;28;19;1679;4;0;0;0.21;0;0;0;0;40;19;0;10;1;0;7
alex-bunbury;SKC;19;17;1579;4;0;0;0.23;0;0;0;0;41;19;0;9.8;16;0;8
chad-deering;DAL;25;22;1936;4;0;0;0.19;0;0;0;0;39;22;0;10.3;0;0;11
raul-diaz-arce;SJ;18;16;1416;4;0;0;0.25;0;0;0;0;44;18;0;9.1;10;0;6
ted-eck;DAL;31;25;2290;4;0;0;0.16;0;0;0;0;27;13;0;14.8;0;0;7
marco-etcheverry;DC;22;22;1890;4;0;0;0.19;0;0;0;0;37;18;0;10.8;4;0;21
jefferson-gottardi;TB;11;11;762;4;0;0;0.47;0;0;0;0;19;9;0;21.1;8;0;5
ariel-graziani;DAL;8;8;692;4;0;0;0.52;0;0;0;0;23;12;0;17.4;12;0;5
ezra-hendrickson;LA;26;19;1708;4;0;0;0.21;0;0;0;0;16;9;0;25;3;0;7
manny-lagos;TB;10;9;737;4;0;0;0.49;0;0;0;0;25;12;0;16;3;0;9
alexi-lalas;SKC;30;30;2700;4;0;0;0.13;0;0;0;0;31;16;0;12.9;9;0;5
eddie-lewis;SJ;29;29;2546;4;0;0;0.14;0;0;0;0;55;25;0;7.3;9;0;18
tyrone-marshall;MIA;28;25;2223;4;0;0;0.16;0;0;0;0;39;17;0;10.3;14;0;9
ivan-mckinley;NE;29;29;2430;4;0;0;0.15;0;0;0;0;42;18;0;9.5;5;0;8
