name;club;games_played;games_started;mins;goals;left_footed_shots;right_footed_shots;goals_average_over_90_minutes;headed_shots;penalty_kick_goals;penalty_kick_taken;expected_goals;total_scoring_attempts;on_target_scoring_attempts;accurate_shooting_percentage;shots_conversion;offside;corner_kicks;goals_plus_assists
bradley-wright-phillips;RBNY;32;29;2573;27;0;0;0.94;0;6;6;0;109;57;52.3;24.8;33;0;29
dom-dwyer;SKC;33;31;2724;22;0;0;0.73;0;7;8;0;113;48;42.5;19.5;38;1;23
robbie-keane;LA;29;28;2549;19;0;0;0.67;0;1;4;0;122;54;44.3;15.6;22;3;33
lee-nguyen;NE;32;32;2750;18;0;0;0.59;0;4;4;0;83;41;49.4;21.7;3;26;23
obafemi-martins;SEA;31;29;2600;17;0;0;0.59;0;1;1;0;77;36;46.8;22.1;11;4;30
gyasi-zardes;LA;32;26;2392;16;0;0;0.6;0;0;0;0;74;30;40.5;21.6;8;2;18
clint-dempsey;SEA;26;23;2132;15;0;0;0.63;0;2;2;0;113;47;41.6;13.3;12;3;25
erick-torres;CHV;29;29;2510;15;0;0;0.54;0;5;6;0;95;32;33.7;15.8;19;0;16
chris-wondolowski;SJ;26;26;2340;14;0;0;0.54;0;1;2;0;77;36;46.8;18.2;18;0;18
joao-plata;RSL;26;24;1985;13;0;0;0.59;0;1;1;0;56;32;57.1;23.2;14;29;19
sebastien-le-toux;PHI;29;23;2050;12;0;0;0.53;0;5;5;0;50;21;42;24;12;77;19
giles-barnes;HOU;34;34;3028;11;0;0;0.33;0;2;3;0;113;42;37.2;9.7;14;2;16
jermain-defoe;TOR;19;17;1529;11;0;0;0.65;0;3;4;0;58;25;43.1;19;25;0;13
fabian-espindola;DC;27;24;2124;11;0;0;0.47;0;0;1;0;68;31;45.6;16.2;28;89;20
ethan-finlay;CLB;29;21;1898;11;0;0;0.52;0;0;0;0;50;22;44;22;12;2;18
federico-higuain;CLB;29;28;2488;11;0;0;0.4;0;5;8;0;73;25;34.3;15.1;9;134;18
blas-perez;DAL;29;24;2062;11;0;0;0.48;0;2;3;0;55;21;38.2;20;12;0;17
luis-silva;DC;27;22;1523;11;0;0;0.65;0;2;2;0;39;17;43.6;28.2;4;26;15
diego-valeri;POR;33;32;2763;11;0;0;0.36;0;1;1;0;104;42;40.4;10.6;7;124;25
deshorn-brown;COL;30;26;2288;10;0;0;0.39;0;0;1;0;121;46;38;8.3;33;0;10
will-bruin;HOU;27;24;2074;10;0;0;0.43;0;0;0;0;68;31;45.6;14.7;9;0;11
fabian-castillo;DAL;27;26;2282;10;0;0;0.39;0;0;1;0;74;32;43.2;13.5;31;4;14
landon-donovan;LA;31;30;2720;10;0;0;0.33;0;3;3;0;66;24;36.4;15.2;6;95;29
thierry-henry;RBNY;30;30;2651;10;0;0;0.34;0;0;0;0;86;28;32.6;11.6;12;102;24
pedro-morales;VAN;33;28;2554;10;0;0;0.35;0;7;8;0;105;39;37.1;9.5;2;109;22
maximiliano-urruti;POR;30;12;1181;10;0;0;0.76;0;0;0;0;47;15;31.9;21.3;22;0;12
fanendo-adi;POR;24;18;1512;9;0;0;0.54;0;0;0;0;53;24;45.3;17;23;0;13
marco-di-vaio;MTL;26;17;1739;9;0;0;0.47;0;0;1;0;75;32;42.7;12;33;25;13
javier-morales;RSL;30;30;2645;9;0;0;0.31;0;4;4;0;64;19;29.7;14.1;4;118;21
lamar-neagle;SEA;32;27;2248;9;0;0;0.36;0;0;0;0;49;28;57.1;18.4;14;5;18
quincy-amarikwa;CHI;32;29;2549;8;0;0;0.28;0;0;0;0;76;29;38.2;10.5;27;1;13
conor-casey;PHI;25;18;1434;8;0;0;0.5;0;1;1;0;39;17;43.6;20.5;15;0;10
michel-garbini-pereira;DAL;25;20;1787;8;0;0;0.4;0;5;5;0;34;12;35.3;23.5;0;86;13
justin-meram;CLB;32;19;1683;8;0;0;0.43;0;0;0;0;52;21;40.4;15.4;1;3;12
alvaro-saborio;RSL;16;13;1148;8;0;0;0.63;0;2;3;0;47;18;38.3;17;20;0;10
tesho-akindele;DAL;26;18;1748;7;0;0;0.36;0;0;0;0;30;16;53.3;23.3;9;0;10
chad-barrett;SEA;26;8;867;7;0;0;0.73;0;0;0;0;30;14;46.7;23.3;9;0;8
gaston-fernandez;POR;32;17;1562;7;0;0;0.4;0;0;0;0;37;17;46;18.9;10;19;9
eddie-johnson;DC;26;22;1957;7;0;0;0.32;0;2;2;0;42;18;42.9;16.7;32;0;10
mike-magee;CHI;17;17;1519;7;0;0;0.41;0;3;5;0;40;16;40;17.5;7;23;11
jack-mcinerney;MTL;26;21;1804;7;0;0;0.35;0;0;0;0;44;14;31.8;15.9;18;0;8
gilberto;TOR;28;21;1955;7;0;0;0.32;0;0;0;0;73;22;30.1;9.6;10;1;12
