name;club;games_played;games_started;mins;goals;left_footed_shots;right_footed_shots;goals_average_over_90_minutes;headed_shots;penalty_kick_goals;penalty_kick_taken;expected_goals;total_scoring_attempts;on_target_scoring_attempts;accurate_shooting_percentage;shots_conversion;offside;corner_kicks;goals_plus_assists
sebastian-giovinco;TOR;33;32;2775;22;0;0;0.71;0;3;4;0;181;73;40.3;12.2;34;95;38
kei-kamara;CLB;32;31;2761;22;0;0;0.72;0;0;0;0;135;57;42.2;16.3;17;0;30
robbie-keane;LA;24;22;2059;20;0;0;0.87;0;4;4;0;73;39;53.4;27.4;18;6;28
david-villa;NYC;30;29;2514;18;0;0;0.64;0;7;8;0;138;64;46.4;13;47;52;26
cyle-larin;ORL;27;24;1906;17;0;0;0.8;0;0;0;0;64;29;45.3;26.6;24;0;17
bradley-wright-phillips;RBNY;34;33;2865;17;0;0;0.53;0;2;4;0;113;51;45.1;15;44;0;24
fanendo-adi;POR;33;23;2161;16;0;0;0.67;0;3;3;0;85;36;42.4;18.8;24;1;19
chris-wondolowski;SJ;31;30;2688;16;0;0;0.54;0;6;6;0;91;39;42.9;17.6;14;0;18
obafemi-martins;SEA;21;20;1805;15;0;0;0.75;0;0;1;0;42;28;66.7;35.7;11;1;21
;TOR;25;21;1796;13;0;0;0.65;0;3;3;0;37;18;48.6;35.1;7;1;13
dom-dwyer;SKC;30;28;2546;12;0;0;0.42;0;0;1;0;96;40;41.7;12.5;25;0;14
ethan-finlay;CLB;34;34;2790;12;0;0;0.39;0;0;0;0;53;28;52.8;22.6;26;2;25
will-bruin;HOU;33;28;2414;11;0;0;0.41;0;0;0;0;49;25;51;22.4;13;0;15
didier-drogba-x7391;MTL;11;9;870;11;0;0;1.14;0;1;1;0;47;21;44.7;23.4;5;0;12
david-accam;CHI;24;21;1865;10;0;0;0.48;0;0;0;0;67;35;52.2;14.9;21;48;12
charlie-davies;NE;33;25;2163;10;0;0;0.42;0;0;0;0;49;26;53.1;20.4;20;0;14
clint-dempsey;SEA;20;20;1742;10;0;0;0.52;0;1;1;0;61;27;44.3;16.4;5;0;20
benny-feilhaber;SKC;32;30;2731;10;0;0;0.33;0;5;5;0;48;17;35.4;20.8;1;57;25
krisztian-nemeth;SKC;28;23;2037;10;0;0;0.44;0;0;0;0;58;20;34.5;17.2;8;0;16
octavio-rivero;VAN;34;30;2734;10;0;0;0.33;0;3;3;0;101;41;40.6;9.9;21;0;13
chris-rolfe;DC;31;30;2454;10;0;0;0.37;0;4;4;0;64;29;45.3;15.6;4;12;14
lloyd-sam;RBNY;31;27;2281;10;0;0;0.39;0;0;0;0;32;20;62.5;31.3;16;5;17
fabian-castillo;DAL;30;28;2559;9;0;0;0.32;0;0;0;0;79;30;38;11.4;16;5;18
