name;club;games_played;games_started;mins;goals;left_footed_shots;right_footed_shots;goals_average_over_90_minutes;headed_shots;penalty_kick_goals;penalty_kick_taken;expected_goals;total_scoring_attempts;on_target_scoring_attempts;accurate_shooting_percentage;shots_conversion;offside;corner_kicks;goals_plus_assists
denis-bouanga;LAFC;31;28;2533;20;0;0;0.71;0;3;3;0;137;54;39.4;14.6;11;16;27
luciano-acosta;CIN;32;29;2612;17;0;0;0.59;0;7;8;0;83;40;48.2;20.5;5;83;31
giorgos-giakoumakis;ATL;27;21;1791;17;0;0;0.85;0;0;0;0;66;31;47;25.8;18;0;20
juan-camilo-hernandez-suarez;CLB;27;27;2373;16;0;0;0.61;0;5;5;0;165;58;35.1;9.7;15;2;27
hany-mukhtar;NSH;34;30;2836;15;0;0;0.48;0;5;5;0;117;49;41.9;12.8;25;98;26
brian-white;VAN;32;30;2552;15;0;0;0.53;0;0;0;0;95;44;46.3;15.8;17;0;20
christian-benteke;DC;31;31;2789;14;0;0;0.45;0;1;1;0;107;40;37.4;13.1;37;0;18
julian-carranza;PHI;31;28;2491;14;0;0;0.51;0;0;0;0;84;33;39.3;16.7;29;0;20
daniel-gazdag;PHI;32;30;2733;14;0;0;0.46;0;11;11;0;65;29;44.6;21.5;16;8;25
alan-pulido;SKC;28;26;2217;14;0;0;0.57;0;3;4;0;54;29;53.7;25.9;9;1;17
facundo-torres;ORL;30;28;2377;14;0;0;0.53;0;5;5;0;65;26;40;21.5;7;46;18
cristian-espinoza;SJ;34;34;3033;13;0;0;0.39;0;4;4;0;63;31;49.2;20.6;10;198;26
duncan-mcguire;ORL;29;17;1395;13;0;0;0.84;0;0;0;0;33;24;72.7;39.4;10;0;16
jesus-ferreira;DAL;27;25;2265;12;0;0;0.48;0;1;1;0;62;24;38.7;19.4;5;67;18
karol-swiderski;CLT;31;29;2428;12;0;0;0.44;0;4;4;0;80;27;33.8;15;1;13;16
thiago-almada;ATL;31;31;2730;11;0;0;0.36;0;2;3;0;109;43;39.5;10.1;0;67;30
sebastian-driussi;ATX;28;26;2311;11;0;0;0.43;0;2;2;0;76;31;40.8;14.5;1;3;16
ryan-gauld;VAN;32;30;2640;11;0;0;0.38;0;6;8;0;76;27;35.5;14.5;6;71;23
carles-gil;NE;32;29;2618;11;0;0;0.38;0;2;2;0;77;31;40.3;14.3;1;116;26
jordan-morris;SEA;26;23;1980;11;0;0;0.5;0;0;0;0;43;18;41.9;25.6;7;0;12
amine-bassi;HOU;28;25;2014;10;0;0;0.45;0;6;6;0;41;17;41.5;24.4;7;13;14
jeremy-ebobisse;SJ;34;34;2973;10;0;0;0.3;0;1;1;0;63;21;33.3;15.9;7;0;14
niko-gioacchini;STL;32;24;2103;10;0;0;0.43;0;1;1;0;44;22;50;22.7;10;0;11
joao-klauss;STL;19;14;1317;10;0;0;0.68;0;0;0;0;42;19;45.2;23.8;4;0;14
teemu-pukki;MIN;14;13;1040;10;0;0;0.87;0;1;1;0;39;21;53.9;25.6;3;0;11
lucas-zelarayan;CLB;20;20;1707;10;0;0;0.53;0;2;2;0;66;24;36.4;15.2;5;66;17
leonardo-campana;MIA;26;17;1641;9;0;0;0.49;0;2;3;0;55;25;45.5;16.4;12;0;12
evander;POR;27;25;2213;9;0;0;0.37;0;1;1;0;73;30;41.1;12.3;0;99;14
mikael-uhre;PHI;33;26;2160;9;0;0;0.38;0;0;0;0;58;22;37.9;15.5;17;0;13
carlos-vela;LAFC;34;23;2071;9;0;0;0.39;0;3;5;0;61;25;41;14.8;13;71;21
samuel-adeniran;STL;18;11;950;8;0;0;0.76;0;1;1;0;35;13;37.1;22.9;7;0;9
corey-baird;HOU;34;28;2338;8;0;0;0.31;0;0;0;0;36;18;50;22.2;15;0;14
bongokuhle-hlongwane;MIN;30;29;2492;8;0;0;0.29;0;0;0;0;85;36;42.4;9.4;24;1;13
christian-ramirez;CLB;30;19;1618;8;0;0;0.44;0;0;0;0;47;15;31.9;17;10;0;12
johnny-russell;SKC;25;21;1699;8;0;0;0.42;0;1;1;0;40;17;42.5;20;4;48;11
brandon-vazquez;CIN;29;27;2377;8;0;0;0.3;0;1;1;0;69;31;44.9;11.6;9;0;12
franck-boli;POR;29;18;1465;7;0;0;0.43;0;0;0;0;52;21;40.4;13.5;2;0;9
gustavo-bou;NE;19;14;1266;7;0;0;0.5;0;1;1;0;55;20;36.4;12.7;12;16;11
tyler-boyd;LA;34;28;2338;7;0;0;0.27;0;0;0;0;66;27;40.9;10.6;2;25;11
josef-martinez;MIA;27;20;1741;7;0;0;0.36;0;3;3;0;44;19;43.2;15.9;12;0;8
ricard-puig-marti;LA;29;28;2526;7;0;0;0.25;0;2;2;0;88;34;38.6;8;2;36;15
daniel-salloi;SKC;34;33;2875;7;0;0;0.22;0;0;0;0;74;32;43.2;9.5;7;76;16
jefferson-savarino;RSL;24;22;1956;7;0;0;0.32;0;0;0;0;70;24;34.3;10;2;67;13
bobby-wood;NE;29;19;1492;7;0;0;0.42;0;0;0;0;31;12;38.7;22.6;11;0;12
