name;club;games_played;games_started;mins;goals;left_footed_shots;right_footed_shots;goals_average_over_90_minutes;headed_shots;penalty_kick_goals;penalty_kick_taken;expected_goals;total_scoring_attempts;on_target_scoring_attempts;accurate_shooting_percentage;shots_conversion;offside;corner_kicks;goals_plus_assists
tani-oluwaseyi;MIN;25;10;1077;8;15;12;0.67;9;0;0;8.51;36;17;47.2;22.2;12;0;14
christian-ramirez;CLB;25;16;1440;8;3;29;0.5;10;0;0;8.82;43;21;48.8;18.6;6;0;14
raul-ruidiaz;SEA;24;14;1355;8;16;55;0.53;5;4;4;8.17;76;30;39.5;10.5;4;11;10
liel-abada;CLT;24;20;1647;7;17;35;0.38;1;0;0;6.62;53;30;56.6;13.2;14;16;9
sebastian-driussi;ATX;27;26;2262;7;6;49;0.28;12;3;5;11.28;67;24;35.8;10.4;6;3;10
carles-gil;NE;26;26;2291;7;41;5;0.27;2;1;1;3.94;48;21;43.8;14.6;0;99;17
robin-lod;MIN;32;28;2396;7;36;6;0.26;2;0;0;5.46;44;17;38.6;15.9;2;24;22
jader-obrian;ATX;34;30;2268;7;11;22;0.28;4;0;0;4.66;37;16;43.2;18.9;15;0;11
amahl-pellegrino;SJ;32;22;1734;7;6;33;0.36;7;0;0;9.68;47;16;34;14.9;6;3;9
alan-pulido;SKC;31;22;1959;7;9;31;0.32;3;0;0;4.33;43;17;39.5;16.3;11;0;12
daniel-rios;ATL;24;16;1321;7;2;27;0.48;12;0;1;8.07;41;19;46.3;17.1;4;0;11
erik-thommy;SKC;30;26;2328;7;21;58;0.27;0;0;0;5.29;79;21;26.6;8.9;8;40;11
kelvin-yeboah;MIN;9;8;711;7;7;22;0.89;2;3;3;5.28;31;17;54.8;22.6;3;0;8
aliyu-ibrahim;HOU;34;33;2666;6;9;53;0.2;7;0;0;6.97;69;27;39.1;8.7;30;0;11
thiago-almada;ATL;17;16;1393;6;8;48;0.39;0;2;2;6.37;56;21;37.5;10.7;0;47;8
antony;POR;33;20;1886;6;4;35;0.29;1;0;0;4.16;40;16;40;15;5;0;12
julian-carranza;PHI;12;11;1073;6;4;27;0.5;12;0;0;5.36;43;15;34.9;13.9;7;0;6
jeremy-ebobisse;SJ;31;25;1947;6;26;10;0.28;11;1;1;6.96;47;18;38.3;12.8;3;0;8
brian-gutierrez;CHI;32;26;2376;6;5;54;0.23;3;2;2;5.73;62;19;30.6;9.7;1;14;9
sunusi-ibrahim;MTL;25;10;999;6;4;24;0.54;4;0;0;4.8;32;11;34.4;18.8;7;0;6
sang-bin-jeong;MIN;32;25;2179;6;3;30;0.25;6;0;0;6.03;39;19;48.7;15.4;2;33;8
kevin-kelsy;CIN;23;16;1244;6;22;2;0.43;11;0;0;4.88;35;17;48.6;17.1;5;0;6
hernan-lopez;SJ;24;22;1827;6;40;6;0.3;0;0;0;4.05;46;10;21.7;13;4;8;8
