name;height;weight;date_of_birth;birthplace;position;footedness;roster_category;player_category
Cole Bassett;5' 11\";150 lbs;7.28.2001 (23);Littleton, CO, USA;Midfielder;Both;Senior;Homegrown
Ousseni Bouda;5' 9\";172 lbs;4.28.2000 (24);unknown, Burkina Faso;Forward;;Senior;Generation adidas
Federico Bernardeschi;6' 1\";170 lbs;2.16.1994 (31);Carrara, Italy;Forward;Left;Senior;Designated Player, International
Osman Bukari;5' 7\";146 lbs;12.13.1998 (26);Accra, Ghana;Forward;Both;Senior;Designated Player, International
Bruno Damiani;6' 2\";176 lbs;4.18.2002 (22);Montevideo, Uruguay;Forward;;;
Brandt Bronico;5' 9\";154 lbs;6.20.1995 (29);Westminster, MD, USA;Midfielder;;Senior;
Vítor Costa;6';;7.1.1994 (30);Valente, Brazil;Defender;;;
Luca de la Torre;;;;;Midfielder;;;
David Da Costa;5' 6\";139 lbs;1.5.2001 (24);Almada, Portugal;Midfielder;;;
Léo Chú;5' 10\";152 lbs;4.6.2000 (24);Porto Alegre, Brazil;Midfielder;Left;Senior;U22 Initiative
Boris Enow;5' 10\";154 lbs;3.30.2000 (25);;Midfielder;;;
Hassani Dotson;5' 11\";172 lbs;8.6.1997 (27);Federal Way, WA, USA;Midfielder;;Senior;
Jeremy Ebobisse;6' 0\";181 lbs;2.14.1997 (28);París, France;Forward;;Senior;
Julián Fernández;6' 0\";163 lbs;1.30.2004 (21);Buenos Aires, Argentina;Forward;Left;Senior;International, U22 Initiative
Deybi Flores;6' 0\";150 lbs;6.16.1996 (28);San Pedro Sula, Honduras;Midfielder;Right;;
Ryan Gauld;5' 7\";150 lbs;12.16.1995 (29);Aberdeen, Scotland;Midfielder;Left;Senior;International, Designated Player
Ian Glavinovich;6' 0\";;10.27.2001 (23);Elortondo, Argentina;Defender;;;
Dennis Gjengaar;5' 9\";161 lbs;2.24.2004 (21);Horten, Norway;Forward;;;International, U22 Initiative
Diogo Gonçalves;5' 10\";154 lbs;2.6.1997 (28);Almodôvar, Portugal;Midfielder;Right;;
Emiro Garces;6' 1\";174 lbs;10.11.2001 (23);López de Micay, Colombia;Defender;;;
Logan Farrington;6' 2\";174 lbs;12.14.2001 (23);Racine, WI, USA;Forward;;;
Franco Escobar;5' 7\";159 lbs;2.21.1995 (30);Rosario, Argentina;Defender;Right;Senior;
Jon Gallagher;5' 9\";159 lbs;2.23.1996 (29);Dundalk, Ireland;Defender;;Senior;
Calvin Harris;6' 0\";161 lbs;3.20.2000 (25);Middlesbrough, England;Forward;;Supplemental Slots 21-24;Generation adidas
Marcel Hartel;5' 10\";150 lbs;1.19.1996 (29);Köln, Germany;Midfielder;Right;;Designated Player, International
Marcus Ingvartsen;6' 1\";174 lbs;1.4.1996 (29);Farum, Denmark;Forward;;;
Mitja Ilenic;5' 10\";157 lbs;12.26.2004 (20);Slovenia, Slovenia;Defender;;Senior;International
Tate Johnson;5' 7\";161 lbs;7.10.2005 (19);Tampa, FL, USA;Defender;;;
Anderson Julio;5' 11\";154 lbs;5.31.1996 (28);Pimampiro, Ecuador;Forward;Right;Senior;International
;;;;;;;;
Ryan Hollingshead;6' 2\";185 lbs;4.16.1991 (33);Sacramento, CA, USA;Defender;Left;Senior;
Rominigue Kouamé;5' 8\";165 lbs;12.17.1996 (28);Lopou, Côte d'Ivoire;Midfielder;;;
Kalani Kossa-Rienzi;5' 8\";150 lbs;6.27.2002 (22);Berkley, CA, USA;Defender;;;
Eduard Löwen;6' 2\";201 lbs;1.28.1997 (28);Idar-Oberstein, Germany;Midfielder;Both;Senior;Designated Player, International
Aaron Long;6' 1\";174 lbs;10.12.1992 (32);Oak Hills, CA, USA;Defender;Right;Senior;
Nicolás Lodeiro;5' 9\";157 lbs;3.21.1989 (36);Paysandú, Uruguay;Midfielder;;Senior;
Josef Martínez;5' 8\";168 lbs;5.19.1993 (31);Valencia, Venezuela;Forward;Right;Senior;
Beau Leroux;6' 0\";165 lbs;8.31.2003 (21);San Jose, CA, USA;Midfielder;;;
Lukas MacNaughton;6' 1\";190 lbs;3.8.1995 (30);Brussels, NY, Belgium;Defender;Right;Senior;
Yuya Kubo;5' 10\";159 lbs;12.24.1993 (31);Yamaguchi, Japan;Forward;Right;Senior;International
Mathias Laborda;6';159 lbs;9.15.1999 (25);Fray Bentos, Uruguay;Defender;Right;Senior;International
Diego Luna;5' 8\";187 lbs;9.7.2003 (21);Sunnyvale, CA, USA;Midfielder;Right;Supplemental Slots 21-24;Homegrown
Adilson Malanda;6' 1\";165 lbs;10.29.2001 (23);Rouen, France;Defender;Right;Senior;International
Pedro Martins;5' 9\";165 lbs;4.18.2003 (21);Rio de Janeiro, Brazil;Midfielder;;;
Hany Mukhtar;5' 8\";152 lbs;3.21.1995 (30);Berlin, Germany;Midfielder;Both;Senior;Designated Player, Designated Player
Christopher McVey;6' 3\";185 lbs;4.12.1997 (27);Sparsör, Sweden;Defender;Right;Senior;
Alex Mighten;5' 7\";154 lbs;4.11.2002 (22);West Hartford, CT, USA;Forward;Right;;
Franco Negri;5' 9\";148 lbs;2.20.1995 (30);San Martín, Mendoza, Argentina;Defender;Left;Senior;
Edwin Mosquera;5' 7\";128 lbs;6.27.2001 (23);Chocó, Colombia;Midfielder;;Senior;U22 Initiative
Andy Najar;5' 8\";150 lbs;3.16.1993 (32);Choluteca, Honduras;Defender;Right;Senior;
Alex Muyl;5' 11\";179 lbs;9.30.1995 (29);New York, NY, USA;Midfielder;Right;Senior;Homegrown
Alexey Miranchuk;6' 0\";163 lbs;10.17.1995 (29);Slavyansk-na-Kubani, Russia;Midfielder;Left;;Designated Player, International
