name;club;games_played;games_started;mins;total_sub_on;goals;accurate_pass_perc;assists;total_scoring_attempts;on_target_scoring_attempts;key_passes;expected_goals;fouls;fouls_suffered;offside;yellow_cards;red_cards
brian-ching;SJ;25;21;1954;4;12;0;4;51;26;0;0;47;73;11;4;0
eddie-johnson;DAL;26;25;2269;1;12;0;3;75;32;0;0;39;53;27;1;0
edson-buddle;CLB;24;20;1721;4;11;0;2;65;31;0;0;47;33;17;3;0
pat-noonan;NE;29;29;2545;0;11;0;8;75;37;0;0;33;42;17;4;0
damani-ralph;CHI;26;25;2250;1;11;0;3;89;36;0;0;23;58;28;3;0
carlos-ruiz;LA;20;18;1587;2;11;0;2;63;36;0;0;46;41;25;5;0
alecko-eskandarian;DC;24;19;1627;5;10;0;2;58;32;0;0;34;36;14;8;0
amado-guevara;RBNY;24;23;2110;1;10;0;10;65;30;0;0;58;53;2;8;1
josh-wolff;SKC;26;25;2252;1;10;0;7;59;33;0;0;31;41;22;0;0
john-wolyniec;RBNY;30;23;2051;7;10;0;3;56;27;0;0;42;37;11;1;0
davy-arnaud;SKC;30;30;2626;0;9;0;8;61;27;0;0;52;111;25;4;0
jeff-cunningham;CLB;30;19;1856;11;9;0;4;63;26;0;0;25;57;27;1;0
taylor-twellman;NE;23;23;2050;0;9;0;1;70;39;0;0;30;53;35;1;1
jovan-kirovski;LA;24;23;1984;1;8;0;2;59;25;0;0;21;23;19;2;0
clint-dempsey;NE;24;23;2024;1;7;0;1;47;25;0;0;50;68;1;6;0
eddie-gaven;RBNY;29;29;2578;0;7;0;7;46;22;0;0;44;79;6;2;0
peguero-jean-philippe;COL;18;16;1389;2;7;0;4;42;22;0;0;49;28;34;1;0
jaime-moreno;DC;27;27;2279;0;7;0;14;39;25;0;0;26;51;11;2;0
ross-paule;CLB;25;23;2059;2;7;0;2;23;13;0;0;32;15;0;2;0
steve-ralston;NE;30;30;2700;0;7;0;8;25;11;0;0;27;31;2;3;0
landon-donovan;SJ;23;22;2018;1;6;0;10;51;22;0;0;26;46;11;6;0
cornell-glen;RBNY;18;10;966;8;6;0;2;42;21;0;0;21;38;7;4;0
alejandro-moreno;LA;25;12;1297;13;6;0;2;29;12;0;0;26;41;10;0;0
toni-nhleko;DAL;23;13;1186;10;6;0;2;49;23;0;0;33;20;14;1;0
freddy-adu;DC;30;14;1440;16;5;0;3;33;16;0;0;31;50;9;4;0
dwayne-de-rosario;SJ;21;12;1214;9;5;0;3;40;14;0;0;27;35;19;3;0
jason-kreis;DAL;25;19;1703;6;5;0;2;42;16;0;0;26;18;9;2;1
kyle-martino;CLB;29;27;2301;2;5;0;2;31;17;0;0;36;84;12;1;0
fabian-taylor;RBNY;21;8;883;13;5;0;1;45;18;0;0;20;12;2;1;0
jordan-cila;COL;21;15;1310;6;4;0;2;24;16;0;0;22;17;2;2;0
ronnie-ekelund;SJ;26;24;2018;2;4;0;3;32;12;0;0;29;31;0;2;0
christian-gomez;DC;9;8;582;1;4;0;0;12;7;0;0;15;8;3;1;0
andy-herron;CHI;4;3;310;1;4;0;0;8;4;0;0;9;6;2;0;0
andreas-herzog;LA;27;25;2048;2;4;0;7;68;26;0;0;27;48;2;7;0
nate-jaqua;CHI;26;21;1836;5;4;0;4;45;19;0;0;34;29;7;3;1
chris-klein;SKC;19;19;1694;0;4;0;8;47;23;0;0;11;11;5;1;1
joseph-ngwenya;LA;22;8;880;14;4;0;2;17;8;0;0;18;26;7;0;0
ante-razov;CHI;13;11;996;2;4;0;2;52;25;0;0;12;17;13;2;0
john-spencer;COL;22;19;1752;3;4;0;1;52;21;0;0;27;36;16;2;1
andy-williams;CHI;25;23;2023;2;4;0;9;48;20;0;0;43;83;4;7;0
jose-cancela;NE;25;24;1957;1;3;0;10;41;20;0;0;10;73;4;0;0
mark-chung;COL;22;21;1914;1;3;0;4;49;20;0;0;21;35;1;0;0
ramiro-corrales;SJ;29;28;2475;1;3;0;1;42;12;0;0;35;35;1;4;1
;SKC;28;28;2520;0;3;0;4;28;8;0;0;53;55;1;8;0
chris-henderson;COL;29;29;2562;0;3;0;5;59;28;0;0;36;40;23;2;1
mike-magee;RBNY;22;18;1536;4;3;0;4;30;15;0;0;23;38;4;4;0
justin-mapp;CHI;24;19;1627;5;3;0;4;23;8;0;0;19;54;8;0;0
brian-mullan;SJ;28;28;2408;0;3;0;8;41;20;0;0;68;69;13;5;1
ben-olsen;DC;25;25;2046;0;3;0;4;41;26;0;0;58;58;8;7;0
earnie-stewart;DC;26;23;2093;3;3;0;4;33;16;0;0;28;13;6;5;0
matt-taylor;SKC;17;4;524;13;3;0;1;11;6;0;0;9;9;2;0;0
sasha-victorine;LA;26;25;2265;1;3;0;3;21;9;0;0;26;24;4;0;0
nat-borchers;COL;29;29;2610;0;2;0;1;11;5;0;0;37;17;0;5;1
chris-brown;SJ;11;7;561;4;2;0;1;15;5;0;0;9;7;5;0;0
ronald-cerritos;DC;10;6;545;4;2;0;1;20;9;0;0;8;7;6;1;0
brad-davis;DAL;29;24;1945;5;2;0;2;34;11;0;0;37;28;4;2;1
andy-dorman;NE;20;2;365;18;2;0;1;6;5;0;0;11;3;0;0;0
sergio-galvan-rey;RBNY;20;10;871;10;2;0;1;23;9;0;0;4;7;7;0;0
frankie-hejduk;CLB;20;19;1644;1;2;0;0;28;14;0;0;36;25;2;4;1
jack-jewsbury;SKC;22;15;1406;7;2;0;2;23;12;0;0;24;17;2;2;0
dema-kovalenko;DC;25;25;2163;0;2;0;10;37;20;0;0;46;33;5;6;2
tyrone-marshall;LA;18;17;1449;1;2;0;1;3;3;0;0;31;12;0;4;0
ryan-nelsen;DC;17;17;1417;0;2;0;0;7;4;0;0;24;4;0;2;1
ronnie-o-brien;DAL;29;29;2581;0;2;0;10;67;30;0;0;53;27;5;4;0
duncan-oughton;CLB;28;21;2020;7;2;0;1;20;8;0;0;43;32;3;2;0
bobby-rhine;DAL;19;6;693;13;2;0;2;21;9;0;0;12;16;1;5;0
tony-sanneh;CLB;6;6;513;0;2;0;1;5;2;0;0;9;7;0;2;0
dipsy-selolwane;CHI;19;5;627;14;2;0;0;14;5;0;0;16;14;5;0;0
jeff-agoos;SJ;24;24;2152;0;1;0;4;15;7;0;0;10;22;0;3;1
chris-albright;LA;24;24;2111;0;1;0;6;15;6;0;0;37;33;1;7;1
arturo-alvarez;SJ;11;2;374;9;1;0;0;7;4;0;0;14;5;0;3;0
kenny-arena;RBNY;10;8;707;2;1;0;0;2;1;0;0;13;8;0;2;0
chris-armas;CHI;21;20;1821;1;1;0;7;18;5;0;0;33;29;2;5;0
kyle-beckerman;COL;29;25;2241;4;1;0;2;29;13;0;0;57;30;1;5;0
matt-behncke;DAL;17;14;1239;3;1;0;0;7;2;0;0;26;11;1;2;0
felix-brillant;NE;19;6;856;13;1;0;2;8;4;0;0;22;16;3;0;0
jose-burciaga-jr;SKC;24;21;1876;3;1;0;1;15;6;0;0;17;19;1;2;1
craig-capano;CHI;13;4;440;9;1;0;0;5;2;0;0;5;4;0;0;0
ricardo-clark;RBNY;26;19;1769;7;1;0;1;25;7;0;0;37;40;2;7;0
jimmy-conrad;SKC;29;29;2610;0;1;0;0;12;6;0;0;33;25;3;2;0
matt-crawford;COL;30;28;2534;2;1;0;4;20;9;0;0;34;32;0;4;0
troy-dayak;SJ;16;15;1367;1;1;0;0;8;4;0;0;22;11;1;5;1
alberto-delgado;COL;13;9;742;4;1;0;3;15;6;0;0;15;25;7;0;0
joe-franchino;NE;20;20;1693;0;1;0;0;21;7;0;0;31;22;2;3;1
francisco-gomez;SKC;23;10;1097;13;1;0;0;30;10;0;0;9;18;0;0;0
ned-grabavoy;LA;15;11;928;4;1;0;3;7;7;0;0;15;14;1;2;0
taylor-graham;SKC;17;7;750;10;1;0;0;4;2;0;0;6;7;0;1;0
kelly-gray;CHI;25;23;2112;2;1;0;0;20;6;0;0;8;13;2;2;0
joshua-gros;DC;29;21;2087;8;1;0;4;30;17;0;0;46;29;4;6;0
jay-heaps;NE;28;26;2415;2;1;0;2;11;6;0;0;23;30;2;4;0
steve-jolley;DAL;28;28;2428;0;1;0;0;13;6;0;0;20;14;1;4;0
manny-lagos;CLB;18;8;766;10;1;0;2;10;3;0;0;14;14;1;2;0
richard-mulrooney;SJ;30;30;2700;0;1;0;8;28;13;0;0;35;89;2;4;0
oscar-pareja;DAL;24;12;1096;12;1;0;6;12;3;0;0;30;32;1;3;1
jeff-parke;RBNY;28;27;2409;1;1;0;1;23;10;0;0;22;24;0;5;0
mike-petke;DC;26;23;2027;3;1;0;0;7;3;0;0;40;15;0;6;0
eric-quill;DAL;23;16;1377;7;1;0;3;23;12;0;0;23;15;5;1;0
michael-ritch;CLB;12;4;397;8;1;0;1;9;4;0;0;6;4;0;1;0
zizi-roberts;COL;5;4;363;1;1;0;0;10;1;0;0;5;8;11;0;0
igor-simutenkov;SKC;9;5;456;4;1;0;0;16;5;0;0;9;12;0;0;0
shavar-thomas;SKC;25;22;1880;3;1;0;0;7;3;0;0;44;11;0;4;1
arturo-torres;LA;18;5;599;13;1;0;2;13;6;0;0;9;3;0;0;0
seth-trembly;COL;24;5;761;19;1;0;1;13;8;0;0;19;21;1;3;0
joselito-vaca;RBNY;22;20;1673;2;1;0;1;31;13;0;0;19;31;0;0;0
simo-valakari;DAL;26;26;2297;0;1;0;4;11;5;0;0;73;23;0;8;2
craig-waibel;SJ;23;23;2005;0;1;0;1;15;7;0;0;33;10;0;2;1
nelson-akwari;CLB;19;16;1400;3;0;0;0;0;0;0;0;19;6;0;4;0
chris-aloisi;LA;4;3;281;1;0;0;0;1;0;0;0;10;7;0;3;0
kevin-ara;DC;6;1;114;5;0;0;0;0;0;0;0;3;3;1;1;0
richie-baker;NE;20;11;1052;9;0;0;6;14;7;0;0;17;12;4;2;0
devin-barclay;CLB;3;1;72;2;0;0;0;0;0;0;0;1;1;0;0;0
clint-baumstark;CLB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
clint-baumstark;NE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
damarcus-beasley;CHI;15;14;1290;1;0;0;3;23;6;0;0;21;50;3;1;0
perek-belleh;NE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
peter-billmeyer;DAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tenywa-bonseu;RBNY;14;13;1164;1;0;0;0;4;1;0;0;13;6;0;4;0
alexandre-boucicaut;CHI;5;1;164;4;0;0;0;4;1;0;0;0;2;1;0;0
michael-bradley;RBNY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pablo-brenes;RBNY;14;5;709;9;0;0;0;13;4;0;0;10;23;5;1;0
paul-broome;LA;22;20;1758;2;0;0;1;5;3;0;0;30;23;0;7;0
adin-brown;NE;7;7;585;0;0;0;0;0;51;0;0;0;0;0;0;0
c-j-brown;CHI;24;24;2130;0;0;0;1;5;2;0;0;32;30;0;4;1
scott-buete;CHI;13;8;702;5;0;0;2;2;0;0;0;18;9;0;3;1
jon-busch;CLB;29;29;2610;0;0;0;0;0;169;0;0;1;2;0;3;0
danny-califf;LA;13;10;855;3;0;0;0;3;2;0;0;18;11;0;2;0
adrian-cann;COL;2;0;11;2;0;0;0;0;0;0;0;0;0;0;0;0
joe-cannon;COL;30;30;2700;0;0;0;0;0;187;0;0;3;3;0;2;0
g-r-cannon;DC;1;0;35;1;0;0;0;0;0;0;0;3;0;0;0;0
chris-carrieri;CHI;1;0;34;1;0;0;0;1;0;0;0;0;2;1;0;0
brian-carroll;DC;30;26;2438;4;0;0;1;12;3;0;0;42;11;0;4;0
jeff-cassar;DAL;19;19;1632;0;0;0;0;0;94;0;0;0;0;0;0;0
david-castellanos;COL;3;1;132;2;0;0;0;3;1;0;0;2;1;2;1;0
denny-clanton;CHI;10;6;500;4;0;0;0;0;0;0;0;9;4;0;1;0
ryan-cochrane;SJ;18;18;1459;0;0;0;1;3;3;0;0;25;10;1;3;1
bobby-convey;DC;10;10;823;0;0;0;3;16;4;0;0;15;18;6;2;0
jon-conway;SJ;5;5;450;0;0;0;0;0;18;0;0;1;0;0;0;0
d-j-countess;CHI;2;2;180;0;0;0;0;0;9;0;0;0;1;0;0;0
steve-cronin;SJ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jim-curtin;CHI;30;30;2700;0;0;0;1;12;7;0;0;26;28;1;5;0
antonio-de-la-torre;COL;28;28;2409;0;0;0;5;29;7;0;0;30;13;0;5;0
david-de-la-torre;COL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
eric-denton;CLB;18;16;1310;2;0;0;2;4;2;0;0;17;10;3;4;0
justin-detter;SKC;6;2;162;4;0;0;0;3;2;0;0;0;1;1;0;0
joey-digiamarino;RBNY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
joey-digiamarino;COL;8;5;413;3;0;0;1;2;0;0;0;4;5;0;2;0
tighe-dombrowski;SJ;4;0;44;4;0;0;0;0;0;0;0;0;0;0;0;0
todd-dunivant;SJ;16;13;1212;3;0;0;0;7;3;0;0;10;11;0;1;0
simon-elliott;CLB;27;26;2353;1;0;0;10;18;4;0;0;28;29;2;3;0
michael-erush;COL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
gilberto-flores;RBNY;7;7;451;0;0;0;1;7;1;0;0;21;20;0;1;0
robin-fraser;CLB;28;28;2520;0;0;0;0;1;0;0;0;37;6;0;3;1
nick-garcia;SKC;26;26;2295;0;0;0;1;4;1;0;0;31;18;2;6;0
josh-gardner;LA;2;0;25;2;0;0;0;1;0;0;0;1;0;0;0;0
scott-garlick;DAL;12;11;1068;1;0;0;1;0;72;0;0;0;1;0;0;0
chris-gbandi;DAL;23;20;1771;3;0;0;1;5;0;0;0;27;24;0;8;0
cory-gibbs;DAL;21;21;1850;0;0;0;1;12;2;0;0;32;29;0;4;0
guillermo-gonzalez;LA;6;1;114;5;0;0;0;3;0;0;0;1;0;1;1;0
clarence-goodson;DAL;5;2;247;3;0;0;0;2;0;0;0;3;2;1;2;0
alan-gordon;LA;3;2;142;1;0;0;0;4;2;0;0;4;1;0;0;0
