name;club;games_played;games_started;mins;total_sub_on;goals;accurate_pass_perc;assists;total_scoring_attempts;on_target_scoring_attempts;key_passes;expected_goals;fouls;fouls_suffered;offside;yellow_cards;red_cards
jaime-moreno;DC;20;20;1725;0;16;0;8;66;46;0;0;30;40;19;2;0
raul-diaz-arce;DC;22;20;1790;2;15;0;6;68;45;0;0;21;19;32;0;0
giovanni-savarese;RBNY;29;23;2069;6;14;0;4;49;27;0;0;53;53;29;4;0
ronald-cerritos;SJ;22;22;1847;0;12;0;10;40;21;0;0;15;28;34;0;0
preki;SKC;27;27;2330;0;12;0;17;84;44;0;0;27;32;8;4;0
dante-washington;DAL;30;25;2162;5;12;0;6;69;38;0;0;29;56;23;6;0
damian;DAL;19;19;1479;0;11;0;7;68;34;0;0;19;61;42;7;2
welton;LA;29;12;1321;17;11;0;3;44;18;0;0;28;39;18;2;0
jeff-baicher;SJ;32;20;2031;12;10;0;2;74;36;0;0;37;54;19;4;0
mark-chung;SKC;32;32;2871;0;10;0;8;62;32;0;0;26;69;8;0;0
roy-lassiter;TB;24;23;1885;1;10;0;2;48;30;0;0;16;31;32;2;0
lawrence-lozzano;SJ;29;23;2096;6;10;0;10;65;36;0;0;39;58;40;2;0
antony-de-avila;RBNY;23;21;1916;2;9;0;9;66;35;0;0;36;29;28;6;0
paul-bravo;COL;30;27;2445;3;8;0;6;63;28;0;0;29;31;9;1;0
gilmar;TB;16;16;1213;0;8;0;6;39;18;0;0;26;41;16;4;0
eduardo-hurtado;LA;22;21;1772;1;8;0;3;69;33;0;0;36;31;33;3;0
harut-karapetyan;LA;30;23;1770;7;8;0;3;75;35;0;0;23;26;19;1;0
jason-kreis;DAL;32;21;2200;11;8;0;6;61;28;0;0;44;44;4;3;0
pete-marino;CLB;28;7;1229;21;8;0;4;38;24;0;0;30;30;30;2;0
vitalis-takawira;SKC;28;23;2153;5;8;0;7;48;28;0;0;47;52;43;4;0
imad-baba;NE;29;28;2391;1;7;0;5;50;25;0;0;34;49;6;1;0
gerell-elliott;DAL;28;15;1500;13;7;0;5;45;34;0;0;8;22;22;0;0
chris-henderson;COL;30;29;2508;1;7;0;13;62;23;0;0;47;54;35;2;0
cobi-jones;LA;26;25;2228;1;7;0;9;53;35;0;0;27;74;16;1;0
alberto-naveda;NE;29;28;2394;1;7;0;6;69;38;0;0;66;75;6;1;0
alan-prampin;TB;24;12;1212;12;7;0;3;26;17;0;0;7;16;16;0;0
mauricio-cienfuegos;LA;22;22;1980;0;6;0;12;41;22;0;0;14;32;8;0;0
chiquinho-conde;NE;17;17;1500;0;6;0;4;34;16;0;0;21;30;20;3;0
mo-johnston;SKC;29;29;2564;0;6;0;9;56;33;0;0;52;31;14;9;1
brian-mcbride;CLB;13;13;1069;0;6;0;6;40;18;0;0;8;29;9;3;0
peter-vermes;COL;26;25;2206;1;6;0;4;29;12;0;0;37;42;1;1;0
giuseppe-galderisi;TB;16;15;1212;1;5;0;6;37;18;0;0;24;51;18;5;0
john-harkes;DC;25;23;2066;2;5;0;9;43;18;0;0;19;26;17;3;0
wolde-harris;COL;27;15;1484;12;5;0;5;41;19;0;0;42;29;5;3;0
frank-klopas;SKC;27;24;1967;3;5;0;7;46;26;0;0;32;38;20;3;0
david-patino;COL;23;22;1741;1;5;0;6;42;20;0;0;6;11;1;1;0
steve-ralston;TB;29;29;2493;0;5;0;11;42;19;0;0;21;40;6;0;0
tony-sanneh;DC;29;28;2274;1;5;0;11;39;19;0;0;42;41;10;6;0
steve-trittschuh;COL;29;29;2566;0;5;0;1;25;12;0;0;48;29;1;7;1
paul-wright;SKC;30;18;1646;12;5;0;3;31;22;0;0;24;32;14;1;0
eric-wynalda;SJ;14;9;923;5;5;0;11;28;14;0;0;8;19;10;2;0
thomas-dooley;CLB;15;15;1310;0;4;0;1;26;15;0;0;15;17;0;0;0
ben-iroha;DC;17;15;1104;2;4;0;5;14;6;0;0;23;14;1;3;1
martin-machon;LA;30;27;2437;3;4;0;6;51;27;0;0;33;28;2;3;0
matt-mckeon;SKC;31;30;2737;1;4;0;1;15;7;0;0;75;28;2;8;0
ivan-mckinley;NE;7;7;630;0;4;0;1;15;9;0;0;8;8;1;1;0
shawn-medved;SJ;31;15;1591;16;4;0;4;30;15;0;0;18;25;3;0;1
joe-max-moore;NE;13;12;987;1;4;0;2;28;15;0;0;13;15;5;2;0
adrian-paz;COL;25;24;2055;1;4;0;11;42;17;0;0;31;49;30;4;0
jorge-rodriguez;DAL;24;21;1874;3;4;0;1;38;21;0;0;23;26;4;3;0
mike-sorber;RBNY;22;22;1889;0;4;0;0;21;7;0;0;29;28;2;1;0
martin-vasquez;TB;28;28;2475;0;4;0;3;43;19;0;0;41;46;2;7;1
chris-armas;LA;28;28;2307;0;3;0;5;21;9;0;0;57;36;3;3;1
sean-bowers;SKC;26;24;2017;2;3;0;0;15;8;0;0;37;16;1;0;0
