name;club;games_played;games_started;mins;total_sub_on;goals;accurate_pass_perc;assists;total_scoring_attempts;on_target_scoring_attempts;key_passes;expected_goals;fouls;fouls_suffered;offside;yellow_cards;red_cards
jeff-cunningham;RSL;31;26;2404;5;16;0;11;83;45;0;0;25;49;35;6;0
christian-gomez;DC;30;28;2367;2;14;0;11;63;35;0;0;35;39;6;7;0
ante-razov;CHV;28;28;2485;0;14;0;8;98;40;0;0;38;41;43;6;0
carlos-ruiz;DAL;27;25;2113;2;13;0;5;54;29;0;0;54;72;32;6;0
landon-donovan;LA;24;24;2147;0;12;0;8;44;28;0;0;34;44;8;3;0
brian-ching;HOU;21;20;1822;1;11;0;2;64;30;0;0;38;50;23;1;0
kenny-cooper;DAL;31;29;2453;2;11;0;4;65;30;0;0;39;59;23;3;0
dwayne-de-rosario;HOU;30;29;2534;1;11;0;5;55;26;0;0;40;55;13;2;2
jaime-moreno;DC;32;31;2700;1;11;0;10;51;31;0;0;37;62;22;3;0
taylor-twellman;NE;32;32;2856;0;11;0;5;86;42;0;0;40;60;32;3;0
scott-sealy;SKC;29;20;1762;9;10;0;1;41;23;0;0;21;40;24;3;0
andy-herron;CHI;20;18;1449;2;9;0;1;37;25;0;0;24;24;35;3;0
jose-burciaga-jr;SKC;30;29;2590;1;8;0;8;50;22;0;0;29;38;2;3;1
clint-dempsey;NE;21;21;1865;0;8;0;4;67;31;0;0;41;62;22;5;0
juan-pablo-garcia;CHV;29;29;2438;0;8;0;6;51;29;0;0;36;41;7;5;0
amado-guevara;RBNY;28;26;2346;2;8;0;5;56;23;0;0;64;40;3;6;1
nate-jaqua;CHI;28;22;2037;6;8;0;2;48;17;0;0;49;34;14;4;0
jason-kreis;RSL;30;27;2434;3;8;0;5;56;22;0;0;29;28;21;3;1
kyle-beckerman;COL;31;31;2790;0;7;0;2;57;27;0;0;41;42;2;8;0
alecko-eskandarian;DC;22;16;1478;6;7;0;2;57;30;0;0;28;45;16;6;1
nicolas-hernandez;COL;30;29;2524;1;7;0;6;37;18;0;0;43;57;29;3;0
chris-klein;RSL;32;32;2842;0;7;0;8;70;27;0;0;18;25;17;0;0
chris-rolfe;CHI;21;21;1636;0;7;0;1;39;19;0;0;23;26;4;1;0
jonathan-bornstein;CHV;32;32;2878;0;6;0;4;38;21;0;0;28;37;11;2;0
edson-buddle;RBNY;28;24;2112;4;6;0;3;65;29;0;0;41;39;32;1;0
