name;club;games_played;games_started;mins;total_sub_on;goals;accurate_pass_perc;assists;total_scoring_attempts;on_target_scoring_attempts;key_passes;expected_goals;fouls;fouls_suffered;offside;yellow_cards;red_cards
diego-rossi;LAFC;19;19;1698;0;14;83.7;4;71;34;25;0;6;20;12;0;0
robert-beric;CHI;23;22;1931;1;12;70.5;1;62;29;23;0;38;58;28;1;0
raul-ruidiaz;SEA;17;17;1427;0;12;86.6;4;55;23;14;0;11;13;13;2;0
gyasi-zardes;CLB;21;20;1717;1;12;68.3;4;41;19;16;0;19;27;17;1;0
jordan-morris;SEA;22;18;1724;4;10;79.7;8;39;18;21;0;6;13;13;1;0
chris-mueller;ORL;22;17;1477;5;10;86.5;7;36;19;22;0;12;33;2;0;0
cristian-pavon;LA;22;22;1980;0;10;74.5;7;63;26;41;0;20;27;5;1;0
ayo-akinola;TOR;15;11;1063;4;9;74.8;0;36;18;7;0;28;7;13;1;0
kevin-molino;MIN;18;15;1264;3;9;79.7;4;38;17;14;0;16;48;4;0;0
alejandro-pozuelo;TOR;23;23;2015;0;9;84.9;10;52;25;61;0;26;28;1;3;0
teal-bunbury;NE;22;19;1466;3;8;77.2;1;43;12;14;0;22;23;6;3;0
daryl-dike;ORL;17;15;1222;2;8;71.1;4;30;12;5;0;25;30;6;0;0
jeremy-ebobisse;POR;18;11;1061;7;8;71.5;2;32;14;10;0;9;10;3;0;0
damir-kreilach;RSL;21;20;1770;1;8;81.6;1;48;20;9;0;30;33;5;4;0
;PHI;23;23;1975;0;8;75.3;6;54;25;26;0;14;23;17;1;0
romell-quioto;MTL;19;17;1483;2;8;82;6;51;20;18;0;13;23;16;2;1
sergio-santos;PHI;21;17;1218;4;8;61.6;2;34;12;18;0;34;20;9;4;0
diego-valeri;POR;22;18;1628;4;8;75.3;7;39;16;54;0;10;19;2;2;0
bradley-wright-phillips;LAFC;18;14;1081;4;8;74.9;6;33;15;8;0;12;16;8;0;0
franco-jara;DAL;19;16;1388;3;7;77.8;0;37;20;16;0;27;27;11;4;0
robin-lod;MIN;20;18;1585;2;7;79.9;5;40;13;21;0;21;8;2;3;0
nicolas-lodeiro;SEA;20;20;1782;0;7;81.8;10;40;18;46;0;14;54;3;2;0
felipe-mora;POR;19;13;1204;6;7;75.9;2;32;17;12;0;7;31;6;0;0
jaroslaw-niezgoda;POR;17;7;603;10;7;67.7;1;12;9;3;0;2;3;0;0;0
darwin-quintero;HOU;22;20;1689;2;7;73.9;10;59;24;56;0;11;26;9;5;0
chris-wondolowski;SJ;22;13;1275;9;7;77.7;1;31;19;9;0;11;14;10;1;0
nani;ORL;19;16;1424;3;6;75;5;51;16;31;0;14;27;3;3;1
adam-buksa;NE;23;16;1499;7;6;71.7;2;59;24;15;0;31;20;4;4;0
valentin-castellanos;NYC;22;14;1341;8;6;68.9;3;75;34;18;0;55;26;14;7;0
lucas-cavallini;VAN;18;16;1457;2;6;64.9;0;44;18;8;0;31;42;7;7;1
anthony-fontana;PHI;17;5;510;12;6;77;0;16;13;4;0;16;12;0;4;0
gadi-kinda;SKC;18;16;1394;2;6;82.3;4;35;11;24;0;30;25;2;5;1
sebastian-lletget;LA;21;19;1692;2;6;84.4;4;37;18;14;0;20;22;4;1;0
alan-pulido;SKC;12;11;962;1;6;82.5;5;36;18;9;0;8;30;6;3;0
johnny-russell;SKC;21;17;1529;4;6;72.2;4;50;17;29;0;14;27;0;3;0
pedro-santos;CLB;22;22;1841;0;6;75.5;8;44;16;32;0;30;47;1;4;0
lucas-zelarayan;CLB;16;12;1039;4;6;81.7;4;23;10;23;0;16;19;0;2;0
cole-bassett;COL;14;12;982;2;5;84.8;5;22;9;6;0;10;10;2;1;0
gustavo-bou;NE;18;14;1329;4;5;69.5;3;64;22;31;0;8;16;23;0;0
erik-hurtado;SKC;15;3;376;12;5;75.5;0;19;8;2;0;8;7;2;0;0
jonathan-lewis;COL;18;7;705;11;5;82.2;0;27;10;9;0;6;9;3;2;0
jesus-medina;NYC;22;18;1495;4;5;79.3;2;32;16;32;0;22;16;7;3;0
benji-michel;ORL;21;8;839;13;5;79.4;2;16;10;9;0;8;17;4;2;0
fredy-montero;VAN;16;11;1060;5;5;74.4;5;31;13;15;0;23;31;1;1;0
lewis-morgan;MIA;23;23;1952;0;5;74.3;8;56;18;60;0;9;27;3;1;0
danny-musovski;LAFC;15;6;629;9;5;72.6;1;20;15;4;0;10;4;5;0;0
andres-rios;SJ;22;20;1711;2;5;80.6;1;28;8;28;0;41;48;10;5;0
memo-rodriguez;HOU;21;20;1604;1;5;82.1;3;52;16;29;0;25;29;5;5;0
khiry-shelton;SKC;20;17;1447;3;5;77.2;1;29;14;25;0;17;17;9;4;0
maximiliano-urruti;MTL;15;10;895;5;5;78.4;2;22;11;12;0;9;10;7;1;0
brian-white;RBNY;18;10;872;8;5;58.2;1;26;11;9;0;17;5;11;1;0
brenden-aaronson;PHI;23;23;1913;0;4;81;7;36;16;26;0;17;28;4;0;0
andre-shinyashiki;COL;15;13;1034;2;4;77.1;1;33;18;14;0;18;19;3;2;0
yimmi-chara;POR;21;12;1233;9;4;87.2;8;23;12;14;0;5;20;4;0;0
alberth-elis;HOU;6;4;377;2;4;62.5;3;17;8;6;0;13;5;3;1;1
ethan-finlay;MIN;14;12;961;2;4;73.8;2;18;9;11;0;15;9;2;0;0
jon-gallagher;ATL;16;11;982;5;4;74.6;0;13;7;12;0;11;24;7;0;0
fabian-herbers;CHI;21;18;1365;3;4;77.8;1;31;10;23;0;24;21;3;6;0
ryan-hollingshead;DAL;20;19;1731;1;4;80.1;1;31;11;18;0;23;17;2;3;0
ola-kamara;DC;22;17;1328;5;4;73.4;0;28;9;9;0;9;24;20;0;0
bojan-krkic;MTL;17;14;1159;3;4;82.5;2;25;12;18;0;6;20;5;0;0
lassi-lappalainen;MTL;13;7;680;6;4;79.5;1;13;11;7;0;5;4;4;0;0
richie-laryea;TOR;20;15;1398;5;4;86.4;4;13;6;9;0;13;45;3;1;0
;NYC;12;8;699;4;4;78.2;2;23;9;14;0;6;21;0;0;0
santiago-mosquera;DAL;12;5;411;7;4;73.9;0;17;9;4;0;5;6;4;0;0
hany-mukhtar;NSH;15;13;1092;2;4;84.8;4;32;13;24;0;13;28;3;0;0
pablo-piatti;TOR;17;16;1338;1;4;84.3;4;39;16;26;0;28;37;1;4;0
;MIA;19;17;1578;2;4;80.7;5;31;11;21;0;13;56;7;4;0
alexander-ring;NYC;23;23;2016;0;4;83.9;4;26;8;25;0;43;19;12;5;0
daniel-rios;NSH;18;8;697;10;4;82.6;0;25;9;8;0;9;7;2;0;0
daniel-royer;RBNY;20;15;1354;5;4;74.3;3;30;10;9;0;9;30;8;0;0
brek-shea;MIA;13;6;628;7;4;73.6;0;13;6;3;0;9;6;3;1;0
saphir-taider;MTL;11;11;955;0;4;87.6;6;19;5;19;0;11;16;1;1;0
anton-tinnerholm;NYC;23;22;2001;1;4;76.3;4;21;6;35;0;27;27;4;5;0
carlos-vela;LAFC;7;4;422;3;4;80.7;1;22;10;14;0;3;8;1;0;0
juan-agudelo;MIA;14;9;841;5;3;74.5;0;19;4;8;0;19;14;6;2;1
tesho-akindele;ORL;17;8;822;9;3;79.9;0;12;6;11;0;5;6;3;0;0
yamil-asad;DC;23;18;1582;5;3;79.3;2;19;7;15;0;17;49;4;5;0
tom-barlow;RBNY;21;12;974;9;3;69;0;39;20;4;0;13;4;15;0;0
alejandro-bedoya;PHI;21;21;1832;0;3;80.5;3;31;12;28;0;29;12;7;9;0
cristian-dajome;VAN;23;18;1603;5;3;78.8;4;31;10;22;0;24;40;2;3;0
kyle-duncan;RBNY;23;21;1908;2;3;72.1;4;13;4;13;0;31;33;0;3;0
cristian-espinoza;SJ;23;22;1811;1;3;80.3;9;52;19;41;0;21;19;3;3;0
gerso-fernandes;SKC;19;10;820;9;3;74.5;3;23;5;8;0;10;14;2;2;0
przemyslaw-frankowski;CHI;19;16;1459;3;3;75.8;1;27;13;33;0;29;19;2;1;0
adam-jahn;ATL;21;13;1072;8;3;72.8;2;15;8;6;0;20;2;11;2;0
kei-kamara;COL;9;5;522;4;3;79.7;1;17;5;6;0;6;5;1;1;0
mark-anthony-kaye;LAFC;16;15;1095;1;3;83.6;4;13;4;19;0;11;16;1;1;1
yuya-kubo;CIN;19;15;1284;4;3;81.2;0;19;7;13;0;28;40;2;1;0
ariel-lassiter;HOU;16;10;949;6;3;79.4;1;30;16;12;0;7;14;8;2;0
randall-leal;NSH;21;19;1615;2;3;78.1;4;41;18;17;0;31;36;3;2;0
kelvin-leerdam;SEA;21;19;1550;2;3;81.7;3;18;3;18;0;14;5;2;2;0
mauro-manotas;HOU;20;15;1327;5;3;78;2;45;20;23;0;9;12;2;0;1
justin-meram;RSL;21;13;1146;8;3;75;3;16;8;12;0;15;15;3;1;0
youness-mokhtar;CLB;19;10;805;9;3;81.6;1;21;8;7;0;14;12;2;1;0
jamiro-monteiro;PHI;22;22;1941;0;3;86.1;6;32;14;40;0;38;39;0;6;0
keaton-parks;NYC;23;20;1733;3;3;84.7;1;40;16;17;0;25;11;1;5;0
ilsinho;PHI;22;2;623;20;3;87.8;3;10;4;8;0;8;7;2;2;0
fafa-picault;DAL;18;11;1040;7;3;79.6;2;22;8;13;0;5;13;3;1;0
mauricio-pineda;CHI;23;23;2022;0;3;88;2;9;3;1;0;24;7;0;5;0
donovan-pines;DC;16;15;1353;1;3;82;0;15;8;2;0;13;11;2;0;0
vako;SJ;15;9;800;6;3;88.5;1;28;14;9;0;4;13;0;0;0
diego-rubio;COL;16;12;1040;4;3;75.5;4;24;7;15;0;18;29;5;3;0
albert-rusnak;RSL;16;15;1291;1;3;87.4;2;31;8;33;0;8;21;1;0;0
ismael-tajouri-shradi;NYC;15;6;670;9;3;87.2;1;21;8;11;0;10;6;3;0;0
junior-urso;ORL;23;20;1708;3;3;88;2;33;13;11;0;27;39;0;3;0
eryk-williamson;POR;21;17;1417;4;3;84.2;5;16;5;8;0;23;29;2;7;0
walker-zimmerman;NSH;22;22;1955;0;3;83.6;1;19;9;9;0;18;4;0;1;0
kellyn-acosta;COL;15;14;1150;1;2;86.2;1;27;11;7;0;14;12;0;5;0
oswaldo-alanis;SJ;14;14;1188;0;2;86.8;1;13;4;3;0;7;7;0;1;0
;TOR;13;10;746;3;2;75.5;1;28;14;10;0;12;12;5;3;0
luis-amarilla;MIN;7;5;425;2;2;72.2;1;16;5;3;0;5;9;2;2;0
corey-baird;RSL;21;17;1529;4;2;76.6;4;29;4;14;0;21;25;6;4;0
;ATL;15;11;1034;4;2;85.9;3;31;14;14;0;8;47;2;3;0
sebastian-blanco;POR;9;8;665;1;2;74;5;22;7;8;0;8;9;0;1;0
frederic-brillant;DC;19;18;1682;1;2;83.2;0;6;3;1;0;15;6;0;5;1
tajon-buchanan;NE;23;11;1084;12;2;79.5;2;30;12;10;0;20;37;7;1;0
cory-burke;PHI;5;0;109;5;2;63.9;0;9;5;0;0;5;0;0;0;0
jhonder-cadiz;NSH;7;0;219;7;2;65.2;0;15;6;0;0;7;7;4;0;0
alexander-callens;NYC;22;22;1934;0;2;84.7;0;9;3;1;0;28;15;0;6;0
russell-canouse;DC;15;15;1234;0;2;82.6;0;5;3;5;0;26;14;0;6;1
julian-carranza;MIA;16;5;542;11;2;71.2;0;12;4;4;0;21;24;5;3;0
cristian-casseres-jr;RBNY;19;14;1310;5;2;77.9;3;13;7;7;0;27;22;1;3;0
caden-clark;RBNY;7;3;279;4;2;56.5;0;5;2;1;0;9;5;0;0;0
abu-danladi;NSH;17;7;575;10;2;76.7;1;17;4;7;0;10;8;1;1;0
artur;CLB;22;20;1831;2;2;88.3;4;11;6;9;0;43;14;1;3;0
roger-espinoza;SKC;16;12;950;4;2;81.8;2;19;8;6;0;20;10;1;3;0
omir-fernandez;RBNY;15;5;570;10;2;70.6;1;12;3;6;0;7;11;1;0;0
carlos-fierro;SJ;16;11;961;5;2;75.5;3;21;8;9;0;9;22;3;2;0
maynor-figueroa;HOU;20;19;1717;1;2;85.5;0;19;3;4;0;29;22;0;7;0
yeimar-gomez-andrade;SEA;19;19;1626;0;2;83.9;1;16;5;3;0;20;13;0;5;0
leandro-gonzalez-pirez;MIA;16;16;1440;0;2;83.8;1;11;4;6;0;29;27;1;8;0
julian-gressel;DC;22;19;1681;3;2;70.1;3;27;5;35;0;13;10;5;1;0
niko-hansen;HOU;17;8;716;9;2;76;1;18;7;7;0;9;12;3;0;0
javier-hernandez;LA;12;7;758;5;2;77.9;0;21;7;5;0;2;14;7;0;0
federico-higuain;DC;10;0;155;10;2;81.7;0;4;4;3;0;2;2;1;1;0
emerson-hyndman;ATL;20;16;1383;4;2;89.9;2;14;6;10;0;17;8;1;2;0
