name;club;games_played;games_started;mins;total_sub_on;goals;accurate_pass_perc;assists;total_scoring_attempts;on_target_scoring_attempts;key_passes;expected_goals;fouls;fouls_suffered;offside;yellow_cards;red_cards
taylor-twellman;NE;25;25;2226;0;17;0;7;82;51;0;0;32;32;33;1;0
jaime-moreno;DC;29;28;2445;1;16;0;7;77;46;0;0;43;56;16;2;2
jeff-cunningham;COL;26;17;1670;9;12;0;3;55;31;0;0;18;52;26;4;0
landon-donovan;LA;22;20;1887;2;12;0;10;49;32;0;0;19;36;12;3;0
herculez-gomez;LA;22;16;1508;6;11;0;2;54;25;0;0;29;53;19;5;0
christian-gomez;DC;31;30;2419;1;11;0;9;64;37;0;0;22;41;7;6;0
amado-guevara;RBNY;26;26;2284;0;11;0;11;67;31;0;0;43;51;7;9;1
carlos-ruiz;DAL;19;18;1549;1;11;0;2;63;30;0;0;38;47;36;2;0
clint-dempsey;NE;26;26;2319;0;10;0;9;60;27;0;0;46;71;4;7;0
youri-djorkaeff;RBNY;24;24;1986;0;10;0;7;76;33;0;0;44;42;19;3;0
josh-wolff;SKC;22;22;1910;0;10;0;10;51;29;0;0;27;40;20;0;0
edson-buddle;CLB;23;21;1762;2;9;0;2;70;24;0;0;28;30;18;0;0
dwayne-de-rosario;SJ;28;26;2375;2;9;0;13;70;34;0;0;36;58;9;4;0
jason-kreis;RSL;24;24;2160;0;9;0;4;65;31;0;0;33;35;23;6;0
scott-sealy;SKC;28;20;1669;8;9;0;2;31;20;0;0;18;37;16;0;0
eddie-gaven;RBNY;28;26;2257;2;8;0;4;34;19;0;0;31;67;11;0;0
alejandro-moreno;SJ;31;24;2167;7;8;0;4;42;20;0;0;39;102;23;3;0
pat-noonan;NE;21;21;1843;0;8;0;7;57;29;0;0;20;36;19;4;0
chris-rolfe;CHI;29;21;1942;8;8;0;5;61;32;0;0;20;36;11;1;0
brian-ching;SJ;16;11;990;5;7;0;5;25;17;0;0;37;36;9;3;0
sergio-galvan-rey;RBNY;27;16;1598;11;7;0;0;44;23;0;0;13;14;28;2;0
nate-jaqua;CHI;18;15;1361;3;7;0;3;45;24;0;0;35;30;10;4;0
peguero-jean-philippe;COL;26;20;1842;6;7;0;6;48;20;0;0;52;45;27;6;1
chris-klein;SKC;31;31;2765;0;7;0;9;84;34;0;0;26;19;18;0;0
roberto-mina;DAL;21;15;1270;6;7;0;4;35;13;0;0;47;23;12;2;0
sasha-victorine;SKC;30;30;2658;0;7;0;4;35;15;0;0;30;29;1;0;0
ronald-cerritos;SJ;30;28;2308;2;6;0;9;50;29;0;0;21;37;41;0;0
mark-chung;SJ;24;23;2053;1;6;0;7;32;16;0;0;36;39;2;2;0
;CHI;27;25;2220;2;6;0;7;45;20;0;0;42;45;1;3;0
shalrie-joseph;NE;31;31;2788;0;6;0;5;32;18;0;0;65;51;0;8;0
ronnie-o-brien;DAL;28;28;2512;0;6;0;12;83;37;0;0;58;47;3;8;0
ante-razov;RBNY;18;16;1431;2;6;0;5;46;17;0;0;19;17;25;2;1
davy-arnaud;SKC;31;28;2527;3;5;0;4;64;25;0;0;53;85;30;6;0
eddie-johnson;DAL;15;13;1180;2;5;0;2;30;12;0;0;19;25;11;1;0
mike-magee;RBNY;29;21;1835;8;5;0;5;27;13;0;0;36;36;9;2;0
jesse-marsch;CHI;28;22;1947;6;5;0;2;25;15;0;0;39;17;0;4;0
alain-nkong;COL;28;20;1732;8;5;0;4;48;18;0;0;46;46;0;9;0
ramon-nunez;DAL;21;12;1141;9;5;0;3;49;22;0;0;9;21;1;1;0
santino-quaranta;DC;18;13;1185;5;5;0;5;30;17;0;0;24;34;13;2;0
peter-vagenas;LA;29;28;2478;1;5;0;4;29;12;0;0;34;42;4;3;0
andy-williams;RSL;26;26;2102;0;5;0;3;46;18;0;0;41;79;8;5;1
freddy-adu;DC;25;16;1487;9;4;0;6;37;16;0;0;22;56;4;4;0
dedi-ben-dayan;COL;8;3;358;5;4;0;2;12;8;0;0;3;9;6;0;0
knox-cameron;CLB;20;9;804;11;4;0;1;15;7;0;0;16;7;6;0;0
hector-cuadros;CHV;26;18;1694;8;4;0;4;30;9;0;0;26;52;6;6;0
cornell-glen;CLB;22;13;1241;9;4;0;4;52;20;0;0;24;35;18;5;1
joshua-gros;DC;30;29;2563;1;4;0;4;29;12;0;0;51;24;3;6;1
jack-jewsbury;SKC;29;6;1001;23;4;0;0;26;14;0;0;16;15;4;1;0
jovan-kirovski;LA;24;21;1704;3;4;0;4;48;20;0;0;25;36;13;2;0
dema-kovalenko;DC;26;23;2057;3;4;0;4;41;13;0;0;32;44;18;3;1
abe-thompson;DAL;18;6;674;12;4;0;0;19;10;0;0;10;8;10;0;0
bobby-boswell;DC;27;26;2344;1;3;0;1;12;6;0;0;32;12;0;6;0
jordan-cila;RSL;12;8;646;4;3;0;1;6;4;0;0;10;9;4;1;0
ricardo-clark;SJ;30;28;2492;2;3;0;2;31;6;0;0;58;42;1;6;0
