name;club;games_played;games_started;mins;total_sub_on;goals;accurate_pass_perc;assists;total_scoring_attempts;on_target_scoring_attempts;key_passes;expected_goals;fouls;fouls_suffered;offside;yellow_cards;red_cards
sebastian-giovinco;TOR;33;32;2775;1;22;76.3;16;181;73;49;0;43;90;34;4;0
kei-kamara;CLB;32;31;2761;1;22;63.7;8;135;57;30;0;59;52;17;6;0
robbie-keane;LA;24;22;2059;2;20;77.7;8;73;39;23;0;15;22;18;1;0
david-villa;NYC;30;29;2514;1;18;75.8;8;138;64;46;0;29;49;47;4;0
cyle-larin;ORL;27;24;1906;3;17;72.1;0;64;29;12;0;31;30;24;0;1
bradley-wright-phillips;RBNY;34;33;2865;1;17;73.5;7;113;51;32;0;47;44;44;2;0
fanendo-adi;POR;33;23;2161;10;16;70.3;3;85;36;38;0;49;50;24;2;0
chris-wondolowski;SJ;31;30;2688;1;16;76.1;2;91;39;17;0;27;31;14;3;0
obafemi-martins;SEA;21;20;1805;1;15;76.3;6;42;28;16;0;18;48;11;2;0
;TOR;25;21;1796;4;13;73.9;0;37;18;23;0;39;45;7;3;2
dom-dwyer;SKC;30;28;2546;2;12;66.1;2;96;40;19;0;59;81;25;8;1
ethan-finlay;CLB;34;34;2790;0;12;76.4;13;53;28;25;0;28;25;26;0;0
will-bruin;HOU;33;28;2414;5;11;69.9;4;49;25;20;0;32;31;13;2;0
didier-drogba-x7391;MTL;11;9;870;2;11;56.6;1;47;21;12;0;19;24;5;1;0
david-accam;CHI;24;21;1865;3;10;64.8;2;67;35;42;0;37;50;21;4;1
charlie-davies;NE;33;25;2163;8;10;73.4;4;49;26;16;0;32;33;20;1;0
clint-dempsey;SEA;20;20;1742;0;10;83.7;10;61;27;20;0;18;39;5;1;0
benny-feilhaber;SKC;32;30;2731;2;10;78.1;15;48;17;59;0;44;64;1;8;1
krisztian-nemeth;SKC;28;23;2037;5;10;75.4;6;58;20;13;0;19;35;8;3;0
octavio-rivero;VAN;34;30;2734;4;10;68.6;3;101;41;36;0;59;73;21;3;0
chris-rolfe;DC;31;30;2454;1;10;76.8;4;64;29;20;0;19;30;4;0;0
lloyd-sam;RBNY;31;27;2281;4;10;81.5;7;32;20;33;0;31;42;16;3;0
fabian-castillo;DAL;30;28;2559;2;9;71;9;79;30;23;0;27;37;16;2;0
kaka;ORL;28;28;2440;0;9;82.3;7;56;21;48;0;18;36;4;6;1
mike-grella;RBNY;33;30;2364;3;9;76.4;7;52;22;24;0;30;25;7;3;0
ignacio-piatti;MTL;26;26;2213;0;9;83.1;8;60;29;46;0;22;56;10;2;0
cj-sapong;PHI;27;20;1897;7;9;69.3;4;44;21;25;0;38;52;9;2;0
ricardo-clark;HOU;30;30;2573;0;8;77.5;1;59;21;9;0;44;32;5;5;0
mauro-diaz;DAL;24;24;1992;0;8;77.4;10;49;17;49;0;26;76;3;3;0
federico-higuain;CLB;32;32;2724;0;8;80.7;9;73;28;71;0;27;41;9;6;1
sacha-kljestan;RBNY;33;33;2843;0;8;79.1;14;58;22;70;0;43;58;9;4;1
sebastien-le-toux;PHI;31;26;2379;5;8;72.1;6;50;25;33;0;21;22;12;4;0
javier-morales;RSL;26;24;2124;2;8;85.5;12;50;20;75;0;37;59;6;3;1
dominic-oduro;MTL;28;18;1671;10;8;74.2;0;50;20;11;0;9;36;14;4;0
juan-agudelo;NE;32;20;1761;12;7;75.2;3;54;21;17;0;51;35;20;4;0
giles-barnes;HOU;28;28;2474;0;7;84.8;3;75;22;16;0;37;62;11;5;0
michael-barrios;DAL;26;19;1745;7;7;79.2;2;34;19;24;0;27;33;4;0;0
kennedy-igboananike;CHI;31;20;1796;11;7;78;3;66;22;18;0;35;52;14;4;0
sebastian-lletget;LA;20;17;1449;3;7;85.3;2;29;13;17;0;7;26;2;0;0
kekuta-manneh;VAN;32;28;2424;4;7;74.8;6;82;33;35;0;20;26;11;3;0
lee-nguyen;NE;32;31;2706;1;7;78.7;10;82;30;39;0;40;79;7;4;1
kelyn-rowe;NE;33;21;1924;12;7;76.5;6;51;24;21;0;38;35;4;1;0
cristian-techera;VAN;22;17;1571;5;7;78.2;5;38;18;25;0;17;33;9;4;0
quincy-amarikwa;SJ;17;17;1462;0;6;74.1;4;45;15;22;0;27;52;18;1;0
diego-fagundez;NE;30;19;1735;11;6;81;4;44;17;27;0;30;14;3;3;0
justin-meram;CLB;31;28;2230;3;6;77.3;5;75;27;32;0;27;41;7;3;0
pedro-morales;VAN;23;15;1429;8;6;74.9;4;43;17;42;0;11;18;6;3;1
patrick-mullins;NYC;24;11;1040;13;6;65.7;4;38;14;13;0;18;25;7;2;0
david-texeira;DAL;22;19;1402;3;6;68.3;3;36;11;13;0;26;17;6;1;0
gyasi-zardes;LA;29;27;2454;2;6;77.9;4;45;13;32;0;28;34;2;3;0
tesho-akindele;DAL;28;14;1502;14;5;73.7;1;29;15;18;0;20;15;8;2;0
fernando-aristeguieta;PHI;21;14;1251;7;5;66.7;1;50;20;16;0;22;20;10;3;0
jairo-arrieta;DC;27;15;1264;12;5;70.3;2;28;16;17;0;46;22;32;1;0
chad-barrett;SEA;18;9;715;9;5;65.5;0;18;8;9;0;9;4;7;1;0
michael-bradley;TOR;25;25;2250;0;5;84;6;57;17;46;0;22;22;0;3;0
kevin-doyle;COL;20;16;1489;4;5;70.2;2;34;13;9;0;22;24;7;3;0
fabian-espindola;DC;17;15;1346;2;5;69.9;7;45;17;31;0;11;17;14;2;1
alan-gordon;LA;29;7;977;22;5;71.2;0;34;11;7;0;40;19;10;7;0
sebastian-jaime;RSL;20;17;1267;3;5;74.7;2;20;8;13;0;28;22;6;2;1
thomas-mcnamara;NYC;19;15;1324;4;5;76.9;3;23;12;14;0;18;21;1;3;0
darlington-nagbe;POR;33;33;2842;0;5;89;5;50;16;63;0;10;88;3;0;0
vincent-nogueira;PHI;27;22;1993;5;5;85.4;0;25;10;13;0;16;37;0;6;0
gilberto;CHI;10;8;681;2;5;73.5;2;37;16;6;0;15;8;3;2;0
blas-perez;DAL;23;14;1274;9;5;66.6;1;33;16;13;0;23;28;6;2;1
tony-tchani;CLB;32;32;2787;0;5;81.9;6;42;16;25;0;73;40;0;5;0
anatole-abang;RBNY;17;3;390;14;4;51.1;1;15;8;3;0;18;10;11;1;0
teal-bunbury;NE;30;20;1787;10;4;69.1;5;26;10;24;0;50;37;2;6;0
brad-davis;HOU;30;29;2596;1;4;79.6;10;45;16;60;0;28;27;7;2;0
kevin-ellis;SKC;27;26;2335;1;4;79.2;1;11;7;0;0;31;19;2;5;0
jack-mcinerney;MTL;17;13;1188;4;4;75.6;0;27;12;9;0;17;14;14;4;0
lamar-neagle;SEA;31;23;2028;8;4;69;2;40;20;9;0;29;20;19;2;0
juninho;LA;34;32;2857;2;4;84.6;7;28;13;33;0;29;33;0;5;0
joao-plata;RSL;19;17;1431;2;4;81.3;4;37;14;17;0;6;23;11;1;0
kwadwo-poku;NYC;27;6;978;21;4;81.8;7;18;10;21;0;18;9;1;4;0
andres-romero;MTL;27;23;1875;4;4;77.1;4;37;16;33;0;30;33;4;9;0
alvaro-saborio;DC;12;9;779;3;4;66.5;0;24;15;5;0;19;11;16;0;0
vicente-sanchez;COL;30;16;1399;14;4;72.7;5;41;16;39;0;18;28;7;1;0
devon-sandoval;RSL;30;17;1606;13;4;75.2;2;28;13;12;0;24;22;8;2;0
gabriel-torres;COL;25;19;1595;6;4;74.6;3;42;14;21;0;20;29;25;1;0
maximiliano-urruti;POR;30;12;1082;18;4;74.2;3;39;15;13;0;22;18;15;3;0
kellyn-acosta;DAL;21;19;1606;2;3;77;2;29;8;13;0;24;23;0;4;1
mehdi-ballouchy;NYC;19;16;1259;3;3;79.3;2;13;7;25;0;28;27;1;5;0
nat-borchers;POR;31;31;2790;0;3;86.2;0;15;8;3;0;13;6;3;0;0
conor-casey;PHI;14;2;340;12;3;62;1;14;8;4;0;8;4;7;2;0
cordell-cato;SJ;28;18;1814;10;3;78;2;18;7;17;0;24;14;3;0;0
marky-delgado;TOR;20;19;1699;1;3;85;3;20;6;17;0;18;14;2;3;0
mix-diskerud;NYC;27;23;2073;4;3;82.1;1;32;12;30;0;32;32;2;3;0
giovani-dos-santos;LA;10;10;803;0;3;82;5;22;10;16;0;10;13;3;0;0
boniek-garcia;HOU;23;16;1460;7;3;82;5;7;4;27;0;17;29;1;2;1
jack-jewsbury;POR;26;18;1719;8;3;87.3;0;18;7;19;0;12;16;0;2;0
pa-modou-kah;VAN;25;24;2164;1;3;77.3;2;6;3;5;0;24;13;0;6;0
perry-kitchen;DC;33;31;2831;2;3;86.1;1;14;6;12;0;66;33;1;6;0
frank-lampard;NYC;10;9;733;1;3;77.8;1;27;4;6;0;8;16;1;0;0
shaun-maloney;CHI;14;14;1228;0;3;87.2;2;20;5;38;0;14;16;6;2;0
felipe-martins;RBNY;34;34;2922;0;3;81.9;5;56;13;58;0;33;63;4;5;0
darren-mattocks;VAN;22;9;848;13;3;73.1;1;25;9;4;0;11;16;6;2;0
luke-mulholland;RSL;29;27;2329;2;3;76.3;2;26;9;17;0;37;36;0;7;0
paulo-nagamura;SKC;21;17;1484;4;3;83.7;1;22;6;8;0;26;10;3;6;0
patrick-nyarko;CHI;19;14;1222;5;3;69;4;19;8;13;0;16;53;2;4;0
marco-pappa;SEA;20;17;1468;3;3;81.2;6;37;15;29;0;17;38;2;2;0
chris-pontius;DC;23;17;1534;6;3;80.7;1;35;11;19;0;18;33;2;1;0
dillon-powers;COL;32;25;2235;7;3;77.5;6;43;16;39;0;36;51;4;3;0
bryan-rochez;ORL;16;0;265;16;3;68.4;0;11;7;2;0;6;7;8;2;0
alvaro-saborio;RSL;14;13;1083;1;3;69.3;0;30;13;8;0;17;22;19;2;0
shea-salinas;SJ;34;29;2621;5;3;77.8;5;36;10;42;0;29;30;6;2;0
dillon-serna;COL;15;8;680;7;3;69.1;1;13;7;8;0;9;2;3;2;0
harry-shipp;CHI;33;29;2571;4;3;78.8;8;53;19;50;0;21;31;5;2;0
fatai-alashe;SJ;28;27;2317;1;2;81.2;2;19;5;10;0;32;30;4;5;1
eric-ayuk;PHI;28;14;1320;14;2;75.5;2;15;5;10;0;19;56;4;3;1
dominique-badji;COL;15;9;812;6;2;62.2;0;18;7;7;0;24;8;14;1;0
steven-birnbaum;DC;22;21;1822;1;2;78;0;14;5;4;0;29;21;2;5;0
bobby-boswell;DC;34;33;2975;1;2;78.3;0;20;4;3;0;21;14;1;5;0
bobby-burling;COL;22;22;1958;0;2;67.9;0;9;3;3;0;32;22;1;9;1
scott-caldwell;NE;34;32;2882;2;2;85.2;5;14;5;20;0;42;34;0;3;0
darwin-ceren;ORL;26;25;2254;1;2;86.5;2;29;7;26;0;53;33;0;6;0
diego-chara;POR;28;28;2479;0;2;86.9;1;11;7;16;0;63;48;0;8;1
laurent-ciman;MTL;27;27;2405;0;2;81.6;2;35;8;3;0;45;19;1;8;3
razvan-cocis;CHI;26;22;2005;4;2;80.3;3;15;6;16;0;21;29;0;2;0
aurelien-collin;ORL;28;27;2407;1;2;82.3;1;10;3;3;0;36;30;5;2;1
pedro-ribeiro;ORL;18;8;732;10;2;65.3;2;19;10;4;0;11;14;10;0;0
alex;HOU;15;9;820;6;2;78.8;0;12;3;5;0;12;11;0;1;0
nick-deleon;DC;29;25;2221;4;2;82.7;5;33;8;16;0;18;18;5;1;0
conor-doyle;DC;25;10;1148;15;2;74.7;0;16;7;9;0;33;9;2;5;0
dilly-duka;MTL;27;19;1789;8;2;81.1;2;34;13;21;0;20;18;3;1;0
robert-earnshaw;VAN;9;0;43;9;2;66.7;0;2;2;0;0;1;1;0;0;0
gaston-fernandez;POR;21;6;721;15;2;82.6;2;25;6;16;0;12;19;1;0;0
robbie-findley;TOR;25;18;1476;7;2;75.8;3;28;8;12;0;18;35;4;2;0
olmes-garcia;RSL;33;15;1542;18;2;75.3;1;32;15;11;0;29;34;10;4;0
steven-gerrard;LA;13;13;1164;0;2;84.3;3;30;10;13;0;11;15;0;0;0
anibal-godoy;SJ;10;10;894;0;2;88.1;0;14;4;6;0;23;24;0;5;0
clarence-goodson;SJ;28;28;2398;0;2;73.1;2;19;7;6;0;26;32;1;7;0
ned-grabavoy;NYC;26;22;1884;4;2;86.1;3;15;8;31;0;23;37;2;2;1
atiba-harris;DAL;27;20;1849;7;2;72.5;2;19;3;16;0;39;8;1;8;0
ryan-hollingshead;DAL;33;25;2171;8;2;74;3;13;4;15;0;34;35;7;4;0
baggio-husidic;LA;24;21;1924;3;2;78.8;5;21;5;16;0;24;31;3;4;0
jason-johnson;CHI;20;5;610;15;2;74;2;30;9;2;0;15;7;2;1;1
wandrille-lefevre;MTL;11;11;990;0;2;77.8;0;9;4;1;0;9;3;0;1;0
jack-mcinerney;CLB;5;2;171;3;2;61.3;1;8;4;2;0;2;1;0;2;0
leonel-miranda;HOU;20;11;1014;9;2;80;1;14;6;9;0;11;20;1;3;0
justin-morrow;TOR;32;31;2757;1;2;77.6;2;9;4;15;0;31;31;3;3;1
sanna-nyassi;SJ;28;19;1482;9;2;77.1;2;19;5;11;0;41;21;3;6;0
ike-opara;SKC;6;6;534;0;2;77;0;7;2;3;0;6;4;0;0;0
matias-perez-garcia;SJ;27;25;2032;2;2;76.5;7;31;14;72;0;27;84;1;2;2
damien-perrinelle;RBNY;28;27;2410;1;2;79.9;1;16;4;5;0;42;20;1;11;0
zach-pfeffer;PHI;21;11;988;10;2;84.9;1;27;10;3;0;17;13;1;0;1
raul-rodriguez;HOU;27;27;2364;0;2;79.6;0;13;4;3;0;34;13;0;7;1
marcelo-sarvas;COL;25;21;1869;4;2;81.2;1;20;6;18;0;31;33;0;4;0
chris-tierney;NE;31;29;2613;2;2;77.4;6;25;13;55;0;16;11;3;3;1
victor-ulloa;DAL;33;33;2915;0;2;83.2;1;14;5;21;0;41;19;0;4;0
diego-valeri;POR;22;20;1713;2;2;74.5;8;67;22;59;0;30;25;8;5;0
jose-villarreal;LA;16;9;698;7;2;74;4;17;6;11;0;13;16;2;1;0
anthony-wallace;RBNY;6;6;540;0;2;73.7;0;5;2;3;0;6;6;1;1;0
collen-warner;TOR;29;20;1747;9;2;82.9;2;15;4;10;0;45;17;0;7;0
kendall-waston;VAN;28;28;2486;0;2;72.5;0;36;15;5;0;47;20;3;11;1
adrian-winter;ORL;9;7;600;2;2;73.2;1;11;5;5;0;15;13;0;2;1
graham-zusi;SKC;25;22;1986;3;2;77.7;5;28;5;54;0;19;32;4;1;0
jordan-allen;RSL;23;11;1083;12;1;74.2;2;13;7;6;0;23;31;1;4;1
jalil-anibaba;SKC;16;14;1265;2;1;68.8;4;11;4;7;0;10;4;2;1;0
dairon-asprilla;POR;26;10;1008;16;1;72.1;2;27;6;10;0;27;9;2;1;0
eric-avila;ORL;21;15;1326;6;1;84.5;2;17;3;16;0;16;16;0;1;0
tranquillo-barnetta;PHI;11;9;765;2;1;75.5;3;19;7;13;0;14;24;0;2;0
damarcus-beasley;HOU;28;28;2374;0;1;80.7;1;13;7;16;0;16;58;1;1;0
kyle-beckerman;RSL;26;26;2335;0;1;83.4;2;31;9;15;0;36;21;3;9;0
thomas;SEA;11;7;547;4;1;82.6;1;9;6;3;0;8;16;4;1;0
kyle-bekker;MTL;3;2;165;1;1;86.2;0;3;2;2;0;4;0;0;0;0
luke-boden;ORL;25;24;2238;1;1;81.2;4;5;1;22;0;26;11;2;6;1
javier-calle;NYC;12;7;542;5;1;75.2;0;12;4;4;0;7;2;0;2;0
benoit-cheyrou;TOR;28;28;2408;0;1;81.2;7;33;7;17;0;44;21;1;5;0
warren-creavalle;TOR;14;8;730;6;1;78.9;0;4;3;6;0;16;7;1;3;1
sam-cronin;COL;26;24;2143;2;1;79;0;18;2;16;0;38;15;0;9;1
marcel-de-jong;SKC;13;11;847;2;1;66.3;1;13;3;10;0;5;10;1;1;0
marco-donadel;MTL;25;24;2000;1;1;85.6;5;19;8;42;0;42;20;0;13;2
andy-dorman;NE;18;12;1127;6;1;80.6;0;7;2;4;0;15;11;0;8;0
adailton;CHI;17;17;1505;0;1;83.4;0;4;2;5;0;22;7;0;6;0
chris-duvall;RBNY;15;14;1283;1;1;74.1;1;9;5;9;0;18;17;2;3;0
maurice-edu;PHI;22;22;1980;0;1;78.7;1;22;5;9;0;37;34;4;8;0
innocent;SJ;7;6;494;1;1;79.9;0;11;4;2;0;8;12;1;3;0
roger-espinoza;SKC;17;17;1484;0;1;74.9;4;19;5;19;0;28;18;0;3;0
brad-evans;SEA;28;27;2345;1;1;82.4;2;9;4;6;0;23;23;0;4;0
maynor-figueroa;COL;10;10;900;0;1;73.1;0;12;4;2;0;10;13;0;3;0
sean-franklin;DC;24;23;2089;1;1;81.3;0;11;3;23;0;22;9;3;4;0
kianz-froese;VAN;9;1;208;8;1;82.2;0;5;1;1;0;4;4;0;2;0
michel-garbini-pereira;DAL;18;12;914;6;1;73.6;4;10;4;11;0;12;15;0;3;0
luis-gil;RSL;24;16;1475;8;1;79.1;1;27;8;10;0;8;14;0;1;0
herculez-gomez;TOR;7;2;223;5;1;62;0;3;2;2;0;6;4;0;0;0
jose-goncalves;NE;29;28;2480;1;1;76.6;2;6;3;2;0;33;26;1;4;2
jackson-goncalves;TOR;26;14;1374;12;1;74.1;1;24;6;16;0;24;34;3;2;0
leonardo-gonzalez;SEA;16;8;712;8;1;73;1;3;2;2;0;16;7;0;1;0
omar-gonzalez;LA;30;29;2577;1;1;78.3;3;13;6;7;0;34;16;0;3;0
