name;club;games_played;games_started;mins;total_sub_on;goals;accurate_pass_perc;assists;total_scoring_attempts;on_target_scoring_attempts;key_passes;expected_goals;fouls;fouls_suffered;offside;yellow_cards;red_cards
carlos-vela;LAFC;31;31;2726;0;34;75;15;160;71;83;0;12;86;25;1;0
zlatan-ibrahimovic;LA;29;29;2610;0;30;71.8;7;151;65;38;0;51;28;44;7;0
josef-martinez;ATL;29;29;2581;0;27;81.2;4;117;50;27;0;17;29;24;1;0
diego-rossi;LAFC;34;33;2899;1;16;82.3;7;108;49;43;0;14;38;21;1;0
heber;NYC;22;18;1575;4;15;75.4;4;56;26;22;0;20;17;12;1;0
;PHI;26;25;2241;1;15;73.9;4;81;37;23;0;37;24;16;5;0
chris-wondolowski;SJ;32;24;1982;8;15;76;2;79;33;22;0;17;9;16;3;1
kei-kamara;COL;29;29;2541;0;14;71.4;1;94;44;20;0;39;47;9;5;1
mauro-manotas;HOU;32;28;2539;4;13;78.8;8;92;30;34;0;17;13;14;0;0
cj-sapong;CHI;32;29;2551;3;13;67.9;2;63;27;28;0;44;56;13;3;0
gyasi-zardes;CLB;28;28;2478;0;13;72;2;62;26;27;0;27;36;19;0;0
nani;ORL;30;26;2277;4;12;79.8;10;64;26;64;0;26;37;6;4;0
;SKC;32;31;2722;1;12;85.9;3;65;29;51;0;58;57;0;11;0
;NYC;29;24;2131;5;12;75.2;3;94;34;27;0;18;49;2;2;0
nemanja-nikolic;CHI;31;25;2003;6;12;83;0;48;22;22;0;15;16;20;3;0
alejandro-pozuelo;TOR;30;28;2524;2;12;84.2;12;76;31;74;0;32;54;5;4;1
;TOR;22;18;1691;4;11;77;7;50;24;18;0;30;33;9;4;0
valentin-castellanos;NYC;30;23;2052;7;11;67.6;7;80;31;29;0;51;44;19;7;0
jeremy-ebobisse;POR;34;25;2310;9;11;73.7;1;52;21;20;0;23;26;11;3;0
brian-fernandez;POR;19;16;1411;3;11;76.3;1;69;30;24;0;23;7;16;4;1
wayne-rooney;DC;28;27;2318;1;11;77.1;8;84;27;67;0;21;32;10;5;2
daniel-royer;RBNY;31;26;2321;5;11;68;8;85;38;24;0;17;35;10;1;0
diego-rubio;COL;26;25;2065;1;11;74.3;5;49;15;33;0;40;63;5;10;1
raul-ruidiaz;SEA;22;20;1793;2;11;84.7;3;72;28;16;0;18;16;8;0;0
pedro-santos;CLB;33;30;2763;3;11;68.5;6;75;21;59;0;33;81;6;7;0
tesho-akindele;ORL;28;22;1880;6;10;75.5;2;42;21;27;0;20;16;12;1;0
carles-gil;NE;34;34;3052;0;10;82;14;67;24;95;0;15;87;3;6;0
