name;club;games_played;games_started;mins;total_sub_on;goals;accurate_pass_perc;assists;total_scoring_attempts;on_target_scoring_attempts;key_passes;expected_goals;fouls;fouls_suffered;offside;yellow_cards;red_cards
teal-bunbury;NE;31;28;2446;3;4;71.3;6;53;28;26;0;48;27;8;5;0
ricardo-clark;HOU;25;24;2087;1;4;78.9;4;50;15;16;0;33;18;3;5;0
brad-davis;HOU;25;25;2072;0;4;84.3;11;39;15;62;0;23;30;6;1;0
benny-feilhaber;SKC;31;30;2607;1;4;81.8;6;47;13;55;0;44;73;1;6;0
jackson-goncalves;TOR;26;21;1842;5;4;71.6;1;54;19;24;0;36;32;5;5;1
omar-gonzalez;LA;22;22;1902;0;4;83.5;2;18;10;5;0;28;19;1;5;1
atiba-harris;SJ;24;19;1585;5;4;67;2;31;15;14;0;46;34;5;4;0
kekuta-manneh;VAN;29;13;1198;16;4;76;2;54;22;21;0;13;22;14;2;0
jose-mari;COL;20;20;1745;0;4;84.3;1;34;11;13;0;22;28;0;3;1
patrick-mullins;NE;21;14;1198;7;4;65.1;1;37;16;14;0;26;27;8;1;0
ignacio-piatti;MTL;6;6;450;0;4;82.4;1;16;7;9;0;3;9;0;2;0
lloyd-sam;RBNY;32;32;2832;0;4;82.9;9;37;16;50;0;30;60;7;6;0
david-texeira;DAL;19;9;839;10;4;71.3;0;19;10;7;0;21;22;4;3;0
je-vaughn-watson;DAL;31;29;2481;2;4;74.5;2;29;8;17;0;43;20;6;4;1
kyle-beckerman;RSL;28;28;2520;0;3;83.7;3;49;21;26;0;38;19;0;4;0
felix-borja;CHV;12;12;1009;0;3;79;0;24;12;8;0;14;14;11;0;0
cordell-cato;SJ;27;16;1577;11;3;73.9;2;20;8;16;0;14;12;3;2;0
kenny-cooper;SEA;22;12;989;10;3;75.2;4;29;9;6;0;18;17;8;1;0
omar-cummings;HOU;26;14;1270;12;3;69.9;3;35;14;21;0;12;7;13;0;0
