name;club;games_played;games_started;mins;total_sub_on;goals;accurate_pass_perc;assists;total_scoring_attempts;on_target_scoring_attempts;key_passes;expected_goals;fouls;fouls_suffered;offside;yellow_cards;red_cards
carlos-ruiz;LA;26;25;2331;1;15;0;5;84;51;0;0;76;87;46;7;1
taylor-twellman;NE;22;20;1893;2;15;0;4;90;47;0;0;34;57;23;2;0
ante-razov;CHI;26;25;2270;1;14;0;6;119;67;0;0;40;44;37;3;1
john-spencer;COL;27;25;2265;2;14;0;5;81;37;0;0;36;40;24;3;0
landon-donovan;SJ;22;21;1882;1;12;0;6;53;30;0;0;30;38;6;4;0
brian-mcbride;CLB;24;23;2183;1;12;0;3;68;34;0;0;20;78;15;3;0
preki;SKC;30;30;2678;0;12;0;17;92;34;0;0;20;60;3;5;0
mark-chung;COL;29;29;2639;0;11;0;6;78;39;0;0;23;39;6;1;1
damani-ralph;CHI;25;22;1985;3;11;0;6;91;36;0;0;29;56;22;1;0
edson-buddle;CLB;21;16;1509;5;10;0;4;59;26;0;0;24;20;21;2;0
pat-noonan;NE;28;17;1646;11;10;0;7;44;24;0;0;22;37;5;0;0
clint-mathis;RBNY;22;22;2019;0;9;0;1;84;35;0;0;39;40;14;6;1
damarcus-beasley;CHI;22;20;1969;2;7;0;5;45;16;0;0;48;96;9;5;0
jason-kreis;DAL;18;18;1543;0;7;0;2;42;21;0;0;21;22;17;3;0
mike-magee;RBNY;29;19;1709;10;7;0;2;44;25;0;0;33;43;11;1;0
igor-simutenkov;SKC;21;19;1435;2;7;0;3;43;25;0;0;27;36;11;3;0
brian-ching;SJ;15;14;1235;1;6;0;2;39;17;0;0;31;44;13;0;0
brad-davis;DAL;26;21;1910;5;6;0;5;41;16;0;0;41;42;7;1;0
marco-etcheverry;DC;25;21;2006;4;6;0;7;27;13;0;0;30;52;4;6;0
brian-kamler;NE;28;28;2322;0;6;0;5;37;18;0;0;27;30;2;1;1
chris-klein;SKC;27;27;2527;0;6;0;4;37;16;0;0;19;25;14;1;0
dema-kovalenko;DC;26;26;2401;0;6;0;0;26;14;0;0;67;68;1;6;1
alejandro-moreno;LA;24;10;1117;14;6;0;2;19;12;0;0;22;40;8;1;0
brian-mullan;SJ;30;30;2723;0;6;0;9;38;19;0;0;57;54;15;6;0
jeff-cunningham;CLB;21;13;1405;8;5;0;7;49;23;0;0;19;30;26;2;0
jesse-marsch;CHI;19;16;1465;3;5;0;0;20;10;0;0;27;23;2;2;0
zizi-roberts;COL;12;8;729;4;5;0;0;27;16;0;0;21;15;10;0;0
hristo-stoitchkov;DC;21;9;901;12;5;0;5;30;12;0;0;18;27;8;6;0
john-wolyniec;RBNY;25;14;1385;11;5;0;2;39;20;0;0;29;32;15;3;0
jimmy-conrad;SKC;30;30;2777;0;4;0;1;18;8;0;0;44;18;2;2;0
dwayne-de-rosario;SJ;11;6;686;5;4;0;3;20;8;0;0;12;10;13;0;0
chris-henderson;COL;26;25;2180;1;4;0;6;47;17;0;0;56;28;23;2;0
steve-jolley;RBNY;24;23;2194;1;4;0;0;11;9;0;0;31;22;0;3;0
joe-max-moore;NE;16;13;1187;3;4;0;7;42;19;0;0;15;28;5;0;1
ben-olsen;DC;26;26;2239;0;4;0;7;31;13;0;0;47;80;6;1;0
ross-paule;CLB;25;25;2212;0;4;0;7;27;15;0;0;33;22;2;2;0
steve-ralston;NE;26;25;2348;1;4;0;7;29;15;0;0;18;24;2;1;0
jamil-walker;SJ;19;0;365;19;4;0;0;18;13;0;0;11;8;5;1;0
brian-west;CLB;24;17;1543;7;4;0;4;20;10;0;0;24;18;7;2;0
chris-albright;LA;27;23;1966;4;3;0;4;48;24;0;0;56;38;4;5;0
davy-arnaud;SKC;18;7;818;11;3;0;0;11;5;0;0;20;20;9;3;0
chris-brown;NE;3;1;138;2;3;0;0;6;5;0;0;1;0;0;0;0
chris-carrieri;COL;30;27;2458;3;3;0;8;54;27;0;0;29;45;27;5;0
ronald-cerritos;DAL;15;9;852;6;3;0;1;15;10;0;0;9;12;13;0;0
ricardo-clark;RBNY;28;28;2590;0;3;0;1;38;15;0;0;46;58;4;5;0
alecko-eskandarian;DC;23;5;728;18;3;0;2;15;7;0;0;12;16;2;3;1
francisco-gomez;SKC;26;18;1644;8;3;0;3;45;19;0;0;20;26;1;3;0
amado-guevara;RBNY;25;25;2264;0;3;0;10;72;37;0;0;41;64;4;7;1
jay-heaps;NE;28;28;2579;0;3;0;1;25;9;0;0;50;28;1;5;1
eddie-johnson;DAL;22;13;1265;9;3;0;0;31;12;0;0;26;31;16;2;0
manny-lagos;SJ;27;17;1545;10;3;0;5;33;12;0;0;22;25;8;3;1
justin-mapp;CHI;21;18;1384;3;3;0;3;19;11;0;0;17;38;2;0;0
mike-petke;DC;25;25;2343;0;3;0;0;11;8;0;0;41;10;0;9;0
eric-quill;SKC;27;25;2261;2;3;0;7;33;17;0;0;26;33;14;6;0
eliseo-quintanilla;DC;18;12;1179;6;3;0;3;23;13;0;0;27;24;5;3;0
diego-serna;LA;10;8;660;2;3;0;2;8;5;0;0;14;14;1;1;0
jeff-agoos;SJ;28;28;2593;0;2;0;2;17;4;0;0;21;25;0;6;0
chris-armas;CHI;25;25;2267;0;2;0;4;19;7;0;0;33;38;2;3;0
stephen-armstrong;SKC;23;9;1102;14;2;0;0;17;9;0;0;26;20;4;2;0
chris-brown;SKC;18;11;1189;7;2;0;2;29;13;0;0;7;7;2;0;0
bobby-convey;DC;19;16;1576;3;2;0;1;27;11;0;0;34;33;6;4;1
eric-denton;CLB;26;25;2336;1;2;0;1;10;7;0;0;31;25;0;7;0
dario-fabbro;NE;8;7;511;1;2;0;0;7;4;0;0;8;7;7;0;0
kelly-gray;CHI;28;20;1910;8;2;0;1;25;10;0;0;24;14;1;3;0
wolde-harris;NE;17;9;856;8;2;0;2;26;13;0;0;22;20;11;0;0
nate-jaqua;CHI;20;5;712;15;2;0;2;17;7;0;0;20;13;4;1;0
cobi-jones;LA;28;28;2574;0;2;0;8;34;8;0;0;21;65;7;4;0
shalrie-joseph;NE;28;27;2466;2;2;0;2;46;17;0;0;62;54;1;5;0
jacob-leblanc;RBNY;7;2;225;5;2;0;0;3;2;0;0;3;2;0;1;0
kyle-martino;CLB;22;20;1765;2;2;0;4;25;13;0;0;36;79;3;1;0
jaime-moreno;RBNY;11;7;517;4;2;0;0;10;6;0;0;7;15;3;0;0
toni-nhleko;DAL;11;9;792;2;2;0;4;22;7;0;0;23;12;19;2;0
orlando-perez;CHI;21;18;1635;3;2;0;0;12;5;0;0;25;9;2;2;0
bobby-rhine;DAL;25;10;1034;15;2;0;1;21;10;0;0;22;20;8;3;0
chris-roner;SJ;23;21;1939;2;2;0;2;16;8;0;0;26;15;0;2;0
joselito-vaca;DAL;27;21;1871;6;2;0;4;32;14;0;0;24;29;6;1;0
sasha-victorine;LA;20;20;1797;0;2;0;1;30;17;0;0;25;23;1;3;0
andy-williams;CHI;20;14;1360;6;2;0;7;22;7;0;0;32;45;2;3;0
josh-wolff;SKC;13;9;872;4;2;0;1;14;9;0;0;18;12;10;1;0
arturo-alvarez;SJ;15;5;655;10;1;0;1;6;2;0;0;17;11;0;2;0
carlos-bocanegra;CHI;19;19;1784;0;1;0;2;10;5;0;0;38;22;1;8;1
chris-brunt;SKC;4;2;166;2;1;0;0;2;1;0;0;4;3;0;0;0
jose-cancela;NE;13;12;1142;1;1;0;7;36;13;0;0;13;64;0;0;0
ronald-cerritos;DC;10;10;915;0;1;0;1;15;6;0;0;8;8;6;0;0
ramiro-corrales;SJ;25;24;2080;1;1;0;2;39;14;0;0;45;26;0;6;2
matt-crawford;COL;16;8;750;8;1;0;0;3;2;0;0;8;14;0;0;0
ali-curtis;DC;17;12;1035;5;1;0;4;19;6;0;0;20;36;9;2;0
ali-curtis;DAL;8;6;474;2;1;0;2;9;5;0;0;4;11;1;0;0
chad-deering;DAL;27;26;2187;1;1;0;5;24;6;0;0;57;23;0;7;1
todd-dunivant;SJ;30;30;2778;0;1;0;6;19;11;0;0;17;18;2;2;0
brian-dunseth;CLB;19;17;1589;2;1;0;2;8;4;0;0;28;9;0;6;0
brian-dunseth;DAL;9;9;806;0;1;0;1;3;2;0;0;12;5;0;0;0
ronnie-ekelund;SJ;22;17;1457;5;1;0;3;15;5;0;0;38;18;1;5;0
simon-elliott;LA;24;23;2141;1;1;0;2;39;16;0;0;25;25;1;1;0
joe-franchino;NE;25;25;2355;0;1;0;4;25;8;0;0;48;29;0;7;0
freddy-garcia;CLB;22;12;1278;10;1;0;6;41;12;0;0;12;23;5;0;0
eddie-gaven;RBNY;12;7;691;5;1;0;1;13;9;0;0;11;19;5;0;0
chris-gbandi;DAL;22;17;1573;5;1;0;2;4;3;0;0;27;22;3;4;0
gavin-glinton;LA;9;4;399;5;1;0;1;12;8;0;0;4;9;5;0;0
ezra-hendrickson;DAL;16;15;1367;1;1;0;1;6;1;0;0;8;10;0;2;0
galin-ivanov;DC;24;22;2011;2;1;0;1;16;8;0;0;35;15;1;6;0
andrzej-juskowiak;RBNY;5;0;160;5;1;0;0;7;3;0;0;3;5;0;0;0
ritchie-kotschau;COL;26;25;2333;1;1;0;1;17;3;0;0;37;27;0;6;0
alexi-lalas;LA;22;19;1760;3;1;0;1;11;5;0;0;32;13;2;4;0
mark-lisi;RBNY;24;20;1829;4;1;0;11;17;7;0;0;29;27;1;5;0
brian-maisonneuve;CLB;23;20;1730;3;1;0;0;9;3;0;0;55;25;1;5;0
antonio-martinez;LA;4;3;212;1;1;0;0;2;1;0;0;3;4;1;0;0
jeff-matteo;CLB;6;3;286;3;1;0;0;2;1;0;0;9;9;0;1;0
ryan-nelsen;DC;25;25;2314;0;1;0;0;30;12;0;0;39;18;0;5;1
ronnie-o-brien;DAL;6;3;317;3;1;0;0;10;5;0;0;12;5;0;0;0
oscar-pareja;DAL;24;23;1982;1;1;0;4;20;3;0;0;58;48;5;9;0
santino-quaranta;DC;12;8;738;4;1;0;3;14;8;0;0;9;14;4;0;0
eddie-robinson;SJ;13;13;1121;0;1;0;1;5;3;0;0;27;17;0;2;0
dipsy-selolwane;CHI;5;1;165;4;1;0;1;5;2;0;0;8;1;0;1;0
earnie-stewart;DC;21;21;1923;0;1;0;2;24;8;0;0;22;12;9;3;0
ryan-suarez;DAL;12;12;1110;0;1;0;0;9;3;0;0;29;13;2;4;1
shavar-thomas;DAL;15;14;1252;1;1;0;0;4;2;0;0;34;6;0;2;1
seth-trembly;COL;16;11;1112;5;1;0;1;16;6;0;0;34;26;0;5;0
diego-walsh;CLB;14;6;612;8;1;0;0;9;4;0;0;19;4;3;2;1
evan-whitfield;CHI;27;25;2329;2;1;0;1;14;8;0;0;57;44;6;6;0
kerry-zavagnin;SKC;29;27;2487;2;1;0;2;12;2;0;0;49;41;1;6;0
craig-ziadie;RBNY;22;20;1913;2;1;0;2;5;2;0;0;37;20;0;6;0
alex-zotinca;SKC;20;14;1239;6;1;0;0;11;5;0;0;34;22;0;6;0
joseph-addo;RBNY;8;7;700;1;0;0;0;1;1;0;0;7;5;0;0;0
nelson-akwari;CLB;11;5;488;6;0;0;0;1;1;0;0;7;3;0;1;0
jose-alegria;DC;17;13;1093;4;0;0;1;12;5;0;0;31;21;0;4;0
kenny-arena;RBNY;10;5;458;5;0;0;0;3;1;0;0;12;4;1;1;1
chris-bagley;NE;3;0;59;3;0;0;0;0;0;0;0;1;1;0;0;0
devin-barclay;DC;3;1;113;2;0;0;0;0;0;0;0;5;3;2;1;0
isaias-bardales-jr;LA;1;0;21;1;0;0;0;0;0;0;0;2;0;0;0;0
