name;club;games_played;games_started;mins;total_sub_on;goals;accurate_pass_perc;assists;total_scoring_attempts;on_target_scoring_attempts;key_passes;expected_goals;fouls;fouls_suffered;offside;yellow_cards;red_cards
nemanja-nikolic;CHI;34;34;2946;0;24;74.7;4;118;59;20;0;11;22;51;1;0
david-villa;NYC;31;28;2556;3;22;69.8;9;136;55;60;0;30;68;32;4;0
diego-valeri;POR;32;32;2828;0;21;79;11;93;39;60;0;19;42;21;4;0
josef-martinez;ATL;20;17;1528;3;19;82.2;1;67;32;12;0;19;18;19;4;0
ola-kamara;CLB;34;33;2867;1;18;75;3;89;39;23;0;29;43;38;0;0
ignacio-piatti;MTL;28;26;2368;2;17;76.3;6;75;38;41;0;40;59;8;3;0
bradley-wright-phillips;RBNY;32;29;2560;3;17;66.3;1;83;36;30;0;54;42;39;6;0
sebastian-giovinco;TOR;25;25;2058;0;16;72.3;6;128;52;24;0;30;54;10;4;0
cj-sapong;PHI;33;30;2794;3;16;65.6;5;67;34;26;0;50;87;10;3;0
;TOR;27;25;2194;2;15;71.7;6;68;30;31;0;50;49;14;8;0
david-accam;CHI;30;24;2177;6;14;74.6;8;66;36;37;0;44;47;18;2;0
christian-ramirez;MIN;30;27;2392;3;14;71.9;3;60;34;10;0;18;33;22;1;0
erick-torres;HOU;27;23;2001;4;14;72.9;3;72;26;37;0;32;41;12;6;0
romain-alessandrini;LA;30;27;2441;3;13;71.2;12;95;41;59;0;46;70;12;8;0
justin-meram;CLB;34;32;2588;2;13;75.3;7;61;28;42;0;27;44;14;6;0
fredy-montero;VAN;33;26;2469;7;13;71.9;6;86;35;30;0;45;47;15;6;0
hector-villalba;ATL;34;34;2762;0;13;71.3;11;86;44;33;0;39;18;10;4;0
chris-wondolowski;SJ;34;34;3041;0;13;78.4;8;79;28;31;0;19;28;21;3;0
clint-dempsey;SEA;29;25;2276;4;12;83.5;5;116;39;39;0;18;52;3;3;1
kei-kamara;NE;31;27;2365;4;12;73.9;5;88;35;21;0;31;32;18;4;0
cyle-larin;ORL;28;24;2169;4;12;77.1;3;55;32;19;0;45;54;11;1;0
daniel-royer;RBNY;26;23;1868;3;12;71.5;3;52;22;15;0;22;45;3;5;0
maximiliano-urruti;DAL;32;31;2749;1;12;77;5;103;39;28;0;43;52;27;1;0
will-bruin;SEA;31;20;1824;11;11;69.2;2;52;20;18;0;24;19;10;1;0
roland-lamah;DAL;32;29;2157;3;11;74.7;3;44;23;31;0;24;37;12;2;0
lee-nguyen;NE;31;30;2542;1;11;78.7;15;49;23;76;0;25;52;4;3;0
fanendo-adi;POR;22;22;1885;0;10;70.4;3;66;28;23;0;44;41;30;2;1
alberth-elis;HOU;26;18;1645;8;10;73.4;4;71;28;20;0;36;37;8;8;0
jack-harrison;NYC;34;33;2757;1;10;75.7;6;65;31;39;0;29;30;7;3;0
mauro-manotas;HOU;33;24;2063;9;10;78.6;5;71;35;31;0;21;27;4;3;0
miguel-almiron;ATL;30;27;2394;3;9;80.6;14;84;35;43;0;36;46;10;4;0
dominique-badji;COL;33;29;2540;4;9;72.4;6;56;28;10;0;50;41;19;5;0
federico-higuain;CLB;26;26;2238;0;9;79.9;14;52;24;51;0;24;35;8;3;0
anthony-jackson-hamel;MTL;21;11;1137;10;9;67.1;4;32;14;6;0;13;11;4;0;0
juan-agudelo;NE;28;20;1821;8;8;80.9;1;36;17;26;0;41;28;9;3;0
sebastian-blanco;POR;33;32;2783;1;8;78;8;86;32;54;0;59;41;2;6;1
abu-danladi;MIN;27;15;1391;12;8;75.5;3;37;13;15;0;30;26;25;4;1
gerso-fernandes;SKC;32;26;2238;6;8;81.3;2;62;25;33;0;32;40;7;4;0
justin-morrow;TOR;28;28;2479;0;8;84;1;26;12;16;0;21;18;4;0;0
victor-vazquez;TOR;31;28;2382;3;8;84.4;16;41;20;67;0;23;26;2;3;0
roland-alberg;PHI;24;9;871;15;7;83.3;1;31;13;11;0;18;24;2;3;0
yamil-asad;ATL;32;31;2765;1;7;75.9;13;53;23;43;0;53;95;9;7;1
teal-bunbury;NE;28;13;1279;15;7;78;1;46;22;13;0;21;22;2;1;0
blerim-dzemaili;MTL;22;22;1941;0;7;72.9;10;66;17;33;0;30;60;0;8;0
diego-fagundez;NE;32;27;2434;5;7;80.9;8;72;35;29;0;20;16;4;2;0
nicolas-lodeiro;SEA;33;33;2965;0;7;80.5;12;67;19;86;0;37;110;16;5;1
kevin-molino;MIN;30;30;2512;0;7;79;9;46;16;37;0;44;70;4;5;0
yura-movsisyan;RSL;28;16;1416;12;7;58.3;0;45;19;14;0;19;16;12;4;0
fafa-picault;PHI;28;23;1894;5;7;65.7;3;46;22;16;0;11;27;7;1;0
joao-plata;RSL;29;27;2318;2;7;79.7;5;95;30;76;0;11;34;12;1;0
romell-quioto;HOU;22;14;1281;8;7;73.8;3;44;15;16;0;16;15;1;4;0
tosaint-ricketts;TOR;22;9;1002;13;7;68.6;1;31;15;7;0;8;13;8;0;0
albert-rusnak;RSL;30;29;2579;1;7;84.8;14;85;30;86;0;28;25;4;2;0
luis-silva;RSL;30;20;1775;10;7;73.9;3;58;20;24;0;25;26;13;5;0
luis-solignac;CHI;33;26;2153;7;7;77.1;4;45;15;23;0;34;31;11;1;0
giovani-dos-santos;LA;25;25;2189;0;6;88.5;3;59;17;38;0;14;21;7;3;0
kaka;ORL;23;18;1564;5;6;79.2;5;31;10;28;0;20;22;3;6;1
matteo-mancosu;MTL;26;20;1745;6;6;65.2;2;49;20;11;0;14;13;31;5;0
ilsinho;PHI;27;24;1848;3;6;79.5;5;38;11;14;0;33;14;9;4;0
yordy-reyna;VAN;18;11;1073;7;6;77;4;26;11;19;0;24;41;1;3;0
cristian-roldan;SEA;33;33;2960;0;6;84;3;40;17;41;0;34;66;0;3;0
diego-rubio;SKC;16;11;1010;5;6;79.1;2;37;14;16;0;22;28;6;2;0
jefferson-savarino;RSL;22;19;1673;3;6;80.8;5;57;25;29;0;13;46;6;0;0
