name;club;games_played;games_started;mins;total_sub_on;goals;accurate_pass_perc;assists;total_scoring_attempts;on_target_scoring_attempts;key_passes;expected_goals;fouls;fouls_suffered;offside;yellow_cards;red_cards
jeff-cunningham;DAL;28;23;1918;5;17;0;8;71;38;0;0;11;18;33;2;0
conor-casey;COL;24;24;2087;0;16;0;1;73;31;0;0;62;41;19;9;0
juan-pablo-angel;RBNY;25;25;2133;0;12;0;2;81;37;0;0;22;18;34;2;0
guillermo-barros-schelotto;CLB;24;21;1816;3;12;0;3;53;25;0;0;22;33;16;4;0
landon-donovan;LA;25;23;2152;2;12;0;6;56;29;0;0;25;38;11;1;0
robbie-findley;RSL;27;18;1751;9;12;0;4;60;26;0;0;9;18;15;2;0
fredy-montero;SEA;27;27;2217;0;12;0;7;86;32;0;0;47;62;33;5;1
dwayne-de-rosario;TOR;28;27;2444;1;11;0;6;80;36;0;0;34;35;43;5;0
ryan-johnson;SJ;30;27;2241;3;11;0;2;59;35;0;0;43;28;28;3;0
josh-wolff;SKC;27;27;2348;0;11;0;0;62;30;0;0;29;25;28;2;1
luciano-emilio;DC;27;23;2070;4;10;0;2;59;29;0;0;17;18;23;1;1
nate-jaqua;SEA;28;27;2278;1;9;0;7;47;16;0;0;47;35;21;6;1
jaime-moreno;DC;24;11;1240;13;9;0;3;22;14;0;0;12;17;6;1;1
brian-ching;HOU;19;18;1549;1;8;0;3;28;15;0;0;24;37;21;4;2
omar-cummings;COL;28;28;2474;0;8;0;12;82;34;0;0;23;41;20;3;0
kheli-dube;NE;26;20;1720;6;8;0;0;49;24;0;0;35;31;15;4;0
david-ferreira;DAL;30;30;2692;0;8;0;7;51;22;0;0;23;58;12;3;0
shalrie-joseph;NE;27;24;2228;3;8;0;8;29;12;0;0;28;39;16;3;1
eduardo-lillingston;CHV;25;15;1263;10;8;0;2;38;18;0;0;37;16;28;6;0
yura-movsisyan;RSL;26;19;1731;7;8;0;2;64;29;0;0;22;24;10;3;0
kenny-cooper;DAL;15;15;1331;0;7;0;1;52;29;0;0;15;23;10;2;0
claudio-lopez;SKC;29;28;2501;1;7;0;8;72;35;0;0;18;18;21;5;1
brian-mcbride;CHI;22;22;1963;0;7;0;2;47;22;0;0;9;33;7;0;0
steve-ralston;NE;20;17;1543;3;7;0;7;18;11;0;0;4;12;2;2;0
eddie-gaven;CLB;30;27;2420;3;6;0;0;41;21;0;0;27;45;3;3;0
christian-gomez;DC;27;20;1612;7;6;0;4;33;18;0;0;19;27;4;5;0
stuart-holden;HOU;26;26;2340;0;6;0;4;33;15;0;0;24;28;1;1;0
chris-rolfe;CHI;28;20;1854;8;6;0;1;62;26;0;0;10;22;2;5;0
arturo-alvarez;SJ;23;20;1848;3;5;0;2;53;22;0;0;27;31;6;5;0
davy-arnaud;SKC;25;25;2214;0;5;0;2;57;17;0;0;37;34;4;7;0
chad-barrett;TOR;29;27;2069;2;5;0;3;55;25;0;0;23;18;15;5;1
cuauhtemoc-blanco;CHI;21;15;1452;6;5;0;8;39;17;0;0;10;39;8;2;0
edson-buddle;LA;19;13;1255;6;5;0;0;32;16;0;0;36;16;11;1;0
brad-davis;HOU;27;26;2207;1;5;0;12;46;21;0;0;29;51;5;4;2
amado-guevara;TOR;25;24;1999;1;5;0;6;49;20;0;0;34;22;3;3;0
kei-kamara;HOU;22;20;1780;2;5;0;1;40;21;0;0;43;31;12;3;0
sacha-kljestan;CHV;25;24;2041;1;5;0;3;48;23;0;0;33;34;2;7;0
marco-pappa;CHI;30;28;2314;2;5;0;4;60;29;0;0;28;29;5;2;0
maykel-galindo;CHV;23;15;1476;8;4;0;2;25;16;0;0;22;29;24;3;1
jason-garey;CLB;15;8;705;7;4;0;2;16;12;0;0;8;6;6;1;0
cornell-glen;SJ;12;6;481;6;4;0;1;22;14;0;0;6;12;6;0;0
macoumba-kandji;RBNY;23;20;1752;3;4;0;5;47;24;0;0;43;47;10;2;0
chad-marshall;CLB;18;18;1580;0;4;0;0;18;12;0;0;15;12;1;1;1
alejandro-moreno;CLB;22;17;1605;5;4;0;1;24;12;0;0;27;37;23;4;0
paulo-nagamura;CHV;27;25;2263;2;4;0;2;24;11;0;0;31;26;1;7;1
patrick-nyarko;CHI;30;22;1983;8;4;0;2;33;20;0;0;22;35;37;0;0
chris-pontius;DC;28;23;2113;5;4;0;3;56;23;0;0;25;35;12;5;0
steve-zakuani;SEA;29;24;1993;5;4;0;4;46;21;0;0;9;26;12;1;0
kyle-beckerman;RSL;25;25;2218;0;3;0;2;39;17;0;0;42;22;3;10;0
justin-braun;CHV;15;14;1211;1;3;0;2;38;16;0;0;20;17;11;1;0
colin-clark;COL;16;16;1421;0;3;0;5;29;10;0;0;11;18;5;2;0
danny-dichio;TOR;19;6;760;13;3;0;2;17;8;0;0;14;13;11;2;0
fabian-espindola;RSL;22;17;1511;5;3;0;3;45;20;0;0;37;20;21;3;1
brad-evans;SEA;27;25;2294;2;3;0;2;19;8;0;0;24;18;2;5;0
alan-gordon;LA;22;13;1175;9;3;0;3;41;15;0;0;38;28;12;5;1
darren-huckerby;SJ;14;13;1058;1;3;0;2;18;10;0;0;17;15;8;3;0
steven-lenhart;CLB;26;10;1065;16;3;0;2;32;13;0;0;33;23;15;4;0
peter-lowry;CHI;9;8;659;1;3;0;0;13;8;0;0;7;3;0;1;0
dax-mccarty;DAL;28;27;2340;1;3;0;6;32;13;0;0;29;49;0;3;0
drew-moor;DAL;21;21;1890;0;3;0;0;18;6;0;0;19;15;0;2;1
jamison-olave;RSL;25;24;2039;1;3;0;0;12;8;0;0;34;15;1;6;3
dane-richards;RBNY;27;20;1988;7;3;0;2;19;6;0;0;42;28;11;4;0
dave-van-den-bergh;DAL;30;30;2446;0;3;0;11;35;14;0;0;13;20;1;2;0
rodney-wallace;DC;28;25;2265;3;3;0;3;29;11;0;0;52;11;6;8;0
cam-weaver;HOU;8;4;297;4;3;0;1;10;8;0;0;8;4;6;0;1
chris-wondolowski;SJ;14;8;854;6;3;0;1;23;11;0;0;7;9;4;3;0
nana-attakora;TOR;20;19;1652;1;2;0;4;8;5;0;0;10;11;0;2;0
mehdi-ballouchy;COL;28;23;2148;5;2;0;7;34;11;0;0;28;33;10;5;0
mike-banner;CHI;22;8;942;14;2;0;3;10;4;0;0;6;17;2;1;0
david-beckham;LA;11;11;889;0;2;0;3;19;9;0;0;14;9;0;2;1
jim-brennan;TOR;28;28;2478;0;2;0;1;17;5;0;0;22;6;5;8;0
geoff-cameron;HOU;29;29;2610;0;2;0;6;20;8;0;0;28;34;4;6;0
pablo-campos;RSL;11;5;400;6;2;0;3;10;8;0;0;11;3;2;1;0
pablo-campos;SJ;14;9;611;5;2;0;2;11;8;0;0;18;17;5;2;0
fred;DC;23;17;1422;6;2;0;4;15;4;0;0;24;22;4;4;1
wilman-conde;CHI;19;18;1614;1;2;0;2;11;4;0;0;16;9;1;2;0
emmanuel-ekpo;CLB;28;22;1936;6;2;0;6;38;8;0;0;32;24;7;6;1
alecko-eskandarian;LA;3;3;213;0;2;0;0;9;5;0;0;5;2;0;2;0
atiba-harris;DAL;12;12;1064;0;2;0;5;20;10;0;0;16;11;5;4;0
