name;club;games_played;games_started;mins;clean_sheet;goals_against;goalkeeper_saves;accurate_pass;long_ball_percentage;clearances;total_wins;total_losses;total_draws
christian-benteke;DC;30;30;2601;0;23;62;7;99;47;38;20.57;69;35;22;8;1
denis-bouanga;LAFC;32;30;2755;2;20;76.3;11;157;64;60;21.28;47;24;17;3;0
lionel-messi;MIA;19;15;1485;4;20;80.9;16;84;43;32;11.11;8;26;8;2;0
luis-suarez;MIA;27;21;1920;6;20;76.9;9;77;51;34;14.71;22;37;13;6;0
juan-camilo-hernandez-suarez;CLB;27;23;2118;4;19;72.3;14;138;45;51;15.9;29;43;10;3;1
cristian-arango;RSL;30;26;2291;4;17;75.2;12;119;48;44;17.22;42;49;22;7;0
daniel-gazdag;PHI;30;28;2500;2;17;83.5;3;51;34;35;14.63;25;40;17;6;0
alonso-martinez;NYC;26;19;1498;7;16;79.8;3;53;27;10;10.75;12;5;12;1;0
petar-musa;DAL;30;27;2304;3;16;70.7;3;91;33;26;11.23;47;24;18;6;0
gabriel-pec;LA;33;30;2730;3;16;89.7;14;126;58;51;15.08;29;41;8;1;0
jonathan-rodriguez;POR;29;27;2435;2;16;78.5;7;96;41;33;14.37;30;22;23;7;0
mateusz-bogusz;LAFC;32;31;2626;1;15;84.9;7;87;40;66;9.14;41;30;11;6;0
evander;POR;28;27;2459;1;15;82.5;19;101;43;89;10.69;29;58;2;8;0
dejan-joveljic;LA;28;23;1942;5;15;76.9;6;57;33;33;15.49;13;20;8;2;0
rafael-navarro;COL;34;33;2790;1;15;73.9;5;90;44;26;16.35;49;63;28;6;0
brian-white;VAN;30;28;2460;2;15;74.5;2;70;30;19;13.17;21;16;19;5;0
luciano-acosta;CIN;32;29;2707;3;14;79.4;19;85;29;108;11.48;46;50;24;7;0
felipe-mora;POR;29;22;1897;7;14;77;6;64;31;21;15.81;13;37;2;3;1
facundo-torres;ORL;32;30;2642;2;14;87.9;6;63;30;46;9.53;19;47;7;3;0
andres-gomez;RSL;23;22;1815;1;13;78.7;9;68;33;35;8.63;22;23;5;6;0
lewis-morgan;RBNY;29;26;2420;3;13;79.4;7;89;35;46;13.4;18;15;14;0;0
jordan-morris;SEA;34;32;2803;2;13;80;5;69;33;46;12.78;28;17;6;4;0
ricard-puig-marti;LA;29;28;2539;1;13;87.7;15;108;36;60;8.6;20;83;2;10;0
santiago-rodriguez;NYC;32;32;2799;0;12;82.8;10;91;32;76;11.07;60;78;7;7;0
diego-rossi;CLB;34;30;2631;4;12;87;11;72;32;52;11.64;20;47;11;4;0
sam-surridge;NSH;28;27;2391;1;12;71.9;2;66;30;19;10.99;41;39;18;4;0
bongokuhle-hlongwane;MIN;32;23;1929;9;11;74.5;4;49;26;29;10.31;32;33;12;2;0
josef-martinez;MTL;23;13;1373;10;11;85.9;3;49;22;16;9.22;6;10;6;2;0
djordje-mihailovic;COL;29;29;2480;0;11;82.5;14;59;28;88;12.09;39;45;3;6;0
william-agada;SKC;32;20;1729;12;10;81;3;84;26;26;16.25;49;19;19;1;1
patrick-agyemang;CLT;31;19;1838;12;10;71.3;5;59;27;21;8.94;45;35;7;4;1
hugo-cuypers;CHI;31;31;2630;0;10;75.6;2;72;34;37;12.82;34;32;10;3;0
ryan-gauld;VAN;30;28;2463;2;10;82.7;15;47;22;86;6.54;32;30;4;3;0
yuya-kubo;CIN;32;27;2408;5;10;82.6;2;60;27;30;8.13;29;28;12;5;0
duncan-mcguire;ORL;27;18;1599;9;10;76.1;3;42;20;14;6.29;15;18;6;7;0
