name;club;games_played;games_started;mins;completed_passes;total_pass;accurate_pass;key_passes;corner_kicks;succesfull_crosses;assists;assists_average_over_90_minutes;accurate_long_balls;succesfull_short_passes;cross_perc;free_kicks
juninho;LA;34;31;2758;1985;2221;89.4;23;0;2;4;0.13;212;1773;16.67;0
osvaldo-alonso;SEA;33;33;2952;1974;2166;91.1;25;0;1;2;0.06;201;1773;9.09;0
tony-tchani;CLB;33;33;2942;1644;1944;84.6;28;0;2;6;0.18;209;1435;16.67;0
wil-trapp;CLB;28;28;2486;1636;1876;87.2;19;0;4;4;0.14;199;1437;33.33;0
dax-mccarty;RBNY;31;29;2661;1614;1855;87;16;0;3;3;0.1;167;1447;17.65;0
javier-morales;RSL;30;30;2645;1579;1890;83.5;87;118;57;12;0.41;101;1478;25.79;0
kyle-beckerman;RSL;28;28;2520;1576;1882;83.7;26;3;4;3;0.11;134;1442;22.22;0
matias-laba;VAN;32;31;2738;1437;1692;84.9;14;0;1;1;0.03;154;1283;20;0
federico-higuain;CLB;29;28;2488;1412;1700;83.1;82;134;48;7;0.25;146;1266;31.79;0
michael-bradley;TOR;25;25;2198;1401;1634;85.7;48;52;25;4;0.16;164;1237;29.76;0
pedro-morales;VAN;33;28;2554;1391;1717;81;75;109;47;12;0.42;205;1186;27.81;0
vincent-nogueira;PHI;29;28;2498;1364;1593;85.6;34;19;21;3;0.11;114;1250;24.71;0
marcelo-sarvas;LA;28;25;2218;1332;1544;86.3;24;1;8;11;0.45;96;1236;33.33;0
michael-parkhurst;CLB;33;32;2806;1286;1472;87.4;12;0;7;0;0;126;1160;41.18;0
sam-cronin;SJ;31;30;2627;1281;1480;86.5;37;26;20;0;0;134;1147;31.25;0
landon-donovan;LA;31;30;2720;1276;1540;82.9;95;95;57;19;0.63;67;1209;32.95;0
diego-chara;POR;31;31;2745;1269;1487;85.3;25;0;3;5;0.16;95;1174;21.43;0
gonzalo-pineda;SEA;28;24;2233;1269;1535;82.7;39;69;45;7;0.28;89;1180;40.91;0
benny-feilhaber;SKC;31;30;2607;1261;1542;81.8;55;27;23;6;0.21;167;1094;30.26;0
nick-labrocca;COL;31;29;2584;1242;1534;81;24;12;4;1;0.03;125;1117;14.29;0
chris-wingert;RSL;30;30;2537;1212;1528;79.3;20;0;5;3;0.11;100;1112;13.51;0
jeff-larentowicz;CHI;33;33;2970;1198;1462;81.9;11;0;1;3;0.09;128;1070;20;0
perry-kitchen;DC;31;31;2790;1186;1383;85.8;12;0;1;4;0.13;107;1079;12.5;0
eric-alexander;RBNY;34;30;2641;1160;1354;85.7;20;18;14;9;0.31;80;1080;30.43;0
lee-nguyen;NE;32;32;2750;1146;1435;79.9;63;26;6;5;0.16;102;1044;12;0
victor-ulloa;DAL;28;26;2365;1142;1337;85.4;18;9;3;1;0.04;84;1058;20;0
ned-grabavoy;RSL;33;30;2711;1110;1265;87.8;27;0;3;3;0.1;39;1071;17.65;0
will-johnson;POR;29;29;2526;1104;1274;86.7;19;28;3;2;0.07;198;906;12;0
matt-besler;SKC;24;24;2145;1078;1304;82.7;12;0;4;1;0.04;119;959;44.44;0
maurice-edu;PHI;31;31;2789;1077;1311;82.2;16;0;1;2;0.06;134;943;20;0
aurelien-collin;SKC;26;25;2104;1061;1280;82.9;7;0;0;0;0;168;893;0;0
diego-valeri;POR;33;32;2763;1058;1406;75.3;93;124;70;14;0.46;72;986;28.57;0
darlington-nagbe;POR;32;30;2681;1049;1206;87;51;1;4;7;0.23;40;1009;14.29;0
seth-sinovic;SKC;31;31;2755;1046;1279;81.8;12;0;11;2;0.07;51;995;25;0
dillon-powers;COL;30;27;2328;1039;1240;83.8;52;81;40;9;0.35;78;961;32.52;0
davy-arnaud;DC;31;30;2626;1021;1250;81.7;22;2;4;0;0;116;905;22.22;0
nat-borchers;RSL;32;32;2856;1019;1179;86.4;4;0;0;0;0;104;915;0;0
tony-beltran;RSL;29;28;2483;1009;1234;81.8;13;0;12;0;0;55;954;25.53;0
jose-mari;COL;20;20;1745;1008;1196;84.3;13;0;2;1;0.05;117;891;18.18;0
jordan-stewart;SJ;30;29;2593;1007;1223;82.3;11;0;11;1;0.03;64;943;22;0
dan-gargan;LA;29;27;2400;993;1204;82.5;24;0;30;5;0.19;86;907;28.3;0
marco-pappa;SEA;29;24;1931;987;1232;80.1;40;56;41;5;0.23;71;916;26.28;0
jordan-harvey;VAN;33;33;2939;983;1250;78.6;23;0;10;0;0;47;936;19.23;0
jose-goncalves;NE;27;27;2381;981;1250;78.5;6;0;4;2;0.08;150;831;44.44;0
a-j-delagarza;LA;29;28;2491;965;1124;85.8;5;0;7;2;0.07;76;889;30.43;0
sean-franklin;DC;29;28;2532;963;1249;77.1;20;1;14;4;0.14;83;880;23.33;0
amobi-okugo;PHI;32;31;2797;962;1182;81.4;10;0;0;2;0.06;63;899;0;0
raymon-gaddis;PHI;34;34;3051;947;1220;77.6;16;1;12;2;0.06;33;914;20.69;0
drew-moor;COL;23;23;1994;944;1131;83.5;5;0;0;1;0.05;194;750;0;0
kofi-sarkodie;HOU;32;32;2872;943;1186;79.5;24;0;25;4;0.13;52;891;25.51;0
russell-teibert;VAN;29;22;1971;924;1073;86.1;24;21;10;2;0.09;66;858;19.23;0
lloyd-sam;RBNY;32;32;2832;923;1113;82.9;50;31;54;9;0.29;25;898;26.09;0
justin-morrow;TOR;31;30;2676;921;1168;78.8;18;0;11;3;0.1;48;873;13.41;0
jean-baptiste-pierazzi;SJ;24;23;1982;920;1056;87.1;15;0;3;0;0;80;840;20;0
bobby-boswell;DC;34;34;3045;917;1243;73.8;6;0;1;3;0.09;108;809;50;0
omar-gonzalez;LA;22;22;1902;914;1094;83.5;5;0;1;2;0.09;134;780;14.29;0
patrice-bernier;MTL;26;20;1802;909;1091;83.3;12;1;2;3;0.15;124;785;22.22;0
thierry-henry;RBNY;30;30;2651;904;1159;78;66;102;48;14;0.48;66;838;24.12;0
jonathan-osorio;TOR;27;24;2039;903;1041;86.7;29;12;8;4;0.18;48;855;34.78;0
matt-hedges;DAL;32;32;2790;902;1047;86.2;3;0;0;1;0.03;114;788;0;0
matteo-ferrari;MTL;25;25;2148;893;1051;85;4;0;0;0;0;113;780;0;0
roy-miller;RBNY;23;22;1943;888;1133;78.4;19;0;12;3;0.14;53;835;20.34;0
andrew-farrell;NE;32;32;2840;887;1215;73;17;0;6;0;0;135;752;22.22;0
clint-dempsey;SEA;26;23;2132;869;1012;85.9;37;3;5;10;0.42;28;841;33.33;0
marvell-wynne;COL;28;27;2404;858;1067;80.4;15;0;5;1;0.04;75;783;19.23;0
