name;club;games_played;games_started;mins;completed_passes;total_pass;accurate_pass;key_passes;corner_kicks;succesfull_crosses;assists;assists_average_over_90_minutes;accurate_long_balls;succesfull_short_passes;cross_perc;free_kicks
erik-sviatchenko;HOU;31;29;2441;1211;1433;84.5;8;0;1;4;0.15;79;201;20;18
nkosi-tafari;DAL;28;25;2259;1200;1405;85.4;6;0;0;0;0;69;255;0;50
lucas-bartlett;DC;32;31;2741;1197;1425;84;11;0;0;4;0.13;75;228;0;44
deybi-flores;TOR;29;23;2089;1195;1378;86.7;8;0;0;2;0.09;60;395;0;35
wilder-cartagena;ORL;27;25;2192;1190;1337;89;16;0;1;1;0.04;45;397;10;36
mateusz-klich;DC;31;31;2667;1190;1435;82.9;75;143;73;13;0.44;36;391;38.42;123
obinna-nwobodo;CIN;30;29;2466;1189;1339;88.8;15;0;0;2;0.07;28;376;0;26
sean-zawadzki;CLB;27;20;1873;1178;1275;92.4;9;0;1;2;0.1;38;353;50;25
adalberto-carrasquilla;HOU;28;26;2298;1177;1386;84.9;49;6;12;7;0.27;39;446;38.71;17
franco-escobar;HOU;24;21;1822;1177;1292;91.1;13;0;2;2;0.1;16;354;13.33;14
brayan-vera;RSL;24;24;2109;1175;1400;83.9;16;25;8;2;0.09;84;173;24.24;76
luciano-acosta;CIN;32;29;2707;1173;1477;79.4;108;106;54;19;0.63;44;467;41.86;68
rafael-santos;ORL;32;23;2072;1168;1378;84.8;16;0;22;3;0.13;50;375;27.5;17
rodrigo-schlegel;ORL;28;26;2297;1165;1284;90.7;4;0;0;0;0;46;228;0;68
brooks-lennon;ATL;33;33;2957;1163;1370;84.9;74;71;83;8;0.24;54;378;37.9;35
tim-leibold;SKC;28;24;2204;1162;1362;85.3;26;0;7;3;0.12;49;308;17.07;34
facundo-torres;ORL;32;30;2642;1162;1322;87.9;46;7;19;6;0.2;12;532;21.84;6
birk-risa;NYC;29;25;2152;1155;1336;86.5;2;0;1;0;0;66;190;100;64
juan-mosquera;POR;34;34;2792;1154;1347;85.7;47;1;27;5;0.16;34;350;36.99;34
tristan-blackmon;VAN;25;21;1883;1150;1271;90.5;12;0;2;1;0.05;25;166;50;23
walker-zimmerman;NSH;25;22;1930;1145;1284;89.2;7;0;0;1;0.05;46;191;0;38
dario-zuparic;POR;28;24;2221;1142;1306;87.4;3;0;1;1;0.04;56;151;100;43
nemanja-radoja;SKC;25;25;2130;1141;1269;89.9;15;0;0;4;0.17;54;236;0;50
eduard-atuesta;LAFC;28;25;2197;1136;1311;86.7;49;65;23;6;0.25;62;223;28.4;69
