name;club;games_played;games_started;mins;completed_passes;total_pass;accurate_pass;key_passes;corner_kicks;succesfull_crosses;assists;assists_average_over_90_minutes;accurate_long_balls;succesfull_short_passes;cross_perc;free_kicks
juan-agudelo;RBNY;2;0;14;0;0;0;0;0;0;0;0;0;0;0;0
andre-akpan;COL;1;0;13;0;0;0;0;0;0;0;0;0;0;0;0
chris-albright;RBNY;18;18;1585;0;0;0;0;0;0;2;0.11;0;0;0;0
eric-alexander;DAL;17;12;1054;0;0;0;0;0;0;3;0.26;0;0;0;0
jean-marc-alexandre;RSL;15;5;494;0;0;0;0;0;0;0;0;0;0;0;0
osvaldo-alonso;SEA;23;21;1874;0;0;0;0;0;0;3;0.14;0;0;0;0
arturo-alvarez;SJ;19;11;1210;0;0;0;0;0;0;1;0.07;0;0;0;0
quincy-amarikwa;SJ;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0
juan-pablo-angel;RBNY;30;29;2593;0;0;0;0;0;0;4;0.14;0;0;0;0
davy-armstrong;COL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
eric-avila;DAL;18;1;452;0;0;0;0;0;0;1;0.2;0;0;0;0
mehdi-ballouchy;COL;21;19;1598;0;0;0;0;0;0;5;0.28;0;0;0;0
guillermo-barros-schelotto;CLB;29;29;2545;0;0;0;0;0;0;8;0.28;0;0;0;0
julien-baudet;COL;18;14;1154;0;0;0;0;0;0;0;0;0;0;0;0
kyle-beckerman;RSL;22;21;1830;0;0;0;0;0;0;3;0.15;0;0;0;0
david-beckham;LA;7;5;466;0;0;0;0;0;0;1;0.19;0;0;0;0
steven-beitashour;SJ;8;7;640;0;0;0;0;0;0;0;0;0;0;0;0
tony-beltran;RSL;18;17;1493;0;0;0;0;0;0;1;0.06;0;0;0;0
jair-benitez;DAL;28;28;2424;0;0;0;0;0;0;2;0.07;0;0;0;0
gregg-berhalter;LA;16;16;1399;0;0;0;0;0;0;0;0;0;0;0;0
chris-birchall;LA;25;23;1973;0;0;0;0;0;0;2;0.09;0;0;0;0
nat-borchers;RSL;30;30;2673;0;0;0;0;0;0;0;0;0;0;0;0
danleigh-borman;RBNY;18;13;1179;0;0;0;0;0;0;1;0.08;0;0;0;0
terry-boss;SEA;1;0;45;0;0;0;0;0;0;0;0;0;0;0;0
tristan-bowen;LA;17;10;878;0;0;0;0;0;0;2;0.21;0;0;0;0
andrew-boyens;RBNY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
eric-brunner;CLB;14;13;1145;0;0;0;0;0;0;0;0;0;0;0;0
edson-buddle;LA;25;25;2109;0;0;0;0;0;0;2;0.09;0;0;0;0
bobby-burling;SJ;18;16;1410;0;0;0;0;0;0;1;0.06;0;0;0;0
kevin-burns;CLB;9;4;433;0;0;0;0;0;0;0;0;0;0;0;0
jon-busch;SJ;18;18;1620;0;0;0;0;0;0;0;0;0;0;0;0
pablo-campos;RSL;16;3;434;0;0;0;0;0;0;1;0.21;0;0;0;0
joe-cannon;SJ;12;12;1080;0;0;0;0;0;0;0;0;0;0;0;0
brian-carroll;CLB;28;27;2390;0;0;0;0;0;0;0;0;0;0;0;0
conor-casey;COL;27;26;2289;0;0;0;0;0;0;6;0.24;0;0;0;0
steward-ceus;COL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
marvin-chavez;DAL;16;10;818;0;0;0;0;0;0;2;0.22;0;0;0;0
