name;club;games_played;games_started;mins;completed_passes;total_pass;accurate_pass;key_passes;corner_kicks;succesfull_crosses;assists;assists_average_over_90_minutes;accurate_long_balls;succesfull_short_passes;cross_perc;free_kicks
kyle-beckerman;RSL;26;26;2281;1507;1813;83.1;24;15;15;6;0.24;124;1383;44.12;0
juninho;LA;32;32;2770;1498;1748;85.7;47;80;50;4;0.13;198;1300;43.1;0
marcelo-sarvas;LA;33;33;2897;1497;1790;83.6;33;4;4;6;0.19;130;1367;19.05;0
patrice-bernier;MTL;31;28;2474;1422;1725;82.4;20;13;9;8;0.29;227;1195;29.03;0
javier-morales;RSL;28;25;2281;1414;1701;83.1;91;108;56;10;0.39;107;1307;31.11;0
diego-chara;POR;31;31;2737;1386;1605;86.4;27;0;6;3;0.1;99;1287;35.29;0
dax-mccarty;RBNY;30;29;2582;1373;1616;85;17;0;5;4;0.14;145;1228;41.67;0
oriol-rosell;SKC;31;31;2691;1363;1614;84.5;22;7;6;2;0.07;199;1164;42.86;0
osvaldo-alonso;SEA;26;26;2179;1327;1498;88.6;15;0;3;1;0.04;178;1149;23.08;0
nigel-reo-coker;VAN;32;31;2817;1263;1542;81.9;32;2;15;4;0.13;95;1168;24.19;0
matteo-ferrari;MTL;31;31;2790;1247;1435;86.9;2;0;0;1;0.03;127;1120;0;0
michael-harrington;POR;33;33;2951;1235;1529;80.8;28;0;20;1;0.03;42;1193;25.64;0
will-johnson;POR;28;28;2520;1233;1452;84.9;30;56;22;5;0.18;198;1035;28.95;0
perry-kitchen;DC;31;31;2773;1209;1465;82.5;19;0;2;4;0.13;139;1070;28.57;0
sam-cronin;SJ;34;34;2971;1206;1514;79.7;30;19;20;4;0.12;159;1047;37.04;0
darlington-nagbe;POR;34;34;2848;1192;1395;85.5;42;1;4;4;0.13;35;1157;28.57;0
brian-carroll;PHI;33;33;2969;1191;1478;80.6;21;0;3;1;0.03;113;1078;33.33;0
lee-nguyen;NE;33;32;2838;1173;1459;80.4;50;69;25;7;0.22;96;1077;26.04;0
federico-higuain;CLB;29;29;2592;1159;1447;80.1;109;123;64;9;0.31;123;1036;32.82;0
hendry-thomas;COL;27;27;2301;1114;1319;84.5;9;0;0;1;0.04;135;979;0;0
lee-young-pyo;VAN;32;30;2747;1091;1339;81.5;20;0;17;6;0.2;92;999;19.54;0
ned-grabavoy;RSL;32;29;2688;1083;1245;87;45;7;8;5;0.17;13;1070;27.59;0
rafael-baca;SJ;31;28;2379;1072;1257;85.3;17;2;7;2;0.08;81;991;23.33;0
nathan-sturgis;COL;25;23;2037;1068;1254;85.2;20;1;14;1;0.04;73;995;41.18;0
sean-franklin;LA;33;29;2736;1058;1293;81.8;28;0;23;4;0.13;54;1004;23.23;0
jose-goncalves;NE;34;34;3060;1050;1353;77.6;9;0;3;0;0;134;916;50;0
drew-moor;COL;32;31;2793;1030;1282;80.3;3;0;0;0;0;162;868;0;0
dillon-powers;COL;30;29;2457;1027;1261;81.4;60;72;48;6;0.22;100;927;38.1;0
jeb-brovsky;MTL;30;29;2610;1026;1280;80.2;14;0;12;2;0.07;60;966;35.29;0
corey-ashe;HOU;30;29;2585;1010;1267;79.7;20;0;13;2;0.07;63;947;22.81;0
hassoun-camara;MTL;32;32;2874;1008;1276;79;16;0;5;3;0.09;65;943;19.23;0
tim-cahill;RBNY;27;27;2243;1000;1245;80.3;16;0;1;5;0.2;63;937;7.69;0
markus-holgersson;RBNY;32;32;2866;992;1191;83.3;4;0;4;1;0.03;108;884;57.14;0
aurelien-collin;SKC;29;29;2565;986;1303;75.7;6;0;1;1;0.04;194;792;50;0
seth-sinovic;SKC;32;31;2773;971;1222;79.5;18;0;13;3;0.1;64;907;20;0
alessandro-nesta;MTL;23;23;1939;949;1099;86.3;4;0;0;1;0.05;112;837;0;0
matt-besler;SKC;23;23;2070;929;1158;80.2;20;1;5;2;0.09;142;787;55.56;0
bobby-boswell;HOU;32;32;2830;925;1258;73.5;8;0;2;1;0.03;119;806;40;0
jeff-larentowicz;CHI;32;31;2807;923;1208;76.4;21;0;1;4;0.13;101;822;14.29;0
jair-benitez;DAL;31;28;2473;913;1208;75.6;19;3;24;1;0.04;138;775;24.74;0
michel-garbini-pereira;DAL;31;26;2284;910;1184;76.9;41;78;35;8;0.32;158;752;23.03;0
chris-korb;DC;30;30;2700;907;1161;78.1;23;0;26;0;0;58;849;25.74;0
omar-gonzalez;LA;27;27;2368;897;1142;78.5;12;0;1;2;0.08;108;789;25;0
kofi-sarkodie;HOU;33;33;2948;896;1161;77.2;19;0;23;4;0.12;48;848;35.94;0
tony-beltran;RSL;25;24;2230;880;1117;78.8;25;0;17;1;0.04;85;795;25.37;0
nat-borchers;RSL;28;28;2520;879;1004;87.5;2;0;0;2;0.07;68;811;0;0
ricardo-clark;HOU;30;29;2517;879;1125;78.1;25;0;2;4;0.14;73;806;16.67;0
amobi-okugo;PHI;32;32;2879;878;1086;80.8;2;0;0;3;0.09;76;802;0;0
sheanon-williams;PHI;32;32;2867;877;1148;76.4;23;0;21;8;0.25;51;826;18.75;0
daniel-woolard;DC;27;27;2235;876;1056;83;1;0;5;1;0.04;91;785;25;0
jack-jewsbury;POR;26;26;2240;872;1079;80.8;12;11;4;1;0.04;56;816;7.14;0
matt-hedges;DAL;33;32;2793;847;979;86.5;6;0;0;0;0;119;728;0;0
adam-moffat;HOU;26;24;1947;847;1054;80.4;16;14;8;1;0.05;123;724;26.67;0
james-riley;DC;21;19;1760;847;984;86.1;16;0;5;1;0.05;28;819;16.67;0
eric-alexander;RBNY;34;30;2504;846;1015;83.3;21;0;5;2;0.07;34;812;12.82;0
diego-valeri;POR;31;28;2277;843;1144;73.7;52;92;44;13;0.51;69;774;25.73;0
deandre-yedlin;SEA;31;30;2710;840;1131;74.3;17;0;20;2;0.07;34;806;28.17;0
andrew-farrell;NE;32;32;2813;836;1135;73.7;22;0;9;1;0.03;82;754;29.03;0
scott-caldwell;NE;29;23;2174;816;980;83.3;16;0;1;2;0.08;65;751;100;0
leonardo-gonzalez;SEA;27;27;2318;812;1131;71.8;11;0;10;1;0.04;41;771;27.03;0
gershon-koffie;VAN;26;21;1911;809;994;81.4;12;1;2;3;0.14;93;716;40;0
graham-zusi;SKC;27;26;2357;808;1046;77.3;81;128;79;8;0.31;95;713;35.27;0
david-ferreira;DAL;30;26;2419;804;1010;79.6;54;64;25;9;0.33;38;766;22.73;0
jermaine-taylor;HOU;26;26;2142;803;966;83.1;8;0;7;1;0.04;96;707;41.18;0
edgar-mejia;CHV;28;27;2266;800;1038;77.1;33;56;45;4;0.16;86;714;45.45;0
chris-wingert;RSL;21;20;1742;797;1022;78;18;0;3;0;0;90;707;15.79;0
a-j-delagarza;LA;28;28;2399;791;955;82.8;8;0;5;0;0;98;693;26.32;0
michael-farfan;PHI;29;22;1991;785;982;79.9;31;36;23;1;0.05;61;724;27.06;0
benny-feilhaber;SKC;27;22;1774;769;930;82.7;29;20;11;4;0.2;63;706;23.91;0
jeff-parke;PHI;31;31;2745;767;936;81.9;10;0;1;1;0.03;65;702;50;0
brad-davis;HOU;26;25;2204;766;907;84.5;48;115;67;9;0.37;50;716;31.6;0
jun-marques-davidson;VAN;26;24;1961;764;891;85.8;5;0;0;1;0.05;71;693;0;0
boniek-garcia;HOU;22;21;1899;762;929;82;60;45;30;6;0.28;40;722;32.61;0
todd-dunivant;LA;25;25;2228;761;1039;73.2;15;0;6;2;0.08;62;699;10.71;0
chance-myers;SKC;27;26;2383;754;996;75.7;26;0;21;3;0.11;45;709;26.92;0
keon-daniel;PHI;24;20;1721;751;886;84.8;32;30;15;1;0.05;62;689;20.83;0
davy-arnaud;MTL;24;21;1766;741;911;81.3;18;0;4;5;0.25;54;687;30.77;0
marvell-wynne;COL;28;27;2315;740;973;76;15;0;7;2;0.08;68;672;16.28;0
rodney-wallace;POR;27;21;1972;739;947;78;28;0;20;6;0.27;13;726;25.64;0
raymon-gaddis;PHI;31;31;2703;738;962;76.7;4;0;0;0;0;33;705;0;0
chris-klute;COL;31;30;2696;734;998;73.5;23;0;34;7;0.23;34;700;29.82;0
jalil-anibaba;CHI;34;34;3060;729;1061;68.7;20;0;16;3;0.09;90;639;22.86;0
jeremy-hall;TOR;31;26;2280;726;960;75.6;11;0;2;1;0.04;84;642;16.67;0
chris-tierney;NE;29;26;2352;726;958;75.8;39;58;40;5;0.19;51;675;22.22;0
