name;club;games_played;games_started;mins;completed_passes;total_pass;accurate_pass;key_passes;corner_kicks;succesfull_crosses;assists;assists_average_over_90_minutes;accurate_long_balls;succesfull_short_passes;cross_perc;free_kicks
michael-bradley;TOR;34;34;3050;1767;2058;85.9;23;1;1;5;0.15;86;1681;20;0
marky-delgado;LA;29;29;2522;1734;1961;88.4;27;1;10;4;0.14;101;1633;37.04;0
alan-franco;ATL;31;31;2715;1716;1914;89.7;6;0;1;3;0.1;102;1614;100;0
joel-waterman;MTL;30;30;2673;1712;1934;88.5;6;0;1;4;0.13;143;1569;16.67;0
carles-gil;NE;33;32;2910;1664;2018;82.5;107;132;73;14;0.43;146;1518;30.93;0
jose-antonio-martinez;DAL;31;31;2627;1623;1912;84.9;2;0;0;1;0.03;128;1495;0;0
ruben-gabrielsen;ATX;33;31;2740;1621;1827;88.7;7;0;0;2;0.07;103;1518;0;0
andreu-fontas;SKC;28;27;2440;1619;1856;87.2;5;0;1;0;0;136;1483;33.33;0
darlington-nagbe;CLB;34;34;3039;1604;1731;92.7;16;1;0;1;0.03;72;1532;0;0
rudy-camacho;MTL;28;28;2480;1599;1811;88.3;5;0;0;0;0;116;1483;0;0
julio-cascante;ATX;32;31;2716;1583;1855;85.3;9;0;0;4;0.13;157;1426;0;0
jackson-yueill;SJ;31;31;2695;1553;1783;87.1;24;0;2;2;0.07;110;1443;14.29;0
nicolas-lodeiro;SEA;28;26;2319;1479;1747;84.7;47;87;37;11;0.43;77;1402;22.7;0
jonathan-mensah;CLB;30;30;2575;1473;1658;88.8;4;0;0;1;0.03;103;1370;0;0
andrew-farrell;NE;32;32;2780;1466;1732;84.6;3;0;1;2;0.06;148;1318;100;0
gregore;MIA;30;30;2700;1453;1669;87.1;22;0;1;3;0.1;114;1339;8.33;0
;MIA;33;33;2679;1442;1679;85.9;37;50;13;3;0.1;144;1298;17.11;0
albert-rusnak;SEA;32;30;2614;1395;1583;88.1;32;55;26;2;0.07;109;1286;32.91;0
victor-wanyama;MTL;32;30;2636;1395;1617;86.3;25;0;0;5;0.17;92;1303;0;0
alexander-callens;NYC;27;27;2388;1392;1577;88.3;1;0;1;1;0.04;70;1322;12.5;0
brandt-bronico;CLT;34;32;2815;1351;1587;85.1;13;0;3;4;0.13;92;1259;37.5;0
dejuan-jones;NE;31;31;2740;1346;1569;85.8;37;5;23;7;0.23;55;1291;22.12;0
kamal-miller;MTL;27;26;2298;1345;1593;84.4;9;0;3;3;0.12;83;1262;17.65;0
thiago-almada;ATL;29;25;2373;1344;1564;85.9;73;79;27;12;0.46;105;1239;26.47;0
nicolas-acevedo;NYC;31;27;2276;1324;1552;85.3;10;2;4;1;0.04;95;1229;14.81;0
remi-walter;SKC;34;34;2975;1315;1466;89.7;33;23;16;3;0.09;82;1233;34.04;0
cesar-araujo;ORL;31;28;2462;1311;1445;90.7;12;0;2;1;0.04;74;1237;40;0
alex-roldan;SEA;32;29;2612;1300;1525;85.3;34;0;25;7;0.24;70;1230;21.19;0
jamiro-monteiro;SJ;31;31;2643;1291;1502;86;50;17;12;7;0.24;79;1212;21.43;0
maximiliano-moralez;NYC;29;24;2105;1289;1578;81.7;63;80;53;9;0.38;115;1174;35.81;0
julian-araujo;LA;33;30;2742;1283;1502;85.4;31;2;23;9;0.3;42;1241;24.21;0
ilie-sanchez;LAFC;33;30;2678;1283;1542;83.2;17;0;1;0;0;95;1188;33.33;0
sega-coulibaly;LA;27;24;2150;1278;1393;91.7;1;0;0;0;0;66;1212;0;0
matt-polster;NE;28;24;2115;1267;1425;88.9;11;0;1;2;0.09;91;1176;14.29;0
thiago-martins-bueno;NYC;26;25;2155;1255;1408;89.1;3;0;0;2;0.08;69;1186;0;0
nathan-raphael-pelae-cardoso;SJ;26;26;2272;1255;1443;87;5;0;0;0;0;77;1178;0;0
derrick-williams;LA;26;24;2155;1251;1424;87.8;6;0;0;1;0.04;87;1164;0;0
mauricio-pereyra;ORL;32;31;2551;1249;1509;82.8;63;83;42;11;0.39;104;1145;33.6;0
steven-moreira;CLB;32;32;2786;1235;1474;83.8;32;1;23;8;0.26;64;1171;29.11;0
christopher-mcvey;MIA;34;34;3040;1230;1465;84;6;0;4;1;0.03;98;1132;28.57;0
nicolas-isimat-mirin-x1599;SKC;28;26;2276;1225;1391;88.1;10;0;0;0;0;91;1134;0;0
walker-zimmerman;NSH;30;28;2519;1210;1448;83.6;15;0;3;1;0.04;121;1089;60;0
diego-chara;POR;28;27;2437;1201;1368;87.8;13;1;2;2;0.07;84;1117;66.67;0
dave-romney;NSH;31;30;2645;1197;1410;84.9;5;0;3;3;0.1;81;1116;30;0
matt-hedges;DAL;28;26;2228;1171;1376;85.1;5;0;0;0;0;70;1101;0;0
steven-birnbaum;DC;32;32;2850;1145;1397;82;10;0;0;0;0;74;1071;0;0
matheus-rossetto;ATL;24;19;1603;1145;1254;91.3;9;0;0;1;0.06;54;1091;0;0
yeimar-gomez-andrade;SEA;28;26;2318;1143;1354;84.4;3;0;0;0;0;85;1058;0;0
tim-parker;HOU;28;26;2252;1138;1285;88.6;2;0;0;0;0;64;1074;0;0
daniel-pereira;ATX;30;26;2098;1135;1262;89.9;17;1;4;3;0.13;92;1043;26.67;0
