name;club;games_played;games_started;mins;completed_passes;total_pass;accurate_pass;key_passes;corner_kicks;succesfull_crosses;assists;assists_average_over_90_minutes;accurate_long_balls;succesfull_short_passes;cross_perc;free_kicks
jeff-agoos;DC;32;32;2805;0;0;0;0;0;0;5;0.16;0;0;0;0
yari-allnutt;SKC;1;0;45;0;0;0;0;0;0;0;0;0;0;0;0
leonel-alvarez;DAL;22;22;1959;0;0;0;0;0;0;5;0.23;0;0;0;0
rafael-amaya;SJ;7;0;97;0;0;0;0;0;0;0;0;0;0;0;0
mike-ammann;SKC;4;3;291;0;0;0;0;0;0;0;0;0;0;0;0
chris-armas;LA;22;20;1702;0;0;0;0;0;0;1;0.05;0;0;0;0
chad-ashton;DAL;23;10;974;0;0;0;0;0;0;0;0;0;0;0;0
geoff-aunger;NE;29;26;2397;0;0;0;0;0;0;3;0.11;0;0;0;0
nidal-baba;RBNY;3;1;190;0;0;0;0;0;0;1;0.47;0;0;0;0
imad-baba;NE;11;8;736;0;0;0;0;0;0;2;0.24;0;0;0;0
derek-backman;TB;25;14;1368;0;0;0;0;0;0;0;0;0;0;0;0
jeff-baicher;SJ;30;28;2180;0;0;0;0;0;0;1;0.04;0;0;0;0
marcelo-balboa;COL;18;16;1525;0;0;0;0;0;0;2;0.12;0;0;0;0
danny-barber;RBNY;1;1;90;0;0;0;0;0;0;0;0;0;0;0;0
shaun-bartlett;COL;26;26;2252;0;0;0;0;0;0;7;0.28;0;0;0;0
brian-bates;COL;19;7;896;0;0;0;0;0;0;0;0;0;0;0;0
shane-battelle;CLB;15;10;841;0;0;0;0;0;0;0;0;0;0;0;0
scott-benedetti;COL;32;32;2815;0;0;0;0;0;0;5;0.16;0;0;0;0
;CLB;19;19;1566;0;0;0;0;0;0;0;0;0;0;0;0
sean-bowers;SKC;31;31;2769;0;0;0;0;0;0;3;0.1;0;0;0;0
chris-brauchle;RBNY;5;3;323;0;0;0;0;0;0;0;0;0;0;0;0
paul-bravo;SJ;31;31;2654;0;0;0;0;0;0;5;0.17;0;0;0;0
scott-budnick;TB;4;4;360;0;0;0;0;0;0;0;0;0;0;0;0
mike-burns;NE;17;14;1294;0;0;0;0;0;0;1;0.07;0;0;0;0
altimont-butler;SJ;14;4;411;0;0;0;0;0;0;0;0;0;0;0;0
ian-butterworth;COL;17;17;1379;0;0;0;0;0;0;0;0;0;0;0;0
dan-calichman;LA;28;28;2372;0;0;0;0;0;0;1;0.04;0;0;0;0
paul-caligiuri;CLB;22;21;1869;0;0;0;0;0;0;2;0.1;0;0;0;0
jorge-campos;LA;24;24;2160;0;0;0;0;0;0;1;0.04;0;0;0;0
scott-cannon;COL;21;16;1582;0;0;0;0;0;0;1;0.06;0;0;0;0
nicola-caricola;RBNY;26;26;2193;0;0;0;0;0;0;0;0;0;0;0;0
marcelo-carrera;CLB;30;12;1339;0;0;0;0;0;0;2;0.13;0;0;0;0
jeff-cassar;DAL;2;1;104;0;0;0;0;0;0;0;0;0;0;0;0
jeff-causey;DC;19;18;1620;0;0;0;0;0;0;0;0;0;0;0;0
ted-chronopoulos;NE;14;11;1000;0;0;0;0;0;0;0;0;0;0;0;0
mark-chung;SKC;32;32;2847;0;0;0;0;0;0;9;0.28;0;0;0;0
mauricio-cienfuegos;LA;28;27;2405;0;0;0;0;0;0;11;0.41;0;0;0;0
mike-clark;CLB;27;27;2329;0;0;0;0;0;0;1;0.04;0;0;0;0
