name;club;games_played;games_started;mins;completed_passes;total_pass;accurate_pass;key_passes;corner_kicks;succesfull_crosses;assists;assists_average_over_90_minutes;accurate_long_balls;succesfull_short_passes;cross_perc;free_kicks
freddy-adu;DC;30;14;1440;0;0;0;0;0;0;3;0.19;0;0;0;0
jeff-agoos;SJ;24;24;2152;0;0;0;0;0;0;4;0.17;0;0;0;0
nelson-akwari;CLB;19;16;1400;0;0;0;0;0;0;0;0;0;0;0;0
chris-albright;LA;24;24;2111;0;0;0;0;0;0;6;0.26;0;0;0;0
chris-aloisi;LA;4;3;281;0;0;0;0;0;0;0;0;0;0;0;0
arturo-alvarez;SJ;11;2;374;0;0;0;0;0;0;0;0;0;0;0;0
kevin-ara;DC;6;1;114;0;0;0;0;0;0;0;0;0;0;0;0
kenny-arena;RBNY;10;8;707;0;0;0;0;0;0;0;0;0;0;0;0
chris-armas;CHI;21;20;1821;0;0;0;0;0;0;7;0.35;0;0;0;0
davy-arnaud;SKC;30;30;2626;0;0;0;0;0;0;8;0.27;0;0;0;0
richie-baker;NE;20;11;1052;0;0;0;0;0;0;6;0.51;0;0;0;0
devin-barclay;CLB;3;1;72;0;0;0;0;0;0;0;0;0;0;0;0
clint-baumstark;CLB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
clint-baumstark;NE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
damarcus-beasley;CHI;15;14;1290;0;0;0;0;0;0;3;0.21;0;0;0;0
kyle-beckerman;COL;29;25;2241;0;0;0;0;0;0;2;0.08;0;0;0;0
matt-behncke;DAL;17;14;1239;0;0;0;0;0;0;0;0;0;0;0;0
perek-belleh;NE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
peter-billmeyer;DAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tenywa-bonseu;RBNY;14;13;1164;0;0;0;0;0;0;0;0;0;0;0;0
nat-borchers;COL;29;29;2610;0;0;0;0;0;0;1;0.03;0;0;0;0
alexandre-boucicaut;CHI;5;1;164;0;0;0;0;0;0;0;0;0;0;0;0
michael-bradley;RBNY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pablo-brenes;RBNY;14;5;709;0;0;0;0;0;0;0;0;0;0;0;0
felix-brillant;NE;19;6;856;0;0;0;0;0;0;2;0.21;0;0;0;0
paul-broome;LA;22;20;1758;0;0;0;0;0;0;1;0.05;0;0;0;0
adin-brown;NE;7;7;585;0;0;0;0;0;0;0;0;0;0;0;0
chris-brown;SJ;11;7;561;0;0;0;0;0;0;1;0.16;0;0;0;0
c-j-brown;CHI;24;24;2130;0;0;0;0;0;0;1;0.04;0;0;0;0
edson-buddle;CLB;24;20;1721;0;0;0;0;0;0;2;0.1;0;0;0;0
scott-buete;CHI;13;8;702;0;0;0;0;0;0;2;0.26;0;0;0;0
jose-burciaga-jr;SKC;24;21;1876;0;0;0;0;0;0;1;0.05;0;0;0;0
jon-busch;CLB;29;29;2610;0;0;0;0;0;0;0;0;0;0;0;0
danny-califf;LA;13;10;855;0;0;0;0;0;0;0;0;0;0;0;0
jose-cancela;NE;25;24;1957;0;0;0;0;0;0;10;0.46;0;0;0;0
adrian-cann;COL;2;0;11;0;0;0;0;0;0;0;0;0;0;0;0
joe-cannon;COL;30;30;2700;0;0;0;0;0;0;0;0;0;0;0;0
g-r-cannon;DC;1;0;35;0;0;0;0;0;0;0;0;0;0;0;0
craig-capano;CHI;13;4;440;0;0;0;0;0;0;0;0;0;0;0;0
chris-carrieri;CHI;1;0;34;0;0;0;0;0;0;0;0;0;0;0;0
brian-carroll;DC;30;26;2438;0;0;0;0;0;0;1;0.04;0;0;0;0
jeff-cassar;DAL;19;19;1632;0;0;0;0;0;0;0;0;0;0;0;0
david-castellanos;COL;3;1;132;0;0;0;0;0;0;0;0;0;0;0;0
ronald-cerritos;DC;10;6;545;0;0;0;0;0;0;1;0.17;0;0;0;0
brian-ching;SJ;25;21;1954;0;0;0;0;0;0;4;0.18;0;0;0;0
mark-chung;COL;22;21;1914;0;0;0;0;0;0;4;0.19;0;0;0;0
jordan-cila;COL;21;15;1310;0;0;0;0;0;0;2;0.14;0;0;0;0
denny-clanton;CHI;10;6;500;0;0;0;0;0;0;0;0;0;0;0;0
ricardo-clark;RBNY;26;19;1769;0;0;0;0;0;0;1;0.05;0;0;0;0
ryan-cochrane;SJ;18;18;1459;0;0;0;0;0;0;1;0.06;0;0;0;0
jimmy-conrad;SKC;29;29;2610;0;0;0;0;0;0;0;0;0;0;0;0
bobby-convey;DC;10;10;823;0;0;0;0;0;0;3;0.33;0;0;0;0
jon-conway;SJ;5;5;450;0;0;0;0;0;0;0;0;0;0;0;0
ramiro-corrales;SJ;29;28;2475;0;0;0;0;0;0;1;0.04;0;0;0;0
d-j-countess;CHI;2;2;180;0;0;0;0;0;0;0;0;0;0;0;0
matt-crawford;COL;30;28;2534;0;0;0;0;0;0;4;0.14;0;0;0;0
steve-cronin;SJ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jeff-cunningham;CLB;30;19;1856;0;0;0;0;0;0;4;0.19;0;0;0;0
jim-curtin;CHI;30;30;2700;0;0;0;0;0;0;1;0.03;0;0;0;0
brad-davis;DAL;29;24;1945;0;0;0;0;0;0;2;0.09;0;0;0;0
troy-dayak;SJ;16;15;1367;0;0;0;0;0;0;0;0;0;0;0;0
antonio-de-la-torre;COL;28;28;2409;0;0;0;0;0;0;5;0.19;0;0;0;0
david-de-la-torre;COL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dwayne-de-rosario;SJ;21;12;1214;0;0;0;0;0;0;3;0.22;0;0;0;0
alberto-delgado;COL;13;9;742;0;0;0;0;0;0;3;0.36;0;0;0;0
clint-dempsey;NE;24;23;2024;0;0;0;0;0;0;1;0.04;0;0;0;0
eric-denton;CLB;18;16;1310;0;0;0;0;0;0;2;0.14;0;0;0;0
justin-detter;SKC;6;2;162;0;0;0;0;0;0;0;0;0;0;0;0
joey-digiamarino;RBNY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
joey-digiamarino;COL;8;5;413;0;0;0;0;0;0;1;0.22;0;0;0;0
tighe-dombrowski;SJ;4;0;44;0;0;0;0;0;0;0;0;0;0;0;0
landon-donovan;SJ;23;22;2018;0;0;0;0;0;0;10;0.45;0;0;0;0
andy-dorman;NE;20;2;365;0;0;0;0;0;0;1;0.25;0;0;0;0
todd-dunivant;SJ;16;13;1212;0;0;0;0;0;0;0;0;0;0;0;0
ronnie-ekelund;SJ;26;24;2018;0;0;0;0;0;0;3;0.13;0;0;0;0
simon-elliott;CLB;27;26;2353;0;0;0;0;0;0;10;0.38;0;0;0;0
michael-erush;COL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
alecko-eskandarian;DC;24;19;1627;0;0;0;0;0;0;2;0.11;0;0;0;0
gilberto-flores;RBNY;7;7;451;0;0;0;0;0;0;1;0.2;0;0;0;0
joe-franchino;NE;20;20;1693;0;0;0;0;0;0;0;0;0;0;0;0
robin-fraser;CLB;28;28;2520;0;0;0;0;0;0;0;0;0;0;0;0
sergio-galvan-rey;RBNY;20;10;871;0;0;0;0;0;0;1;0.1;0;0;0;0
nick-garcia;SKC;26;26;2295;0;0;0;0;0;0;1;0.04;0;0;0;0
josh-gardner;LA;2;0;25;0;0;0;0;0;0;0;0;0;0;0;0
scott-garlick;DAL;12;11;1068;0;0;0;0;0;0;1;0.08;0;0;0;0
eddie-gaven;RBNY;29;29;2578;0;0;0;0;0;0;7;0.24;0;0;0;0
chris-gbandi;DAL;23;20;1771;0;0;0;0;0;0;1;0.05;0;0;0;0
cory-gibbs;DAL;21;21;1850;0;0;0;0;0;0;1;0.05;0;0;0;0
cornell-glen;RBNY;18;10;966;0;0;0;0;0;0;2;0.19;0;0;0;0
francisco-gomez;SKC;23;10;1097;0;0;0;0;0;0;0;0;0;0;0;0
christian-gomez;DC;9;8;582;0;0;0;0;0;0;0;0;0;0;0;0
guillermo-gonzalez;LA;6;1;114;0;0;0;0;0;0;0;0;0;0;0;0
clarence-goodson;DAL;5;2;247;0;0;0;0;0;0;0;0;0;0;0;0
alan-gordon;LA;3;2;142;0;0;0;0;0;0;0;0;0;0;0;0
ned-grabavoy;LA;15;11;928;0;0;0;0;0;0;3;0.29;0;0;0;0
taylor-graham;SKC;17;7;750;0;0;0;0;0;0;0;0;0;0;0;0
kelly-gray;CHI;25;23;2112;0;0;0;0;0;0;0;0;0;0;0;0
leonard-griffin;CHI;9;3;330;0;0;0;0;0;0;0;0;0;0;0;0
joshua-gros;DC;29;21;2087;0;0;0;0;0;0;4;0.17;0;0;0;0
amado-guevara;RBNY;24;23;2110;0;0;0;0;0;0;10;0.43;0;0;0;0
;SKC;28;28;2520;0;0;0;0;0;0;4;0.14;0;0;0;0
wes-hart;SJ;18;13;1180;0;0;0;0;0;0;0;0;0;0;0;0
kevin-hartman;LA;30;30;2655;0;0;0;0;0;0;0;0;0;0;0;0
jay-heaps;NE;28;26;2415;0;0;0;0;0;0;2;0.07;0;0;0;0
frankie-hejduk;CLB;20;19;1644;0;0;0;0;0;0;0;0;0;0;0;0
chris-henderson;COL;29;29;2562;0;0;0;0;0;0;5;0.18;0;0;0;0
ezra-hendrickson;DC;12;8;787;0;0;0;0;0;0;0;0;0;0;0;0
stephen-herdsman;CLB;8;8;675;0;0;0;0;0;0;0;0;0;0;0;0
andy-herron;CHI;4;3;310;0;0;0;0;0;0;0;0;0;0;0;0
andreas-herzog;LA;27;25;2048;0;0;0;0;0;0;7;0.31;0;0;0;0
william-hesmer;SKC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hong-myung-bo;LA;13;9;858;0;0;0;0;0;0;0;0;0;0;0;0
steve-howey;NE;3;3;193;0;0;0;0;0;0;0;0;0;0;0;0
sumed-ibrahim;CHI;3;1;82;0;0;0;0;0;0;0;0;0;0;0;0
nate-jaqua;CHI;26;21;1836;0;0;0;0;0;0;4;0.2;0;0;0;0
peguero-jean-philippe;COL;18;16;1389;0;0;0;0;0;0;4;0.26;0;0;0;0
jack-jewsbury;SKC;22;15;1406;0;0;0;0;0;0;2;0.13;0;0;0;0
avery-john;NE;21;19;1808;0;0;0;0;0;0;0;0;0;0;0;0
eddie-johnson;DAL;26;25;2269;0;0;0;0;0;0;3;0.12;0;0;0;0
steve-jolley;DAL;28;28;2428;0;0;0;0;0;0;0;0;0;0;0;0
cobi-jones;LA;23;20;1751;0;0;0;0;0;0;5;0.26;0;0;0;0
matt-jordan;CLB;1;1;90;0;0;0;0;0;0;0;0;0;0;0;0
shalrie-joseph;NE;23;23;2032;0;0;0;0;0;0;3;0.13;0;0;0;0
brian-kamler;NE;22;20;1653;0;0;0;0;0;0;2;0.11;0;0;0;0
daouda-kante;NE;4;3;221;0;0;0;0;0;0;0;0;0;0;0;0
zach-kingsley;COL;2;1;78;0;0;0;0;0;0;0;0;0;0;0;0
jovan-kirovski;LA;24;23;1984;0;0;0;0;0;0;2;0.09;0;0;0;0
chris-klein;SKC;19;19;1694;0;0;0;0;0;0;8;0.43;0;0;0;0
ritchie-kotschau;COL;28;26;2351;0;0;0;0;0;0;1;0.04;0;0;0;0
dema-kovalenko;DC;25;25;2163;0;0;0;0;0;0;10;0.42;0;0;0;0
jason-kreis;DAL;25;19;1703;0;0;0;0;0;0;2;0.11;0;0;0;0
