name;club;games_played;games_started;mins;completed_passes;total_pass;accurate_pass;key_passes;corner_kicks;succesfull_crosses;assists;assists_average_over_90_minutes;accurate_long_balls;succesfull_short_passes;cross_perc;free_kicks
jonathan-mensah;CLB;23;23;2070;1298;1473;88.1;0;0;0;0;0;130;1168;0;0
eddie-segura;LAFC;22;21;1886;1195;1414;84.5;3;0;0;1;0.05;80;1115;0;0
haris-medunjanin;CIN;21;19;1729;1177;1358;86.7;42;65;36;1;0.05;110;1067;33.03;0
alejandro-pozuelo;TOR;23;23;2015;1161;1367;84.9;61;41;21;10;0.45;72;1089;22.11;0
nicolas-lodeiro;SEA;20;20;1782;1125;1376;81.8;46;93;44;10;0.51;76;1049;25.14;0
jackson-yueill;SJ;21;21;1861;1110;1246;89.1;19;7;2;1;0.05;83;1027;15.38;0
mauricio-pineda;CHI;23;23;2022;1090;1238;88;1;0;2;2;0.09;103;987;66.67;0
francisco-calvo;CHI;22;22;1911;1062;1326;80.1;6;0;0;2;0.09;122;940;0;0
artur;CLB;22;20;1831;1046;1184;88.3;9;0;1;4;0.2;105;941;16.67;0
joao-paulo;SEA;19;17;1501;1038;1214;85.5;21;29;18;5;0.3;110;928;34.62;0
alvaro-medran;CHI;23;23;1996;1033;1277;80.9;36;61;29;6;0.27;97;936;25.89;0
alexander-ring;NYC;23;23;2016;1030;1228;83.9;25;1;5;4;0.18;97;933;50;0
eduard-atuesta;LAFC;17;14;1326;1019;1191;85.6;16;4;5;2;0.14;60;959;15.63;0
maynor-figueroa;HOU;20;19;1717;1018;1190;85.5;4;0;3;0;0;116;902;42.86;0
alexander-callens;NYC;22;22;1934;1002;1183;84.7;1;0;0;0;0;70;932;0;0
diego-chara;POR;20;20;1799;995;1131;88;6;0;1;6;0.3;68;927;20;0
victor-wanyama;MTL;21;21;1890;953;1117;85.3;9;0;0;2;0.1;72;881;0;0
jonathan-osorio;TOR;17;17;1408;942;1039;90.7;13;4;1;3;0.19;27;915;9.09;0
junior-moreno;DC;20;20;1722;935;1070;87.4;12;1;2;1;0.05;74;861;28.57;0
harrison-afful;CLB;21;20;1795;927;1125;82.4;15;0;16;2;0.1;70;857;21.33;0
;SJ;21;20;1701;918;1042;88.1;2;0;1;0;0;98;820;25;0
marky-delgado;TOR;19;18;1448;911;1094;83.3;16;0;5;1;0.06;56;855;45.45;0
jan-gregus;MIN;18;18;1599;909;1037;87.7;23;66;24;6;0.34;85;824;25;0
jack-price;COL;16;14;1318;909;1017;89.4;24;66;22;5;0.34;83;826;24.44;0
dax-mccarty;NSH;21;19;1678;902;1042;86.6;21;0;1;4;0.21;67;835;16.67;0
anibal-godoy;NSH;20;18;1494;897;976;91.9;10;0;1;0;0;91;806;33.33;0
miles-robinson;ATL;17;16;1393;883;995;88.7;4;0;0;0;0;105;778;0;0
anton-walkes;ATL;17;15;1335;881;985;89.4;1;0;0;1;0.07;69;812;0;0
