name;club;games_played;games_started;mins;completed_passes;total_pass;accurate_pass;key_passes;corner_kicks;succesfull_crosses;assists;assists_average_over_90_minutes;accurate_long_balls;succesfull_short_passes;cross_perc;free_kicks
dax-mccarty;RBNY;32;32;2777;1927;2279;84.5;23;1;1;8;0.26;143;1784;11.11;0
juninho;LA;34;32;2857;1698;2007;84.6;33;27;23;7;0.22;179;1519;41.82;0
felipe-martins;RBNY;34;34;2922;1524;1861;81.9;58;90;45;5;0.15;107;1417;35.16;0
sacha-kljestan;RBNY;33;33;2843;1482;1874;79.1;70;97;44;14;0.44;35;1447;36.36;0
tony-tchani;CLB;32;32;2787;1403;1713;81.9;25;0;4;6;0.19;169;1234;19.05;0
victor-ulloa;DAL;33;33;2915;1394;1675;83.2;21;2;4;1;0.03;78;1316;36.36;0
federico-higuain;CLB;32;32;2724;1393;1726;80.7;71;142;53;9;0.3;134;1259;27.18;0
michael-parkhurst;CLB;33;33;2895;1387;1620;85.6;6;0;2;1;0.03;209;1178;50;0
scott-caldwell;NE;34;32;2882;1378;1617;85.2;20;1;0;5;0.16;120;1258;0;0
javier-morales;RSL;26;24;2124;1363;1594;85.5;75;98;52;12;0.51;80;1283;31.71;0
tyrone-mears;SEA;33;33;2960;1361;1662;81.9;23;8;30;3;0.09;110;1251;29.7;0
darwin-ceren;ORL;26;25;2254;1345;1555;86.5;26;0;6;2;0.08;152;1193;33.33;0
osvaldo-alonso;SEA;22;21;1857;1335;1446;92.3;7;0;1;0;0;131;1204;25;0
gonzalo-pineda;SEA;28;21;1845;1281;1519;84.3;14;27;14;2;0.1;102;1179;29.17;0
kyle-beckerman;RSL;26;26;2335;1250;1498;83.4;15;11;8;2;0.08;104;1146;30.77;0
darlington-nagbe;POR;33;33;2842;1232;1385;89;63;12;10;5;0.16;58;1174;30.3;0
perry-kitchen;DC;33;31;2831;1229;1427;86.1;12;0;0;1;0.03;120;1109;0;0
cristian-higuita;ORL;26;25;2228;1221;1403;87;18;0;3;2;0.08;96;1125;37.5;0
diego-chara;POR;28;28;2479;1211;1393;86.9;16;0;6;1;0.04;117;1094;30;0
michael-bradley;TOR;25;25;2250;1200;1428;84;46;64;15;6;0.24;86;1114;20.55;0
matt-polster;CHI;30;27;2422;1159;1417;81.8;14;1;7;0;0;112;1047;41.18;0
benoit-cheyrou;TOR;28;28;2408;1141;1406;81.2;17;14;6;7;0.26;122;1019;17.65;0
matt-besler;SKC;32;32;2830;1137;1442;78.8;19;0;3;3;0.1;154;983;50;0
matias-laba;VAN;30;30;2539;1134;1366;83;19;2;3;1;0.04;100;1034;33.33;0
vincent-nogueira;PHI;27;22;1993;1116;1307;85.4;13;0;3;0;0;109;1007;23.08;0
benny-feilhaber;SKC;32;30;2731;1089;1395;78.1;59;57;39;15;0.49;101;988;34.82;0
andrew-jacobson;NYC;33;33;2837;1089;1341;81.2;14;0;3;2;0.06;47;1042;33.33;0
wil-trapp;CLB;19;17;1532;1089;1233;88.3;16;11;10;3;0.18;116;973;50;0
lee-nguyen;NE;32;31;2706;1078;1369;78.7;39;78;17;10;0.33;116;962;19.54;0
lucas-pittinari;COL;29;25;2241;1075;1374;78.2;23;0;4;3;0.12;118;957;16;0
bobby-boswell;DC;34;33;2975;1041;1330;78.3;3;0;3;0;0;120;921;60;0
luke-boden;ORL;25;24;2238;1029;1268;81.2;22;39;23;4;0.16;65;964;17.69;0
omar-gonzalez;LA;30;29;2577;1028;1313;78.3;7;0;1;3;0.1;141;887;14.29;0
sean-franklin;DC;24;23;2089;1021;1256;81.3;23;15;26;0;0;111;910;25.49;0
marco-donadel;MTL;25;24;2000;1007;1177;85.6;42;98;47;5;0.23;163;844;34.31;0
liam-ridgewell;POR;32;32;2868;995;1301;76.5;8;0;2;1;0.03;200;795;50;0
laurent-ciman;MTL;27;27;2405;987;1209;81.6;3;0;2;2;0.07;165;822;40;0
kaka;ORL;28;28;2440;966;1174;82.3;48;61;32;7;0.26;44;922;28.07;0
andrew-farrell;NE;32;32;2819;963;1252;76.9;3;0;0;0;0;140;823;0;0
jonathan-osorio;TOR;29;26;2235;962;1087;88.5;35;1;4;7;0.28;40;922;23.53;0
chris-tierney;NE;31;29;2613;947;1223;77.4;55;83;60;6;0.21;72;875;24.79;0
aurelien-collin;ORL;28;27;2407;930;1130;82.3;3;0;0;1;0.04;126;804;0;0
cristian-maidana;PHI;28;25;2121;915;1182;77.4;69;109;77;15;0.64;51;864;34.38;0
damien-perrinelle;RBNY;28;27;2410;912;1141;79.9;5;0;0;1;0.04;68;844;0;0
jorge-villafana;POR;33;33;2929;910;1123;81;18;23;28;5;0.15;48;862;17.39;0
chris-wingert;NYC;27;26;2169;908;1146;79.2;12;0;6;0;0;73;835;40;0
harry-shipp;CHI;33;29;2571;902;1144;78.8;50;70;37;8;0.28;78;824;30.58;0
damarcus-beasley;HOU;28;28;2374;901;1117;80.7;16;0;6;1;0.04;50;851;24;0
brad-evans;SEA;28;27;2345;898;1090;82.4;6;0;0;2;0.08;78;820;0;0
mohammed-saeid;CLB;25;18;1590;894;1006;88.9;15;42;17;1;0.06;57;837;34.69;0
mix-diskerud;NYC;27;23;2073;889;1083;82.1;30;3;8;1;0.04;42;847;25;0
jose-goncalves;NE;29;28;2480;879;1148;76.6;2;0;0;2;0.07;128;751;0;0
donny-toia;MTL;31;29;2699;872;1119;77.9;14;1;11;0;0;62;810;39.29;0
