name;club;games_played;games_started;mins;completed_passes;total_pass;accurate_pass;key_passes;corner_kicks;succesfull_crosses;assists;assists_average_over_90_minutes;accurate_long_balls;succesfull_short_passes;cross_perc;free_kicks
michael-bradley;TOR;32;32;2857;2330;2647;88;36;37;17;5;0.16;208;2122;34;0
ilie-sanchez;SKC;34;34;3060;2078;2431;85.5;47;2;2;4;0.12;188;1890;33.33;0
matt-besler;SKC;31;31;2745;1851;2111;87.7;8;0;1;3;0.1;193;1658;50;0
wil-trapp;CLB;30;29;2620;1843;2073;88.9;20;1;1;1;0.03;171;1672;9.09;0
alexander-callens;NYC;31;31;2750;1810;2088;86.7;2;0;1;0;0;128;1682;33.33;0
benny-feilhaber;LAFC;34;32;2804;1775;2038;87.1;40;23;9;6;0.19;144;1631;25.71;0
haris-medunjanin;PHI;30;29;2530;1741;2041;85.3;57;70;25;7;0.25;177;1564;28.41;0
bastian-schweinsteiger;CHI;31;30;2726;1725;2006;86;38;13;11;6;0.2;182;1543;35.48;0
jack-price;COL;31;31;2750;1708;1991;85.8;40;68;26;4;0.13;272;1436;27.37;0
alexander-ring;NYC;30;29;2608;1708;1990;85.8;18;0;3;0;0;156;1552;25;0
graham-zusi;SKC;34;34;3060;1706;2007;85;63;100;52;7;0.21;163;1543;24.76;0
leandro-gonzalez-pirez;ATL;32;32;2775;1648;1958;84.2;9;0;1;2;0.06;266;1382;25;0
saphir-taider;MTL;33;33;2852;1629;1854;87.9;65;97;35;8;0.25;205;1424;25;0
artur;CLB;32;32;2784;1618;1879;86.1;15;1;3;2;0.06;118;1500;13.04;0
michael-parkhurst;ATL;33;32;2903;1607;1832;87.7;7;0;0;2;0.06;207;1400;0;0
maximiliano-moralez;NYC;32;32;2818;1599;1995;80.2;96;117;62;16;0.51;167;1432;35.23;0
samuel-piette;MTL;34;34;3000;1585;1812;87.5;20;0;2;3;0.09;117;1468;66.67;0
kyle-beckerman;RSL;31;29;2621;1575;1848;85.2;27;0;3;1;0.03;157;1418;75;0
nicolas-lodeiro;SEA;27;27;2428;1482;1806;82.1;86;141;82;16;0.59;107;1375;39.61;0
alejandro-bedoya;PHI;33;31;2777;1459;1642;88.9;30;1;6;6;0.19;65;1394;28.57;0
dax-mccarty;CHI;26;26;2259;1441;1655;87.1;11;1;1;3;0.12;114;1327;25;0
justen-glad;RSL;33;33;2910;1429;1653;86.5;7;0;0;0;0;146;1283;0;0
ike-opara;SKC;31;31;2773;1417;1641;86.3;8;0;1;2;0.06;125;1292;25;0
harrison-afful;CLB;32;32;2864;1377;1651;83.4;39;0;20;6;0.19;95;1282;17.86;0
anibal-godoy;SJ;27;27;2348;1371;1522;90.1;15;0;1;2;0.08;170;1201;25;0
reto-ziegler;DAL;29;29;2570;1369;1622;84.4;11;1;1;0;0;176;1193;10;0
keegan-rosenberry;PHI;32;31;2773;1357;1622;83.7;21;7;16;3;0.1;76;1281;24.24;0
cristian-roldan;SEA;34;34;3053;1356;1606;84.4;38;3;12;9;0.27;99;1257;25.53;0
jonathan-osorio;TOR;30;30;2603;1354;1511;89.6;48;4;3;7;0.24;57;1297;21.43;0
roger-espinoza;SKC;32;32;2825;1333;1608;82.9;53;0;4;9;0.29;172;1161;16;0
luciano-acosta;DC;33;32;2753;1322;1690;78.2;47;12;8;17;0.56;71;1251;16.67;0
brooks-lennon;RSL;33;32;2850;1315;1562;84.2;35;0;31;5;0.16;110;1205;32.98;0
borek-dockal;PHI;31;30;2397;1303;1620;80.4;74;95;41;18;0.68;95;1208;27.7;0
matt-hedges;DAL;33;33;2925;1300;1532;84.9;4;0;0;0;0;141;1159;0;0
jonathan-dos-santos;LA;23;22;1909;1289;1453;88.7;24;19;11;8;0.38;78;1211;32.35;0
jeff-larentowicz;ATL;34;33;2771;1274;1437;88.7;8;0;1;2;0.06;87;1187;50;0
ebenezer-ofori;NYC;27;21;1895;1247;1370;91;5;0;1;0;0;50;1197;25;0
sacha-kljestan;ORL;30;29;2522;1243;1489;83.5;70;58;23;6;0.21;44;1199;38.33;0
osvaldo-alonso;SEA;25;21;1832;1239;1345;92.1;14;0;2;3;0.15;136;1103;15.38;0
jonathan-mensah;CLB;27;26;2347;1235;1404;88;2;0;0;0;0;68;1167;0;0
rasmus-schuller;MIN;31;29;2547;1227;1476;83.1;22;0;3;4;0.14;89;1138;13.64;0
damir-kreilach;RSL;33;31;2784;1226;1506;81.4;31;0;1;8;0.26;102;1124;11.11;0
miguel-almiron;ATL;32;32;2760;1219;1487;82;63;79;31;14;0.46;69;1150;25.83;0
carlos-gruezo;DAL;31;28;2508;1213;1398;86.8;14;0;2;1;0.04;133;1080;15.38;0
federico-higuain;CLB;30;27;2381;1199;1500;79.9;84;100;45;9;0.34;88;1111;30.82;0
sean-davis;RBNY;32;30;2579;1198;1501;79.8;39;93;34;8;0.28;42;1156;31.19;0
marky-delgado;TOR;28;21;1984;1193;1421;84;19;0;6;2;0.09;59;1134;27.27;0
