name;club;games_played;games_started;mins;clean_sheet;goals_against;goalkeeper_saves;accurate_pass;long_ball_percentage;clearances;total_wins;total_losses;total_draws
luis-barraza;DC;0;0;0;0;0;0;0;0;0;0;0;0
adam-beaudry;COL;1;1;90;0;3;3;31.8;7.7;0;0;1;0
david-bingham;CLT;0;0;0;0;0;0;0;0;0;0;0;0
andre-blake;PHI;5;5;450;1;8;10;71.6;31.8;1;3;2;0
isaac-boehmer;VAN;0;0;0;0;0;0;0;0;0;0;0;0
alex-bono;NE;0;0;0;0;0;0;0;0;0;0;0;0
chris-brady;CHI;6;6;540;0;10;19;71.6;35.7;1;3;1;2
sebastian-breza;MTL;0;0;0;0;0;0;0;0;0;0;0;0
roman-burki;STL;3;3;270;3;0;9;67;40.5;0;1;0;2
evan-bush;CLB;1;1;90;1;0;0;92.3;0;0;0;0;1
rafael-cabral;RSL;6;6;540;1;11;22;78.9;43.9;1;2;4;0
drake-callender;MIA;1;0;4;1;0;1;28.6;33.3;0;1;0;0
antonio-carrera;DAL;0;0;0;0;0;0;0;0;0;0;0;0
jacob-castro;SEA;0;0;0;0;0;0;0;0;0;0;0;0
austin-causey;RBNY;0;0;0;0;0;0;0;0;0;0;0;0
roman-celentano-x4766;CIN;6;6;540;2;9;19;74;32.5;1;3;2;1
stefan-cleveland;ATX;0;0;0;0;0;0;0;0;0;0;0;0
josh-cohen;ATL;0;0;0;0;0;0;0;0;0;0;0;0
michael-collodi;DAL;1;1;90;1;0;3;68.6;37.5;1;1;0;0
carlos-miguel-coronel;RBNY;5;5;450;2;5;19;57.5;20.4;5;1;2;2
maxime-crepeau;POR;1;1;90;0;4;6;57.8;31.3;0;0;1;0
pedro-cruz;HOU;0;0;0;0;0;0;0;0;0;0;0;0
daniel;SJ;6;6;540;1;9;28;67.6;26.8;2;2;3;1
carlos-joaquim-antunes-dos-santos;SD;6;6;540;2;6;17;89;33.3;2;3;1;2
earl-edwards-jr;SJ;0;0;0;0;0;0;0;0;0;0;0;0
jordan-farr;DC;0;0;0;0;0;0;0;0;0;0;0;0
matt-freese;NYC;6;6;540;1;9;19;76.9;33.3;0;2;2;2
stefan-frei;SEA;5;5;450;1;6;11;73.7;31.3;2;0;2;3
jeffrey-gal;CHI;0;0;0;0;0;0;0;0;0;0;0;0
pedro-gallese;ORL;5;5;450;0;11;14;67.4;42.9;2;2;2;1
luka-gavran;TOR;0;0;0;0;0;0;0;0;0;0;0;0
blake-gillingham;HOU;2;1;113;1;3;7;53.7;30.8;1;0;1;1
brad-guzan;ATL;6;6;540;1;11;21;69.5;31.6;0;2;2;2
nicolas-defreitas-hansen;COL;0;0;0;0;0;0;0;0;0;0;0;0
thomas-hasal;LAFC;1;1;90;0;5;5;69.2;28.6;2;0;1;0
jayden-hibbert;ATL;0;0;0;0;0;0;0;0;0;0;0;0
aljaz-ivacic;NE;5;5;450;1;6;18;67.5;25;0;1;3;1
sean-johnson;TOR;6;6;540;1;12;17;68.3;16.2;4;0;4;2
kim-joon-hong;DC;6;6;540;1;11;17;62.9;38.6;2;1;2;3
kristijan-kahlina;CLT;6;6;540;2;6;27;77.7;41.5;1;3;2;1
stanislav-lapkes;CLB;0;0;0;0;0;0;0;0;0;0;0;0
hugo-lloris;LAFC;5;5;450;3;4;12;69.8;48;2;3;2;0
evan-louro;CIN;0;0;0;0;0;0;0;0;0;0;0;0
ben-lundt;STL;3;3;270;1;2;9;67.4;21.1;0;1;2;0
jt-marcinkowski;LA;0;0;0;0;0;0;0;0;0;0;0;0
anthony-marcucci;RBNY;1;1;90;0;1;1;51.9;30.8;0;1;0;0
jimmy-maurer;HOU;2;1;120;1;1;5;61.5;45;0;0;1;1
john-mccarthy;LA;3;3;270;0;5;13;52.2;26.9;0;0;1;2
jose-carlos-mercado;ORL;0;0;0;0;0;0;0;0;0;0;0;0
novak-micovic;LA;3;3;270;0;7;8;75.6;24.1;0;0;3;0
trey-muse;POR;0;0;0;0;0;0;0;0;0;0;0;0
david-ochoa;LAFC;0;0;0;0;0;0;0;0;0;0;0;0
christian-olivares;STL;0;0;0;0;0;0;0;0;0;0;0;0
javier-otero;ORL;1;1;90;0;1;4;76.5;33.3;0;1;0;0
maarten-paes;DAL;5;5;450;0;9;17;69.1;49.1;2;2;2;1
james-pantemis;POR;5;5;450;2;4;18;80.9;41.9;2;3;1;1
;CLB;0;0;0;0;0;0;0;0;0;0;0;0
john-pulskamp;SKC;6;6;540;0;12;12;56.7;15.8;1;0;5;1
alex-rando;NYC;0;0;0;0;0;0;0;0;0;0;0;0
greg-ranjitsingh;NYC;0;0;0;0;0;0;0;0;0;0;0;0
andrew-rick;PHI;1;1;90;1;0;1;61.1;66.7;0;1;0;0
rocco-rios-novo;MIA;2;1;139;1;1;3;78.3;50;0;2;0;0
