name;club;games_played;games_started;mins;clean_sheet;goals_against;goalkeeper_saves;accurate_pass;long_ball_percentage;clearances;total_wins;total_losses;total_draws
javier-barragan;CHV;0;0;0;0;0;0;0;0;0;4;15;2
clint-baumstark;RBNY;0;0;0;0;0;0;0;0;0;0;0;0
clint-baumstark;CLB;0;0;0;0;0;0;0;0;0;0;0;0
clint-baumstark;CHI;0;0;0;0;0;0;0;0;0;0;0;0
clint-baumstark;RSL;0;0;0;0;0;0;0;0;0;2;2;2
jon-busch;CLB;9;9;765;3;14;34;0;0;0;3;5;1
joe-cannon;COL;27;27;2399;8;32;100;0;0;0;10;13;4
michael-cardenas;COL;0;0;0;0;0;0;0;0;0;0;0;0
michael-cardenas;CLB;0;0;0;0;0;0;0;0;0;0;1;2
jeff-cassar;DAL;4;4;333;0;7;13;0;0;0;10;7;6
jon-conway;SJ;0;0;0;0;0;0;0;0;0;18;4;10
bouna-coundoul;COL;0;0;0;0;0;0;0;0;0;3;0;2
d-j-countess;RSL;27;27;2422;4;54;112;0;0;0;4;22;5
steve-cronin;LA;1;1;90;0;2;3;0;0;0;12;13;6
byron-foss;COL;6;5;481;2;5;21;0;0;0;13;12;6
robby-fulton;SJ;0;0;0;0;0;0;0;0;0;0;0;0
sergio-garcia;CHV;5;5;441;1;8;19;0;0;0;1;4;3
scott-garlick;DAL;28;27;2457;6;37;98;0;0;0;13;10;8
bill-gaudette;CLB;6;5;495;1;10;21;0;0;0;4;9;3
chris-gomez;DAL;0;0;0;0;0;0;0;0;0;2;2;2
brad-guzan;CHV;24;23;2079;2;46;104;0;0;0;3;21;5
kevin-hartman;LA;31;31;2790;6;43;94;0;0;0;13;13;6
william-hesmer;SKC;0;0;0;0;0;0;0;0;0;9;9;12
martin-hutton;SKC;0;0;0;0;0;0;0;0;0;2;0;0
matt-jordan;CLB;2;2;180;0;3;13;0;0;0;7;7;2
shaun-kalnasy;CHV;0;0;0;0;0;0;0;0;0;0;0;0
david-mahoney;CHI;3;3;270;1;4;7;0;0;0;13;8;3
tony-meola;RBNY;15;15;1350;2;28;83;0;0;0;7;5;6
jay-nolly;RSL;5;5;450;0;11;34;0;0;0;5;22;5
pat-onstad;SJ;32;32;2880;12;31;105;0;0;0;18;4;10
bo-oshoniyi;SKC;32;32;2880;7;44;112;0;0;0;11;9;12
noah-palmer;RSL;0;0;0;0;0;0;0;0;0;0;0;0
troy-perkins;DC;2;2;180;0;2;5;0;0;0;16;10;6
matt-pickens;CHI;5;3;300;0;4;10;0;0;0;4;5;1
matt-reis;NE;31;31;2784;10;35;115;0;0;0;16;7;8
nick-rimando;DC;30;30;2700;11;35;92;0;0;0;16;10;6
dario-sala;DAL;1;1;90;1;0;2;0;0;0;1;1;2
josh-saunders;LA;0;0;0;0;0;0;0;0;0;1;0;0
kyle-singer;NE;0;0;0;0;0;0;0;0;0;0;0;0
andrew-terris;CLB;0;0;0;0;0;0;0;0;0;0;0;0
andrew-terris;DC;0;0;0;0;0;0;0;0;0;1;2;0
zach-thornton;CHI;27;26;2310;6;42;82;0;0;0;12;12;3
t-j-tomasso;NE;0;0;0;0;0;0;0;0;0;1;0;0
michael-ueltschey;RBNY;0;0;0;0;0;0;0;0;0;1;2;1
jonny-walker;RBNY;0;0;0;0;0;0;0;0;0;0;0;0
jonny-walker;CLB;16;16;1440;5;18;66;0;0;0;11;10;5
doug-warren;NE;2;1;96;0;2;4;0;0;0;17;7;8
andrew-weber;DC;0;0;0;0;0;0;0;0;0;1;1;0
zach-wells;RBNY;17;17;1530;4;21;69;0;0;0;12;9;11
martin-zuniga;CHV;4;4;360;0;13;18;0;0;0;0;4;2
dan-kennedy;RBNY;0;0;0;0;0;0;0;0;0;0;0;1
