name;club;games_played;games_started;mins;clean_sheet;goals_against;goalkeeper_saves;accurate_pass;long_ball_percentage;clearances;total_wins;total_losses;total_draws
max-anchor;VAN;0;0;0;0;0;0;0;0;0;0;0;0
luis-barraza;NYC;24;24;2160;4;31;62;79.6;37.5;16;5;9;10
gavin-beavers;RSL;7;6;585;0;14;13;67.1;42.4;5;2;3;2
joe-bendik;PHI;8;7;687;1;13;15;58.2;42;3;3;4;1
matt-bersano;ATX;0;0;0;0;0;0;0;0;0;0;0;0
ryan-bilichuk;POR;0;0;0;0;0;0;0;0;0;0;0;0
david-bingham;POR;19;19;1709;5;29;49;63.9;41.1;28;8;6;5
andre-blake;PHI;27;27;2373;8;28;73;64.7;40.6;17;13;5;9
isaac-boehmer;VAN;0;0;0;0;0;0;0;0;0;0;0;0
jonathan-bond;LA;24;24;2049;4;46;80;80.3;44;31;6;8;10
alex-bono;DC;10;9;855;5;11;29;67.2;43.4;6;3;3;4
chris-brady;CHI;30;30;2640;8;44;94;60.5;36.1;33;10;11;9
roman-burki;STL;33;33;2970;8;42;123;57.3;34.3;42;17;11;5
evan-bush;CLB;0;0;0;0;0;0;0;0;0;0;0;0
drake-callender;MIA;33;33;2970;5;53;122;66.8;36.2;28;9;17;7
nicola-campuzano;NE;0;0;0;0;0;0;0;0;0;0;0;0
antonio-carrera;DAL;0;0;0;0;0;0;0;0;0;0;0;0
jacob-castro;SEA;0;0;0;0;0;0;0;0;0;0;0;0
roman-celentano-x4766;CIN;33;33;2970;12;37;87;62.9;38.4;31;20;4;9
aaron-cervantes;LA;0;0;0;0;0;0;0;0;0;0;0;0
steve-clark;HOU;33;33;2970;12;38;85;76.7;44.4;25;14;11;8
stefan-cleveland;SEA;2;2;180;0;4;4;86.8;54.5;1;1;1;0
carlos-miguel-coronel;RBNY;34;34;3060;9;39;56;45.3;30.1;33;11;13;10
michael-creek;STL;0;0;0;0;0;0;0;0;0;0;0;0
maxime-crepeau;LAFC;7;7;630;2;7;12;73.9;36.6;4;3;1;3
adisa-de-rosario;TOR;0;0;0;0;0;0;0;0;0;0;0;0
daniel;SJ;22;22;1946;5;28;84;73.3;41.4;18;5;6;11
eric-dick;MIN;0;0;0;0;0;0;0;0;0;0;0;0
clement-diop;ATL;2;1;135;0;4;3;87.8;64.3;0;1;1;0
carlos-joaquim-antunes-dos-santos;MIA;1;1;90;0;1;3;68;25;2;0;1;0
earl-edwards-jr;NE;10;10;900;1;15;30;65.7;42.2;6;3;4;3
fred-emmings;MIN;0;0;0;0;0;0;0;0;0;0;0;0
matt-freese;NYC;10;10;900;5;8;29;71;33.1;2;4;2;4
stefan-frei;SEA;32;32;2880;14;28;77;63.4;37.9;16;13;8;11
jeffrey-gal;CHI;0;0;0;0;0;0;0;0;0;0;0;0
pedro-gallese;ORL;30;30;2700;10;33;79;69.2;38.5;22;16;6;8
justin-garces;ATL;0;0;0;0;0;0;0;0;0;0;0;0
luka-gavran;TOR;4;4;360;0;12;20;52.5;22.2;2;0;4;0
tomas-gomez;RSL;0;0;0;0;0;0;0;0;0;0;0;0
adam-grinwis;ORL;0;0;0;0;0;0;0;0;0;0;0;0
brad-guzan;ATL;27;27;2430;7;39;61;75.9;51.6;15;11;6;10
thomas-hasal;VAN;1;1;90;0;3;5;73.5;30.8;0;0;1;0
marko-ilic;COL;13;13;1170;2;28;41;66.9;42.9;13;2;8;3
clint-irwin;MIN;4;4;360;0;8;14;74;51.9;7;1;1;2
aljaz-ivacic;POR;15;15;1350;2;29;56;48.2;32;14;3;7;5
jacob-jackson;NE;2;2;180;0;4;9;70.6;42.3;1;1;1;0
eldin-jakupovic;LAFC;2;2;180;1;1;6;63.9;35;0;1;0;1
cole-jensen;MIA;0;0;0;0;0;0;0;0;0;0;0;0
