name;club;games_played;games_started;mins;clean_sheet;goals_against;goalkeeper_saves;accurate_pass;long_ball_percentage;clearances;total_wins;total_losses;total_draws
danny-cepero;RBNY;2;2;180;0;6;5;0;0;0;2;5;2
charles-alamo;LA;0;0;0;0;0;0;0;0;0;0;0;0
dan-benton;SJ;0;0;0;0;0;0;0;0;0;1;4;2
terry-boss;RBNY;0;0;0;0;0;0;0;0;0;1;1;0
preston-burpo;COL;13;13;1170;3;24;37;0;0;0;0;0;0
preston-burpo;SJ;0;0;0;0;0;0;0;0;0;8;15;6
ray-burse;DAL;2;2;180;0;4;12;0;0;0;5;7;10
jon-busch;CHI;30;30;2700;10;33;122;0;0;0;13;10;7
tony-caig;HOU;7;6;602;3;8;24;0;0;0;13;5;10
joe-cannon;SJ;30;30;2700;9;38;124;0;0;0;8;13;9
jose-carvallo;DC;1;1;90;0;4;2;0;0;0;7;7;1
jon-conway;RBNY;28;28;2520;7;42;98;0;0;0;9;10;9
bouna-coundoul;COL;17;17;1530;5;21;54;0;0;0;9;11;4
louis-crayton;DC;12;12;1080;4;19;43;0;0;0;3;6;3
steve-cronin;LA;22;22;1935;2;44;92;0;0;0;6;9;8
brian-edwards;TOR;6;6;540;2;8;23;0;0;0;9;13;8
mike-graczyk;COL;0;0;0;0;0;0;0;0;0;0;0;0
mike-graczyk;DAL;0;0;0;0;0;0;0;0;0;1;2;0
andy-gruenebaum;CLB;1;1;90;0;3;2;0;0;0;15;6;5
michael-gustavson;SJ;0;0;0;0;0;0;0;0;0;5;2;3
brad-guzan;CHV;15;15;1350;4;20;48;0;0;0;6;5;4
kevin-hartman;SKC;30;30;2700;10;39;117;0;0;0;11;10;9
william-hesmer;CLB;29;29;2610;10;33;97;0;0;0;17;7;6
vito-higgins;LA;0;0;0;0;0;0;0;0;0;1;2;2
justin-hughes;COL;0;0;0;0;0;0;0;0;0;1;0;0
andrew-kartunen;SKC;0;0;0;0;0;0;0;0;0;0;0;0
dan-kennedy;CHV;9;8;699;3;8;23;0;0;0;11;10;6
tyler-kettering;CHI;0;0;0;0;0;0;0;0;0;0;0;0
brad-knighton;NE;0;0;0;0;0;0;0;0;0;1;4;3
eric-kronberg;SKC;0;0;0;0;0;0;0;0;0;11;10;9
josh-lambo;DAL;0;0;0;0;0;0;0;0;0;0;0;2
david-monsalve;DAL;0;0;0;0;0;0;0;0;0;0;0;0
nick-noble;CHI;0;0;0;0;0;0;0;0;0;13;10;7
pat-onstad;HOU;24;24;2098;7;24;76;0;0;0;10;4;10
boris-pardo;SKC;0;0;0;0;0;0;0;0;0;0;0;0
lance-parker;CHV;0;0;0;0;0;0;0;0;0;5;4;1
;RBNY;0;0;0;0;0;0;0;0;0;2;2;1
matt-reis;NE;28;28;2485;6;38;107;0;0;0;11;11;7
kyle-reynish;RSL;0;0;0;0;0;0;0;0;0;3;1;1
nick-rimando;RSL;30;30;2700;8;39;96;0;0;0;10;10;10
dario-sala;DAL;28;28;2520;7;37;92;0;0;0;8;8;12
josh-saunders;LA;3;3;270;0;6;8;0;0;0;2;4;0
kenny-schoeni;CLB;0;0;0;0;0;0;0;0;0;2;1;1
chris-seitz;RSL;0;0;0;0;0;0;0;0;0;7;9;9
chris-sharpe;COL;0;0;0;0;0;0;0;0;0;2;1;1
greg-sutton;TOR;24;24;2160;6;35;116;0;0;0;7;12;8
zach-thornton;CHV;8;7;651;1;13;16;0;0;0;7;7;9
zach-thornton;RBNY;0;0;0;0;0;0;0;0;0;0;0;0
james-thorpe;DC;0;0;0;0;0;0;0;0;0;2;4;1
corbin-waller;HOU;0;0;0;0;0;0;0;0;0;3;1;4
doug-warren;NE;3;2;215;0;5;5;0;0;0;12;7;5
zach-wells;DC;17;17;1530;1;28;56;0;0;0;10;13;3
josh-wicks;LA;6;5;495;0;12;20;0;0;0;7;11;7
;LA;0;0;0;0;0;0;0;0;0;0;0;0
;CHV;0;0;0;0;0;0;0;0;0;0;0;0
terry-boss;SEA;0;0;0;0;0;0;0;0;0;0;0;0
