name;club;games_played;games_started;mins;clean_sheet;goals_against;goalkeeper_saves;accurate_pass;long_ball_percentage;clearances;total_wins;total_losses;total_draws
ben-alexander;VAN;0;0;0;0;0;0;0;0;0;0;0;0
max-anchor;VAN;1;1;90;0;2;4;58.3;37.5;2;0;1;0
luis-barraza;NYC;0;0;0;0;0;0;0;0;0;0;0;0
gavin-beavers;RSL;0;0;0;0;0;0;0;0;0;0;0;0
joe-bendik;PHI;0;0;0;0;0;0;0;0;0;0;0;0
matt-bersano;SJ;2;1;135;0;3;6;86.8;61.5;1;0;1;1
david-bingham;POR;2;2;180;0;3;10;38.5;23.5;2;0;0;2
andre-blake;PHI;34;34;3060;15;26;100;60.7;38.7;17;19;5;10
isaac-boehmer;VAN;3;2;225;0;4;8;56.1;44.4;1;0;1;2
jonathan-bond;LA;34;34;3060;7;51;91;74.5;42.5;27;14;12;8
alex-bono;TOR;24;24;2160;3;42;86;60.5;28.3;11;7;11;6
chris-brady;CHI;1;1;90;0;1;4;54.8;27.8;0;0;0;1
sebastian-breza;MTL;23;23;2070;3;38;51;76.6;45.4;26;13;8;2
evan-bush;CLB;0;0;0;0;0;0;0;0;0;0;0;0
drake-callender;MIA;24;24;2160;4;37;79;66.1;37.6;10;11;8;5
antonio-carrera;DAL;0;0;0;0;0;0;0;0;0;0;0;0
dylan-castanheira;ATL;0;0;0;0;0;0;0;0;0;0;0;0
roman-celentano-x4766;CIN;27;27;2430;5;42;85;52.5;35.3;20;10;5;12
steve-clark;HOU;33;33;2906;6;48;105;75.8;44.3;25;10;17;6
stefan-cleveland;SEA;7;7;630;1;8;28;72.7;37.8;4;1;4;2
carlos-miguel-coronel;RBNY;33;33;2970;8;39;73;47.7;29.5;33;15;10;8
maxime-crepeau;LAFC;33;33;2970;9;36;76;66.8;41;19;21;8;4
cody-cropper;VAN;15;14;1235;4;24;28;63;41.1;8;7;4;4
jeffrey-dewsnup;RSL;0;0;0;0;0;0;0;0;0;0;0;0
eric-dick;MIN;0;0;0;0;0;0;0;0;0;0;0;0
clement-diop;MIA;3;3;270;1;7;4;63.4;31.7;1;0;2;1
clement-diop;NE;0;0;0;0;0;0;0;0;0;0;0;0
carlos-joaquim-antunes-dos-santos;MIA;0;0;0;0;0;0;0;0;0;0;0;0
earl-edwards-jr;NE;4;4;360;1;8;9;56.3;37.8;1;1;2;1
fred-emmings;MIN;0;0;0;0;0;0;0;0;0;0;0;0
matt-freese;PHI;0;0;0;0;0;0;0;0;0;0;0;0
stefan-frei;SEA;27;27;2430;5;38;85;74;50.4;17;11;13;3
pedro-gallese;ORL;32;32;2880;9;47;79;75.2;47;18;14;13;5
justin-garces;ATL;0;0;0;0;0;0;0;0;0;0;0;0
luka-gavran;TOR;0;0;0;0;0;0;0;0;0;0;0;0
nikolaos-giantsopoulos;VAN;0;0;0;0;0;0;0;0;0;0;0;0
tomas-gomez;RSL;0;0;0;0;0;0;0;0;0;0;0;0
adam-grinwis;ORL;0;0;0;0;0;0;0;0;0;0;0;0
raul-gudino;ATL;6;6;495;2;7;7;77.4;50.7;2;2;3;1
brad-guzan;ATL;7;7;613;1;9;14;78.2;55.4;5;3;2;2
bill-hamid;DC;10;10;859;2;16;35;69.2;43.1;6;3;5;2
thomas-hasal;VAN;17;17;1510;4;27;49;53;35.3;19;6;9;2
clint-irwin;COL;0;0;0;0;0;0;0;0;0;0;0;0
aljaz-ivacic;POR;32;32;2880;6;50;112;59.2;33.6;32;11;10;11
jacob-jackson;NE;0;0;0;0;0;0;0;0;0;0;0;0
