name;club;games_played;games_started;mins;clean_sheet;goals_against;goalkeeper_saves;accurate_pass;long_ball_percentage;clearances;total_wins;total_losses;total_draws
jeff-attinella;POR;1;1;90;0;3;4;77.8;57.1;1;0;1;0
carlos-avilez;DAL;0;0;0;0;0;0;0;0;0;0;0;0
luis-barraza;NYC;0;0;0;0;0;0;0;0;0;0;0;0
joe-bendik;PHI;2;1;91;0;2;1;40;28.6;2;1;1;0
matt-bersano;SJ;0;0;0;0;0;0;0;0;0;0;0;0
david-bingham;LA;18;18;1620;3;35;52;56.1;41.2;16;5;9;4
andre-blake;PHI;21;21;1889;8;18;63;52.9;37.6;22;13;3;5
isaac-boehmer;VAN;0;0;0;0;0;0;0;0;0;0;0;0
alex-bono;TOR;3;3;270;3;0;16;50.5;32.4;7;2;0;1
chris-brady;CHI;0;0;0;0;0;0;0;0;0;0;0;0
evan-bush;VAN;8;8;720;1;10;22;73.2;50;7;4;4;0
evan-bush;MTL;0;0;0;0;0;0;0;0;0;0;0;0
jeff-caldwell;NE;0;0;0;0;0;0;0;0;0;0;0;0
drake-callender;MIA;0;0;0;0;0;0;0;0;0;0;0;0
steve-clark;POR;20;20;1800;5;29;64;69.3;44.4;19;10;4;6
stefan-cleveland;SEA;0;0;0;0;0;0;0;0;0;0;0;0
cj-cochran;NSH;0;0;0;0;0;0;0;0;0;0;0;0
maxime-crepeau;VAN;4;4;328;1;10;13;71.5;48.4;4;1;3;0
cody-cropper;HOU;0;0;0;0;0;0;0;0;0;0;0;0
clement-diop;MTL;20;20;1800;3;36;75;74.5;40.3;14;7;11;2
bobby-edwards;CIN;2;2;180;0;3;3;46;40.6;3;1;1;0
earl-edwards-jr;DC;0;0;0;0;0;0;0;0;0;0;0;0
phillip-ejimadu;LAFC;0;0;0;0;0;0;0;0;0;0;0;0
fred-emmings;MIN;0;0;0;0;0;0;0;0;0;0;0;0
matt-freese;PHI;1;1;90;1;0;1;30.4;30.4;0;1;0;0
stefan-frei;SEA;22;22;1980;6;23;60;80;53.3;16;11;5;6
pedro-gallese;ORL;19;19;1710;3;20;53;72.3;46;13;11;3;5
jesse-gonzalez;DAL;2;2;180;1;2;3;78;37.5;2;1;0;1
adam-grinwis;ORL;0;0;0;0;0;0;0;0;0;0;0;0
brad-guzan;ATL;23;23;2070;6;30;59;77.3;54.6;14;6;13;4
bill-hamid;DC;17;17;1530;2;32;55;66.8;39.4;10;3;10;4
thomas-hasal;VAN;9;8;752;1;14;35;66.7;45.8;11;4;5;0
clint-irwin;COL;4;4;360;0;8;14;64.3;41.4;3;2;2;0
aljaz-ivacic;POR;2;2;180;0;3;5;60.9;30.6;2;1;1;0
david-jensen;RBNY;11;10;928;1;15;25;41.7;31.3;13;5;5;1
sean-johnson;NYC;23;23;2070;7;25;81;72.4;36.7;10;12;8;3
alec-kann;ATL;0;0;0;0;0;0;0;0;0;0;0;0
jon-kempin;CLB;0;0;0;0;0;0;0;0;0;0;0;0
jonathan-klinsmann;LA;4;4;360;1;11;18;45;34.3;1;1;3;0
brad-knighton;NE;1;1;90;0;1;5;59.3;45;0;0;0;1
kenneth-kronholm;CHI;5;5;450;0;8;7;81.1;57.1;4;1;3;1
matt-lampson;CLB;0;0;0;0;0;0;0;0;0;0;0;0
luca-lewis;RBNY;0;0;0;0;0;0;0;0;0;0;0;0
eric-lopez;LA;0;0;0;0;0;0;0;0;0;0;0;0
ben-lundgaard;ATL;0;0;0;0;0;0;0;0;0;0;0;0
