name;club;games_played;games_started;mins;clean_sheet;goals_against;goalkeeper_saves;accurate_pass;long_ball_percentage;clearances;total_wins;total_losses;total_draws
john-alvbage;MIN;3;2;221;0;10;5;50;34.3;3;0;2;1
jeff-attinella;POR;14;13;1242;4;20;45;56.5;41.9;12;7;5;2
jorge-rodrigo-bava;CHI;8;8;720;3;12;20;59.3;39.4;10;3;3;2
joe-bendik;ORL;33;33;2970;7;52;118;55.8;36.1;21;10;14;9
john-berner;COL;0;0;0;0;0;0;0;0;0;0;0;0
matt-bersano;SJ;0;0;0;0;0;0;0;0;0;0;0;0
david-bingham;SJ;23;23;2070;7;35;58;52.6;33;16;9;9;5
andre-blake;PHI;26;26;2340;9;34;88;55.2;43.1;32;9;10;7
alex-bono;TOR;29;28;2570;10;32;73;49.8;34.8;18;19;4;6
calle-brown;HOU;0;0;0;0;0;0;0;0;0;0;0;0
evan-bush;MTL;31;31;2790;5;50;87;65;39;34;11;14;6
steve-clark;DC;5;5;450;1;11;13;53.2;36.3;5;1;3;1
stefan-cleveland;CHI;0;0;0;0;0;0;0;0;0;0;0;0
eduardo-cortes;DAL;0;0;0;0;0;0;0;0;0;0;0;0
maxime-crepeau;MTL;3;3;270;0;8;10;64.7;33.3;1;0;3;0
cody-cropper;NE;28;28;2520;8;50;72;53;36.7;20;10;14;4
tyler-deric;HOU;26;26;2340;6;31;79;37.1;29;24;10;6;10
rafael-diaz;RBNY;0;0;0;0;0;0;0;0;0;0;0;0
clement-diop;LA;15;15;1331;2;31;54;52.2;37.1;12;4;8;3
andrew-dykstra;SKC;4;3;301;1;5;10;63.9;39.5;2;0;2;2
earl-edwards-jr;ORL;1;1;90;0;6;1;81.3;62.5;0;0;1;0
;ORL;0;0;0;0;0;0;0;0;0;0;0;0
lalo-fernandez;RSL;0;0;0;0;0;0;0;0;0;0;0;0
stefan-frei;SEA;33;33;2970;13;36;85;64.3;42.8;19;13;9;11
jake-gleeson;POR;21;21;1818;3;30;55;60;40.1;14;8;7;6
jesse-gonzalez;DAL;29;29;2610;9;40;75;66.5;40.5;22;8;8;13
brad-guzan;ATL;14;14;1260;8;10;38;74.3;47.8;11;6;1;7
bill-hamid;DC;24;24;2160;6;35;98;49.1;33.4;16;8;12;4
;MIN;0;0;0;0;0;0;0;0;0;0;0;0
tim-howard;COL;25;25;2250;5;39;84;63.3;39.7;5;7;14;4
