name;club;games_played;games_started;mins;clean_sheet;goals_against;goalkeeper_saves;accurate_pass;long_ball_percentage;clearances;total_wins;total_losses;total_draws
mike-ammann;SKC;4;3;291;0;8;12;0;0;0;2;2;0
scott-budnick;TB;4;4;360;1;4;18;0;0;0;3;1;0
jorge-campos;LA;24;24;2160;4;27;100;0;0;0;15;9;0
jeff-cassar;DAL;2;1;104;0;3;6;0;0;0;0;2;0
jeff-causey;DC;19;18;1620;0;35;70;0;0;0;9;10;0
mark-dodd;DAL;31;31;2776;6;45;160;0;0;0;17;14;0
mark-dougherty;TB;28;28;2520;3;47;123;0;0;0;17;11;0
brad-friedel;CLB;9;9;810;4;7;46;0;0;0;8;1;0
pat-harrington;SKC;8;7;630;0;17;17;0;0;0;0;0;0
pat-harrington;CLB;4;4;294;1;4;6;0;0;0;6;6;0
aidan-heaney;NE;19;18;1534;4;29;93;0;0;0;9;10;0
dusty-hudock;COL;9;9;810;2;16;34;0;0;0;3;6;0
david-kramer;LA;15;8;855;1;22;52;0;0;0;7;8;0
garth-lagerwey;SKC;23;22;1959;3;38;83;0;0;0;13;10;0
tom-liner;SJ;20;20;1712;4;33;75;0;0;0;7;13;0
tony-meola;RBNY;29;29;2610;9;38;142;0;0;0;14;15;0
mile-miovac;DC;0;0;0;0;0;0;0;0;0;0;0;0
bo-oshoniyi;CLB;13;13;1170;2;33;64;0;0;0;3;10;0
dave-salzwedel;SJ;14;12;1168;4;17;53;0;0;0;8;6;0
mark-simpson;DC;15;14;1260;3;21;46;0;0;0;8;7;0
jim-st-andre;NE;15;14;1346;2;27;57;0;0;0;7;8;0
zach-thornton;RBNY;3;3;270;0;9;8;0;0;0;1;2;0
david-winner;CLB;7;6;606;0;16;22;0;0;0;3;4;0
chris-woods;COL;23;23;2070;2;43;96;0;0;0;8;15;0
