name;club;games_played;games_started;mins;clean_sheet;goals_against;goalkeeper_saves;accurate_pass;long_ball_percentage;clearances;total_wins;total_losses;total_draws
preston-burpo;CHV;3;3;270;1;3;13;0;0;0;15;7;8
ray-burse;DAL;6;6;540;2;6;23;0;0;0;8;10;3
jon-busch;CHI;3;3;270;1;5;15;0;0;0;10;10;10
joe-cannon;LA;29;29;2610;5;46;119;0;0;0;9;14;7
danny-cepero;RBNY;0;0;0;0;0;0;0;0;0;5;5;0
tomer-chencinski;TOR;0;0;0;0;0;0;0;0;0;0;2;0
jon-conway;RBNY;14;12;1143;4;14;57;0;0;0;12;11;7
bouna-coundoul;COL;30;30;2668;9;32;120;0;0;0;9;13;8
steve-cronin;LA;1;1;90;0;2;6;0;0;0;9;14;7
shawn-crowe;DC;0;0;0;0;0;0;0;0;0;0;0;0
srdjan-djekanovic;TOR;8;7;635;2;9;22;0;0;0;6;9;5
lance-friesz;LA;0;0;0;0;0;0;0;0;0;0;0;0
bill-gaudette;CLB;0;0;0;0;0;0;0;0;0;0;3;5
andy-gruenebaum;CLB;10;10;900;3;15;35;0;0;0;9;11;10
brad-guzan;CHV;27;27;2430;13;25;87;0;0;0;14;6;7
kevin-hartman;SKC;30;30;2700;5;45;110;0;0;0;11;12;7
william-hesmer;CLB;20;20;1800;5;29;71;0;0;0;8;7;5
shaka-hislop;DAL;6;6;540;0;9;23;0;0;0;7;5;3
justin-hughes;COL;0;0;0;0;0;0;0;0;0;0;0;0
jordan-james;HOU;0;0;0;0;0;0;0;0;0;2;0;0
brad-knighton;NE;0;0;0;0;0;0;0;0;0;4;2;3
chris-konopka;SKC;0;0;0;0;0;0;0;0;0;0;0;0
eric-kronberg;SKC;0;0;0;0;0;0;0;0;0;11;12;7
david-monsalve;TOR;1;1;90;0;3;7;0;0;0;0;5;1
justin-myers;CHV;0;0;0;0;0;0;0;0;0;0;1;1
nick-noble;CHI;0;0;0;0;0;0;0;0;0;1;1;0
jay-nolly;DC;1;1;90;0;2;7;0;0;0;16;7;7
pat-onstad;HOU;27;27;2418;11;22;85;0;0;0;13;8;6
boris-pardo;DAL;0;0;0;0;0;0;0;0;0;0;0;0
boris-pardo;TOR;0;0;0;0;0;0;0;0;0;1;2;1
troy-perkins;DC;29;29;2610;8;32;117;0;0;0;16;7;7
matt-pickens;CHI;27;27;2430;10;31;102;0;0;0;9;10;10
matt-reis;NE;30;30;2700;10;43;120;0;0;0;14;8;8
kyle-reynish;RSL;0;0;0;0;0;0;0;0;0;1;5;0
sam-reynolds;TOR;2;2;175;0;2;9;0;0;0;1;0;1
nick-rimando;RSL;27;27;2430;7;37;146;0;0;0;6;15;9
dario-sala;DAL;18;18;1620;5;29;64;0;0;0;9;8;4
chris-seitz;RSL;3;3;270;0;8;6;0;0;0;5;10;9
kenny-stamatopoulos;TOR;12;12;1080;2;20;41;0;0;0;1;8;3
greg-sutton;TOR;8;8;720;1;15;36;0;0;0;3;5;1
zach-thornton;COL;1;0;32;0;2;1;0;0;0;9;13;8
doug-warren;NE;0;0;0;0;0;0;0;0;0;10;6;5
ronald-waterreus;RBNY;18;18;1557;5;31;59;0;0;0;7;6;7
zach-wells;HOU;4;3;282;2;1;8;0;0;0;15;8;7
matt-wideman;RSL;0;0;0;0;0;0;0;0;0;0;0;0
