name;club;games_played;games_started;mins;clean_sheet;goals_against;goalkeeper_saves;accurate_pass;long_ball_percentage;clearances;total_wins;total_losses;total_draws
david-allred;TB;0;0;0;0;0;0;0;0;0;0;0;0
mike-ammann;SKC;27;27;2430;5;42;85;0;0;0;11;16;0
bill-andracki;RBNY;0;0;0;0;0;0;0;0;0;0;0;0
bill-andracki;MIA;1;1;90;0;1;5;0;0;0;0;1;0
scott-budnick;MIA;3;3;270;0;8;16;0;0;0;0;3;0
jorge-campos;CHI;9;8;765;0;15;33;0;0;0;4;5;0
joe-cannon;SJ;0;0;0;0;0;0;0;0;0;0;0;0
manuel-carou;RBNY;0;0;0;0;0;0;0;0;0;0;0;0
jeff-cassar;MIA;21;21;1890;2;41;107;0;0;0;12;9;0
jeff-causey;NE;9;6;544;0;11;24;0;0;0;3;6;0
scott-coufal;CHI;1;1;90;0;3;2;0;0;0;0;1;0
randy-dedini;LA;0;0;0;0;0;0;0;0;0;0;0;0
mark-dodd;DAL;25;24;2205;6;42;134;0;0;0;11;14;0
mark-dougherty;CLB;11;11;989;1;21;49;0;0;0;4;7;0
kevin-east;RBNY;0;0;0;0;0;0;0;0;0;0;0;0
ian-feuer;NE;26;26;2336;5;55;112;0;0;0;9;17;0
scott-garlick;DC;25;25;2205;7;35;88;0;0;0;20;5;0
paul-grafer;COL;4;4;360;0;17;20;0;0;0;0;4;0
marcus-hahnemann;COL;28;28;2520;4;52;138;0;0;0;16;12;0
kevin-hartman;LA;29;28;2544;7;39;103;0;0;0;22;7;0
tim-howard;RBNY;1;1;90;0;1;5;0;0;0;1;0;0
dusty-hudock;COL;0;0;0;0;0;0;0;0;0;0;0;0
emmett-idzahl;RBNY;0;0;0;0;0;0;0;0;0;0;0;0
matt-jordan;DAL;1;1;45;0;3;1;0;0;0;0;1;0
andy-kirk;SJ;9;8;755;2;21;34;0;0;0;3;6;0
david-kramer;SJ;24;24;2125;5;39;82;0;0;0;10;14;0
garth-lagerwey;DAL;8;7;630;0;14;28;0;0;0;4;4;0
mike-littman;LA;0;0;0;0;0;0;0;0;0;0;0;0
mike-mcginty;CLB;0;0;0;0;0;0;0;0;0;0;0;0
tony-meola;RBNY;31;31;2790;4;62;164;0;0;0;14;17;0
matt-napoleon;MIA;4;4;360;0;12;32;0;0;0;1;3;0
jeremy-oetman;SJ;0;0;0;0;0;0;0;0;0;0;0;0
doug-petras;TB;12;9;827;1;19;49;0;0;0;5;7;0
reginald-pierre-jerome;MIA;0;0;0;0;0;0;0;0;0;0;0;0
tom-presthus;DC;6;5;495;0;8;19;0;0;0;5;1;0
thomas-ravelli;TB;23;23;2053;2;38;131;0;0;0;7;16;0
matt-reis;LA;5;4;336;0;5;18;0;0;0;4;1;0
kevin-rueda;SJ;0;0;0;0;0;0;0;0;0;0;0;0
kevin-rueda;CHI;0;0;0;0;0;0;0;0;0;0;0;0
kevin-rueda;LA;0;0;0;0;0;0;0;0;0;0;0;0
kevin-rueda;TB;0;0;0;0;0;0;0;0;0;0;0;0
mark-simpson;DC;2;2;180;0;5;3;0;0;0;0;2;0
chris-snitko;SKC;5;5;450;1;8;18;0;0;0;1;4;0
juergen-sommer;CLB;21;21;1890;4;35;106;0;0;0;11;10;0
zach-thornton;CHI;25;23;2076;8;27;85;0;0;0;16;9;0
david-winner;CLB;1;0;1;0;0;0;0;0;0;0;0;0
david-winner;NE;0;0;0;0;0;0;0;0;0;0;0;0
david-winner;CHI;0;0;0;0;0;0;0;0;0;0;0;0
david-winner;MIA;3;3;270;0;6;16;0;0;0;2;2;0
randy-dedini;COL;0;0;0;0;0;0;0;0;0;0;0;0
dusty-hudock;CHI;0;0;0;0;0;0;0;0;0;0;0;0
