name;club;games_played;games_started;mins;clean_sheet;goals_against;goalkeeper_saves;accurate_pass;long_ball_percentage;clearances;total_wins;total_losses;total_draws
jeff-attinella;POR;3;2;170;0;2;4;63.9;50;4;1;2;0
brandon-austin;ORL;5;5;450;1;8;8;73.2;47.9;4;3;2;0
luis-barraza;NYC;5;5;450;2;5;7;72.9;38.5;5;3;2;0
joe-bendik;PHI;3;2;211;0;3;5;45.9;31.9;2;1;1;1
matt-bersano;SJ;0;0;0;0;0;0;0;0;0;0;0;0
jamal-blackman;LAFC;8;8;720;1;13;21;60.7;33.7;10;3;2;3
andre-blake;PHI;26;26;2340;12;24;76;56.1;39.2;12;12;6;8
isaac-boehmer;VAN;0;0;0;0;0;0;0;0;0;0;0;0
jonathan-bond;LA;31;31;2790;4;50;121;81.5;49.9;30;12;11;8
alex-bono;TOR;24;24;2160;2;44;82;55;31.3;16;6;11;7
chris-brady;CHI;0;0;0;0;0;0;0;0;0;0;0;0
sebastian-breza;MTL;8;8;720;2;8;21;80.1;34;5;3;3;2
evan-bush;CLB;4;4;360;1;6;7;72.3;49;2;2;1;1
drake-callender;MIA;0;0;0;0;0;0;0;0;0;0;0;0
dylan-castanheira;MIA;0;0;0;0;0;0;0;0;0;0;0;0
steve-clark;POR;24;24;2098;7;30;88;67.9;42.7;31;13;8;3
stefan-cleveland;SEA;15;15;1350;3;17;29;70.2;39.6;7;6;4;5
carlos-miguel-coronel;RBNY;34;34;3060;13;33;89;49.5;30.3;38;13;12;9
maxime-crepeau;VAN;27;27;2430;6;31;97;62.1;43.7;21;10;7;10
cody-cropper;CIN;1;1;90;0;5;6;64.3;18.2;0;0;1;0
jeffrey-dewsnup;RSL;0;0;0;0;0;0;0;0;0;0;0;0
eric-dick;CLB;0;0;0;0;0;0;0;0;0;0;0;0
clement-diop;MTL;8;8;720;3;9;23;81;47.9;4;2;3;3
earl-edwards-jr;NE;0;0;0;0;0;0;0;0;0;0;0;0
fred-emmings;MIN;0;0;0;0;0;0;0;0;0;0;0;0
matt-freese;PHI;6;6;507;0;8;16;47.8;39;0;1;1;4
stefan-frei;SEA;17;17;1529;4;16;44;71;41.9;14;9;4;4
pedro-gallese;ORL;22;22;1980;7;30;68;74.5;45.6;9;7;6;9
adam-grinwis;ORL;2;2;180;0;5;4;81.6;46.1;2;1;1;0
brad-guzan;ATL;29;29;2610;10;29;98;73.4;49.6;17;13;6;10
bill-hamid;DC;21;21;1817;8;28;60;54.2;35.5;13;10;7;4
thomas-hasal;VAN;7;7;630;1;14;20;72.9;41.4;6;2;2;3
clint-irwin;COL;1;1;90;0;3;3;81.8;33.3;0;0;1;0
aljaz-ivacic;POR;5;4;410;0;12;21;55.3;30.1;4;1;2;2
david-jensen;RBNY;0;0;0;0;0;0;0;0;0;0;0;0
sean-johnson;NYC;29;29;2610;9;31;86;77;45.6;18;11;9;9
alec-kann;ATL;5;5;450;0;8;23;73.4;50;6;0;3;2
jon-kempin;DC;10;9;883;1;17;18;60.5;40.6;11;4;5;1
logan-ketterer;POR;3;3;270;2;3;9;66.7;39;3;2;1;0
jonathan-klinsmann;LA;3;3;270;1;4;8;83.7;48.4;3;1;1;1
brad-knighton;NE;6;6;540;3;6;22;56.9;41;1;5;1;0
kenneth-kronholm;CHI;0;0;0;0;0;0;0;0;0;0;0;0
matt-lampson;CLB;0;0;0;0;0;0;0;0;0;0;0;0
luca-lewis;RBNY;0;0;0;0;0;0;0;0;0;0;0;0
eric-lopez;LA;0;0;0;0;0;0;0;0;0;0;0;0
ben-lundgaard;ATL;0;0;0;0;0;0;0;0;0;0;0;0
ben-lundt;CIN;0;0;0;0;0;0;0;0;0;0;0;0
zac-macmath;RSL;7;7;585;2;6;14;60.5;36.2;14;2;3;2
jt-marcinkowski;SJ;33;33;2970;5;53;129;67.8;46.5;26;10;13;10
anthony-marcucci;RBNY;0;0;0;0;0;0;0;0;0;0;0;0
marko-maric-x2484;HOU;22;22;1980;3;34;68;57.7;29.6;19;3;9;10
nick-marsman;MIA;22;22;1920;5;33;68;77.3;47;21;9;10;3
jimmy-maurer;DAL;24;24;2131;3;37;76;78.7;43.6;16;5;11;8
john-mccarthy;MIA;13;12;1140;2;20;35;64.1;36.1;10;3;8;2
kendall-mcintosh;SKC;0;0;0;0;0;0;0;0;0;0;0;0
ryan-meara;RBNY;0;0;0;0;0;0;0;0;0;0;0;0
