name;club;games_played;games_started;mins;clean_sheet;goals_against;goalkeeper_saves;accurate_pass;long_ball_percentage;clearances;total_wins;total_losses;total_draws
david-allred;TB;0;0;0;0;0;0;0;0;0;0;0;0
mike-ammann;RBNY;24;24;2138;2;51;91;0;0;0;6;18;0
bill-andracki;RBNY;0;0;0;0;0;0;0;0;0;0;0;0
jon-busch;CHI;0;0;0;0;0;0;0;0;0;0;0;0
jon-busch;DC;0;0;0;0;0;0;0;0;0;0;0;0
jon-busch;TB;0;0;0;0;0;0;0;0;0;0;0;0
joe-cannon;SJ;24;24;2160;4;32;96;0;0;0;14;10;0
jeff-cassar;MIA;15;15;1304;3;25;45;0;0;0;5;10;0
jeff-causey;NE;16;7;755;1;8;32;0;0;0;7;9;0
randy-dedini;SKC;0;0;0;0;0;0;0;0;0;0;0;0
randy-dedini;COL;0;0;0;0;0;0;0;0;0;0;0;0
cesar-delgado;SKC;1;1;90;0;4;4;0;0;0;0;1;0
mark-dodd;DAL;6;3;296;1;4;18;0;0;0;3;3;0
mark-dougherty;CLB;31;31;2745;6;35;106;0;0;0;19;12;0
kevin-east;RBNY;0;0;0;0;0;0;0;0;0;0;0;0
ian-feuer;COL;19;19;1696;8;23;70;0;0;0;10;9;0
scott-garlick;TB;28;28;2471;5;36;152;0;0;0;14;14;0
marcus-hahnemann;COL;13;13;1170;4;14;68;0;0;0;10;3;0
kevin-hartman;LA;32;32;2870;11;29;118;0;0;0;20;12;0
tim-howard;RBNY;9;8;742;0;13;37;0;0;0;1;8;0
dusty-hudock;MIA;3;3;270;0;7;12;0;0;0;1;2;0
kori-hunter;RBNY;0;0;0;0;0;0;0;0;0;0;0;0
matt-jordan;DAL;29;29;2584;11;31;133;0;0;0;17;12;0
kurt-kelley;RBNY;0;0;0;0;0;0;0;0;0;0;0;0
andy-kirk;TB;6;4;409;0;14;18;0;0;0;0;6;0
david-kramer;SJ;8;8;720;0;17;35;0;0;0;5;3;0
garth-lagerwey;MIA;16;14;1306;3;27;77;0;0;0;8;8;0
anthony-latronica;NE;0;0;0;0;0;0;0;0;0;0;0;0
anthony-latronica;SJ;0;0;0;0;0;0;0;0;0;0;0;0
mike-littman;LA;0;0;0;0;0;0;0;0;0;0;0;0
bill-may;LA;0;0;0;0;0;0;0;0;0;0;0;0
steve-mcanulty;RBNY;0;0;0;0;0;0;0;0;0;0;0;0
mike-mcginty;CLB;0;0;0;0;0;0;0;0;0;0;0;0
mike-mcginty;CHI;0;0;0;0;0;0;0;0;0;0;0;0
tony-meola;SKC;9;9;765;3;10;36;0;0;0;1;8;0
johnny-morton;COL;0;0;0;0;0;0;0;0;0;0;0;0
matt-napoleon;CLB;2;1;135;0;4;5;0;0;0;1;1;0
matt-nyman;TB;0;0;0;0;0;0;0;0;0;0;0;0
russell-payne;COL;1;0;14;0;2;0;0;0;0;0;0;0
russell-payne;DC;0;0;0;0;0;0;0;0;0;0;1;0
miguel-pineda;DAL;0;0;0;0;0;0;0;0;0;0;0;0
tom-presthus;DC;26;26;2227;3;34;88;0;0;0;18;8;0
matt-reis;LA;1;0;10;0;0;1;0;0;0;1;0;0
mark-simpson;DC;9;6;653;1;9;37;0;0;0;8;1;0
chris-snitko;SKC;16;15;1395;2;26;66;0;0;0;4;12;0
juergen-sommer;CLB;0;0;0;0;0;0;0;0;0;0;0;0
greg-sutton;CHI;3;2;247;0;4;14;0;0;0;1;2;0
zach-thornton;CHI;30;30;2633;7;32;99;0;0;0;18;12;0
scott-vallow;DAL;0;0;0;0;0;0;0;0;0;0;0;0
jim-welch;NE;0;0;0;0;0;0;0;0;0;0;0;0
jim-welch;LA;0;0;0;0;0;0;0;0;0;0;0;0
jim-welch;MIA;0;0;0;0;0;0;0;0;0;0;0;0
david-winner;SKC;8;7;631;0;13;27;0;0;0;0;0;0
j-j-wozniak;SJ;0;0;0;0;0;0;0;0;0;0;0;0
walter-zenga;NE;25;25;2125;2;45;87;0;0;0;9;16;0
david-winner;LA;0;0;0;0;0;0;0;0;0;3;5;0
