name;club;games_played;games_started;mins;clean_sheet;goals_against;goalkeeper_saves;accurate_pass;long_ball_percentage;clearances;total_wins;total_losses;total_draws
ethan-bandre;COL;0;0;0;0;0;0;0;0;0;0;0;0
luis-barraza;NYC;1;0;78;0;4;1;90;66.7;0;0;1;0
adam-beaudry;COL;1;1;90;0;3;2;57.9;28.6;1;0;1;0
gavin-beavers;RSL;11;11;990;3;20;38;71.8;21.8;6;6;3;2
joe-bendik;VAN;0;0;0;0;0;0;0;0;0;0;0;0
matt-bersano;ATX;0;0;0;0;0;0;0;0;0;0;0;0
david-bingham;CLT;0;0;0;0;0;0;0;0;0;0;0;0
andre-blake;PHI;13;13;1108;5;14;40;70.5;38.3;1;5;5;3
isaac-boehmer;VAN;1;1;90;0;2;5;45.5;11.1;0;0;1;0
alex-bono;DC;29;29;2610;2;55;82;59.6;44.6;4;10;10;9
chris-brady;CHI;33;33;2970;4;61;107;65.7;27.7;10;7;18;8
sebastian-breza;MTL;1;1;90;0;2;8;37.1;10;0;0;0;1
roman-burki;STL;32;32;2822;7;55;109;69.4;43.7;11;8;11;13
evan-bush;CLB;2;2;125;1;2;6;77.5;57.1;0;0;1;1
drake-callender;MIA;32;32;2880;5;45;104;78.7;36.1;9;21;3;8
antonio-carrera;DAL;0;0;0;0;0;0;0;0;0;0;0;0
jacob-castro;SEA;0;0;0;0;0;0;0;0;0;0;0;0
roman-celentano-x4766;CIN;30;30;2700;7;42;94;74.3;35.7;4;16;9;5
steve-clark;HOU;31;31;2773;8;34;98;82.1;42;3;14;9;8
stefan-cleveland;ATX;0;0;0;0;0;0;0;0;0;0;0;0
josh-cohen;ATL;3;2;208;0;5;6;81.4;59.1;1;1;2;0
carlos-miguel-coronel;RBNY;27;27;2430;4;44;75;59.8;27.4;19;9;8;10
maxime-crepeau;POR;20;20;1758;1;38;58;76.3;48.1;6;5;8;7
nathan-crockford;DC;0;0;0;0;0;0;0;0;0;0;0;0
daniel;SJ;12;12;1080;1;24;51;78;34.2;2;2;9;1
carlos-joaquim-antunes-dos-santos;MIA;1;1;90;0;4;2;88.2;20;0;0;1;0
bryan-dowd;NSH;0;0;0;0;0;0;0;0;0;0;0;0
earl-edwards-jr;NE;1;1;90;0;1;1;92.1;50;1;0;0;1
matt-freese;NYC;34;34;2982;6;45;121;77.4;20.6;5;14;12;8
stefan-frei;SEA;29;29;2466;13;27;71;70.7;36.9;1;14;8;7
jeffrey-gal;CHI;0;0;0;0;0;0;0;0;0;0;0;0
pedro-gallese;ORL;29;29;2610;8;39;72;71.5;46.1;7;13;10;6
luka-gavran;TOR;9;9;810;2;18;32;72.5;40;5;2;7;0
tomas-gomez;RSL;0;0;0;0;0;0;0;0;0;0;0;0
john-david-gunn;NE;0;0;0;0;0;0;0;0;0;0;0;0
brad-guzan;ATL;32;32;2850;6;44;113;73.8;47.7;5;9;13;10
nicholas-hagen;CLB;4;3;325;1;5;19;80.5;41.7;2;1;1;2
thomas-hasal;LAFC;1;1;90;0;3;4;70.4;42.9;0;0;1;0
oscar-herrera;MIN;0;0;0;0;0;0;0;0;0;0;0;0
nicholas-holliday;CLT;0;0;0;0;0;0;0;0;0;0;0;0
clint-irwin;MIN;5;5;450;0;12;18;71.8;32.5;1;0;4;1
aljaz-ivacic;NE;25;25;2250;4;56;106;66.9;29.3;6;8;14;3
jacob-jackson;NE;0;0;0;0;0;0;0;0;0;0;0;0
jacob-jackson;SJ;3;3;270;0;9;10;70.9;28.6;0;0;3;0
cole-jensen;MIA;0;0;0;0;0;0;0;0;0;0;0;0
