name;club;games_played;games_started;mins;clean_sheet;goals_against;goalkeeper_saves;accurate_pass;long_ball_percentage;clearances;total_wins;total_losses;total_draws
jeff-attinella;POR;22;22;1944;7;23;64;57.8;41.5;26;10;5;7
jason-beaulieu;MTL;0;0;0;0;0;0;0;0;0;0;0;0
joe-bendik;ORL;25;24;2218;1;58;84;62.3;40.5;19;6;17;2
matt-bersano;SJ;0;0;0;0;0;0;0;0;0;0;0;0
david-bingham;LA;34;34;3060;8;64;121;56.2;43.8;25;13;12;9
andre-blake;PHI;33;33;2970;10;50;117;62;46.2;19;14;14;5
alex-bono;TOR;27;27;2430;3;45;92;55.7;33.4;19;9;12;6
calle-brown;SEA;0;0;0;0;0;0;0;0;0;0;0;0
evan-bush;MTL;34;34;3060;10;53;135;60.7;42;30;14;16;4
jeff-caldwell;NYC;0;0;0;0;0;0;0;0;0;0;0;0
paul-christensen;ATL;1;0;53;0;2;1;18.2;14.3;0;0;1;0
steve-clark;DC;3;3;270;1;6;16;70.6;39.4;1;1;2;0
steve-clark;POR;8;6;576;2;11;28;65.2;50.4;8;4;2;2
stefan-cleveland;CHI;5;5;450;0;8;25;49.6;32.6;1;1;3;1
maxime-crepeau;VAN;0;0;0;0;0;0;0;0;0;0;0;0
maxime-crepeau;MTL;0;0;0;0;0;0;0;0;0;0;0;0
cody-cropper;NE;0;0;0;0;0;0;0;0;0;0;0;0
tyler-deric;HOU;2;2;180;0;7;7;41.5;20.5;0;0;2;0
eric-dick;SKC;0;0;0;0;0;0;0;0;0;0;0;0
clement-diop;MTL;0;0;0;0;0;0;0;0;0;0;0;0
andrew-dykstra;COL;0;0;0;0;0;0;0;0;0;0;0;0
earl-edwards-jr;ORL;5;5;392;0;10;15;76.8;55.7;3;1;3;1
stefan-frei;SEA;33;33;2970;7;34;115;62.1;40.2;28;18;10;5
jake-gleeson;POR;6;6;540;0;14;15;52;38;10;1;3;2
jesse-gonzalez;DAL;21;21;1890;6;28;65;61.1;37.5;27;11;7;3
adam-grinwis;ORL;5;5;450;1;6;14;58.1;45;9;1;3;1
brad-guzan;ATL;33;33;2914;8;41;83;68.6;47.8;16;20;7;6
bill-hamid;DC;14;14;1260;5;12;52;60.3;37.1;9;9;2;3
mitch-hildebrandt;ATL;0;0;0;0;0;0;0;0;0;0;0;0
alex-horwath;RSL;0;0;0;0;0;0;0;0;0;0;0;0
tim-howard;COL;33;33;2900;6;58;120;64.8;39.9;12;8;18;7
clint-irwin;TOR;7;7;630;0;19;28;70.5;47.3;8;1;6;0
sean-johnson;NYC;32;32;2880;10;41;101;68.3;35.6;28;15;10;7
alec-kann;ATL;1;1;90;0;1;5;76.9;60;2;1;0;0
alex-kapp;MIN;0;0;0;0;0;0;0;0;0;0;0;0
jon-kempin;CLB;5;5;450;0;8;11;74;44.4;2;2;1;2
logan-ketterer;CLB;0;0;0;0;0;0;0;0;0;0;0;0
brad-knighton;NE;7;7;630;2;13;33;54.2;42.1;2;2;3;2
chris-konopka;MIN;0;0;0;0;0;0;0;0;0;0;0;0
matt-lampson;MIN;9;9;810;0;20;32;62.9;34.3;6;2;7;0
;RSL;0;0;0;0;0;0;0;0;0;0;0;0
luis-lopez;LAFC;1;1;90;0;2;3;70;50;0;0;1;0
eric-lopez;LA;0;0;0;0;0;0;0;0;0;0;0;0
evan-louro;RBNY;0;0;0;0;0;0;0;0;0;0;0;0
zac-lubin;SEA;0;0;0;0;0;0;0;0;0;0;0;0
ben-lundgaard;CLB;0;0;0;0;0;0;0;0;0;0;0;0
charlie-lyon;LAFC;0;0;0;0;0;0;0;0;0;0;0;0
zac-macmath;COL;2;1;158;0;5;9;58.3;42.9;1;0;2;0
jt-marcinkowski;SJ;5;5;450;1;11;21;60.1;40.7;4;0;4;1
stefan-marinovic;VAN;24;24;2160;2;45;65;56.1;37.9;27;10;10;4
jimmy-maurer;DAL;13;13;1170;4;16;32;67;43.1;6;5;2;6
john-mccarthy;PHI;1;1;90;1;0;6;57.1;48.3;0;1;0;0
