name;club;games_played;games_started;mins;clean_sheet;goals_against;goalkeeper_saves;accurate_pass;long_ball_percentage;clearances;total_wins;total_losses;total_draws
adin-brown;NE;16;16;1460;5;20;72;0;0;0;9;6;1
jon-busch;CLB;14;13;1236;5;15;63;0;0;0;8;4;2
joe-cannon;SJ;26;26;2375;8;29;100;0;0;0;13;10;3
jeff-cassar;RBNY;0;0;0;0;0;0;0;0;0;0;0;0
jon-conway;SJ;3;2;181;0;6;11;0;0;0;1;2;0
d-j-countess;DAL;1;1;100;0;1;6;0;0;0;0;0;1
rich-cullen;COL;0;0;0;0;0;0;0;0;0;0;0;0
scott-garlick;COL;15;15;1374;4;24;61;0;0;0;6;7;2
taly-goode;SKC;0;0;0;0;0;0;0;0;0;0;0;0
paul-grafer;RBNY;2;1;91;0;3;3;0;0;0;0;2;0
bryheem-hancock;DAL;0;0;0;0;0;0;0;0;0;0;0;0
kevin-hartman;LA;18;18;1648;5;20;83;0;0;0;11;6;1
tim-howard;RBNY;27;27;2463;4;44;140;0;0;0;11;14;2
matt-jordan;DAL;27;27;2511;3;42;109;0;0;0;12;9;6
david-kramer;COL;13;13;1195;2;24;49;0;0;0;7;4;2
jon-lowery;COL;0;0;0;0;0;0;0;0;0;0;0;0
jon-lowery;SJ;0;0;0;0;0;0;0;0;0;0;0;0
josh-lynk;DAL;0;0;0;0;0;0;0;0;0;0;0;0
mike-mcginty;DC;0;0;0;0;0;0;0;0;0;0;0;0
tony-meola;SKC;17;17;1519;3;21;65;0;0;0;6;5;6
matt-napoleon;COL;0;0;0;0;0;0;0;0;0;0;0;0
matt-napoleon;DAL;0;0;0;0;0;0;0;0;0;0;0;0
bo-oshoniyi;SKC;13;11;1096;1;24;55;0;0;0;3;6;4
tom-presthus;CLB;15;15;1365;2;28;73;0;0;0;3;9;3
matt-reis;LA;11;10;929;2;13;33;0;0;0;5;4;2
nick-rimando;DC;28;28;2588;7;40;131;0;0;0;9;14;5
henry-ring;CHI;1;1;90;0;4;3;0;0;0;1;0;0
dan-sirota;LA;0;0;0;0;0;0;0;0;0;0;0;0
juergen-sommer;NE;12;12;1090;2;29;53;0;0;0;3;8;1
dmitri-strunkin;NE;0;0;0;0;0;0;0;0;0;0;0;0
greg-sutton;DAL;0;0;0;0;0;0;0;0;0;0;0;0
zach-thornton;CHI;27;27;2483;7;34;124;0;0;0;10;13;4
michael-ueltschey;COL;0;0;0;0;0;0;0;0;0;0;0;0
scott-vallow;NE;0;0;0;0;0;0;0;0;0;0;0;0
scott-vallow;DAL;0;0;0;0;0;0;0;0;0;0;0;0
chris-wanamaker;CLB;0;0;0;0;0;0;0;0;0;0;0;0
mike-ammann;DC;0;0;0;0;0;0;0;0;0;0;0;0
