name;club;games_played;games_started;mins;goals_against;aerial_duels;areial_duel_perc;clearances;fouls;interception
kevin-alston;NE;33;33;2954;56;38;36.8;114;25;53
shalrie-joseph;NE;32;32;2860;54;52;36.5;46;37;29
stefan-frei;TOR;27;27;2406;49;0;0;36;0;0
camilo-sanvezzo;VAN;32;29;2484;48;7;57.1;7;47;9
jack-jewsbury;POR;31;31;2790;47;46;60.9;28;36;41
eric-brunner;POR;32;31;2795;46;63;68.3;193;19;75
benny-feilhaber;NE;23;23;2046;46;8;25;12;37;28
gershon-koffie;VAN;29;28;2467;46;24;54.2;51;58;63
perry-kitchen;DC;31;30;2726;45;45;46.7;128;33;56
jon-busch;SJ;33;33;2970;44;1;0;26;0;0
william-hesmer;CLB;32;32;2880;44;0;0;18;1;1
joel-lindpere;RBNY;34;34;3048;44;21;28.6;16;45;28
sebastian-miranda;CLB;34;34;3044;44;34;52.9;115;17;42
nick-labrocca;CHV;34;34;3060;43;24;41.7;17;28;35
matt-reis;NE;27;27;2429;43;0;0;22;2;0
gonzalo-segares;CHI;33;33;2950;43;23;52.2;101;44;71
clyde-simms;DC;29;29;2404;42;17;47.1;36;20;19
tally-hall;HOU;34;34;3060;41;0;0;18;1;1
kosuke-kimura;COL;34;34;2996;41;29;48.3;80;16;39
chad-marshall;CLB;32;32;2835;41;38;73.7;212;19;86
logan-pause;CHI;29;28;2514;41;19;36.8;41;25;67
matt-pickens;COL;34;34;3060;41;0;0;38;0;0
a-j-soares;NE;28;28;2464;41;41;61;237;27;63
chris-wondolowski;SJ;30;30;2672;41;76;40.8;34;29;14
darrius-barnes;NE;28;22;2153;40;46;67.4;86;14;39
ty-harden;TOR;26;24;2120;40;18;55.6;133;24;43
jeff-larentowicz;COL;34;34;3051;40;55;70.9;58;45;45
roy-miller;RBNY;30;30;2699;40;20;75;89;29;64
marco-pappa;CHI;29;27;2324;40;16;18.8;16;42;33
alain-rochat;VAN;28;27;2434;40;38;76.3;146;35;66
chris-tierney;NE;27;25;2183;40;23;39.1;55;13;26
geoff-cameron;HOU;33;33;2970;39;46;71.7;56;29;53
kenny-cooper;POR;34;29;2562;39;105;35.2;25;26;1
richard-eckersley;TOR;23;22;1953;39;20;45;53;40;34
dan-kennedy;CHV;32;32;2880;39;1;100;35;0;0
drew-moor;COL;32;32;2880;39;72;63.9;184;22;54
andy-najar;DC;31;28;2522;39;27;44.4;32;44;35
brad-davis;HOU;34;34;2892;38;33;51.5;23;38;34
troy-perkins;POR;29;29;2610;38;0;0;35;0;0
jan-gunnar-solli;RBNY;31;31;2643;38;37;54;84;20;23
emmanuel-ekpo;CLB;32;29;2505;37;30;33.3;22;48;47
bill-hamid;DC;28;28;2392;37;1;100;25;3;0
ante-jazic;CHV;28;28;2468;37;29;51.7;81;23;29
sean-johnson;CHI;28;28;2520;37;0;0;37;0;0
kasey-keller;SEA;34;34;3060;37;0;0;25;0;0
rodney-wallace;POR;25;22;1973;37;15;53.3;62;29;47
jalil-anibaba;CHI;29;27;2508;36;37;48.6;151;27;70
ramiro-corrales;SJ;29;29;2552;36;25;68;72;28;67
andre-hainault;HOU;31;31;2790;36;79;78.5;182;44;69
sebastien-le-toux;PHI;34;34;3060;36;48;27.1;9;20;19
nick-rimando;RSL;33;33;2970;36;1;100;25;0;1
osvaldo-alonso;SEA;33;32;2891;35;44;72.7;60;50;63
corey-ashe;HOU;32;30;2617;35;12;33.3;43;13;56
matt-besler;SKC;32;32;2880;35;43;58.1;202;23;76
michael-boxall;VAN;19;18;1616;35;25;64;91;25;26
danny-califf;PHI;33;33;2970;35;55;65.5;203;33;29
kevin-hartman;DAL;33;33;2970;35;0;0;48;0;0
julius-james;CLB;31;31;2790;35;35;74.3;149;53;72
jimmy-nielsen;SKC;31;31;2767;35;0;0;19;1;0
nick-soolsma;TOR;23;18;1578;35;15;13.3;11;12;11
josh-wolff;DC;30;23;1924;35;34;23.5;4;17;7
daniel-woolard;DC;26;26;2254;35;33;54.5;104;16;47
eric-hassli;VAN;26;21;1865;34;30;36.7;20;53;8
jason-hernandez;SJ;28;28;2491;34;42;54.8;152;23;61
jonathan-leathers;VAN;22;21;1840;34;26;50;77;15;30
andres-mendoza;CLB;29;25;2022;34;22;31.8;5;19;5
tim-ream;RBNY;28;28;2520;34;39;59;138;10;55
robbie-rogers;CLB;27;24;2218;34;36;36.1;16;27;15
carlos-valdes-x0274;PHI;32;32;2880;34;33;57.6;181;37;73
sheanon-williams;PHI;32;32;2828;34;40;55;96;38;29
diego-chara;POR;28;27;2401;33;20;50;14;64;32
sam-cronin;SJ;27;22;1903;33;17;35.3;27;29;44
george-john;DAL;31;31;2781;33;31;58.1;203;24;53
