name;club;games_played;games_started;mins;goals_against;aerial_duels;areial_duel_perc;clearances;fouls;interception
tim-howard;RBNY;27;27;2463;44;0;0;0;1;0
matt-jordan;DAL;27;27;2511;42;0;0;0;0;0
nick-rimando;DC;28;28;2588;40;0;0;0;0;0
zach-thornton;CHI;27;27;2483;34;0;0;0;0;0
joe-cannon;SJ;26;26;2375;29;0;0;0;2;0
juergen-sommer;NE;12;12;1090;29;0;0;0;0;0
tom-presthus;CLB;15;15;1365;28;0;0;0;0;0
scott-garlick;COL;15;15;1374;24;0;0;0;1;0
david-kramer;COL;13;13;1195;24;0;0;0;1;0
bo-oshoniyi;SKC;13;11;1096;24;0;0;0;0;0
tony-meola;SKC;17;17;1519;21;0;0;0;1;0
adin-brown;NE;16;16;1460;20;0;0;0;1;0
kevin-hartman;LA;18;18;1648;20;0;0;0;0;0
jon-busch;CLB;14;13;1236;15;0;0;0;0;0
matt-reis;LA;11;10;929;13;0;0;0;0;0
jon-conway;SJ;3;2;181;6;0;0;0;0;0
henry-ring;CHI;1;1;90;4;0;0;0;0;0
paul-grafer;RBNY;2;1;91;3;0;0;0;0;0
d-j-countess;DAL;1;1;100;1;0;0;0;0;0
jeff-agoos;SJ;12;9;839;0;0;0;0;4;0
chris-albright;LA;15;9;814;0;0;0;0;14;0
stephen-armstrong;SKC;26;15;1791;0;0;0;0;45;0
davy-arnaud;SKC;3;0;43;0;0;0;0;3;0
devin-barclay;SJ;12;2;321;0;0;0;0;2;0
wade-barrett;SJ;28;28;2555;0;0;0;0;24;0
damarcus-beasley;CHI;19;19;1719;0;0;0;0;34;0
kyle-beckerman;COL;14;5;477;0;0;0;0;16;0
matt-behncke;DAL;3;2;190;0;0;0;0;7;0
alex-bengard;LA;4;0;26;0;0;0;0;3;0
carlos-bocanegra;CHI;26;26;2291;0;0;0;0;35;0
tenywa-bonseu;DAL;27;27;2370;0;0;0;0;29;0
scott-bower;SJ;0;0;0;0;0;0;0;0;0
paul-broome;DAL;25;25;2315;0;0;0;0;30;0
chris-brown;SKC;28;14;1512;0;0;0;0;15;0
c-j-brown;CHI;24;24;2153;0;0;0;0;48;0
chris-brunt;SKC;5;2;158;0;0;0;0;4;0
edson-buddle;CLB;21;13;1304;0;0;0;0;27;0
mike-burns;SKC;24;21;1966;0;0;0;0;21;0
carl-bussey;DAL;9;1;184;0;0;0;0;5;0
danny-califf;LA;25;23;2118;0;0;0;0;47;0
craig-capano;CHI;4;1;92;0;0;0;0;3;0
chris-carrieri;COL;25;18;1830;0;0;0;0;26;0
jeff-cassar;RBNY;0;0;0;0;0;0;0;0;0
mark-chung;COL;27;27;2401;0;0;0;0;30;0
mauricio-cienfuegos;LA;23;22;1879;0;0;0;0;22;0
mike-clark;CLB;21;19;1599;0;0;0;0;36;0
braeden-cloutier;NE;11;7;608;0;0;0;0;16;0
jimmy-conrad;SJ;25;25;2248;0;0;0;0;38;0
ramiro-corrales;SJ;28;26;2354;0;0;0;0;59;0
rich-cullen;COL;0;0;0;0;0;0;0;0;0
leo-cullen;NE;28;27;2444;0;0;0;0;24;0
jeff-cunningham;CLB;27;21;1962;0;0;0;0;30;0
jim-curtin;CHI;24;22;2121;0;0;0;0;31;0
troy-dayak;SJ;15;14;1235;0;0;0;0;10;0
dwayne-de-rosario;SJ;27;18;1637;0;0;0;0;41;0
chad-deering;DAL;27;22;2168;0;0;0;0;36;0
eric-denton;CLB;23;22;1875;0;0;0;0;27;0
landon-donovan;SJ;20;18;1681;0;0;0;0;30;0
nick-downing;NE;12;5;667;0;0;0;0;5;0
brian-dunseth;CLB;27;26;2436;0;0;0;0;31;0
ronnie-ekelund;SJ;27;27;2347;0;0;0;0;45;0
simon-elliott;LA;26;26;2347;0;0;0;0;26;0
dario-fabbro;SKC;16;16;1116;0;0;0;0;32;0
joe-franchino;NE;23;23;2015;0;0;0;0;45;0
robin-fraser;COL;28;27;2453;0;0;0;0;38;0
tony-frias;NE;0;0;0;0;0;0;0;0;0
adam-frye;LA;20;10;956;0;0;0;0;14;0
ian-fuller;NE;11;5;446;0;0;0;0;16;0
nick-garcia;SKC;27;27;2499;0;0;0;0;23;0
freddy-garcia;CLB;5;1;215;0;0;0;0;9;0
francisco-gomez;SKC;20;13;1249;0;0;0;0;8;0
luchi-gonzalez;SJ;8;0;47;0;0;0;0;0;0
taly-goode;SKC;0;0;0;0;0;0;0;0;0
kelly-gray;CHI;25;20;1780;0;0;0;0;17;0
ariel-graziani;SJ;28;26;2289;0;0;0;0;56;0
winston-griffiths;LA;6;4;310;0;0;0;0;7;0
;SKC;22;21;1914;0;0;0;0;36;0
bryheem-hancock;DAL;0;0;0;0;0;0;0;0;0
john-harkes;CLB;11;7;739;0;0;0;0;14;0
wolde-harris;NE;22;11;1117;0;0;0;0;24;0
wes-hart;COL;27;25;2063;0;0;0;0;54;0
jay-heaps;NE;27;26;2389;0;0;0;0;46;0
chris-henderson;COL;28;28;2414;0;0;0;0;44;0
ezra-hendrickson;LA;23;23;2048;0;0;0;0;28;0
stephen-herdsman;COL;13;9;858;0;0;0;0;16;0
daniel-hernandez;NE;19;16;1492;0;0;0;0;32;0
zak-ibsen;SJ;17;10;1077;0;0;0;0;20;0
danny-jackson;COL;1;0;15;0;0;0;0;1;0
eddie-johnson;DAL;11;2;326;0;0;0;0;7;0
cobi-jones;LA;19;18;1638;0;0;0;0;14;0
brian-kamler;NE;16;13;1099;0;0;0;0;16;0
daouda-kante;NE;8;8;729;0;0;0;0;15;0
zach-kingsley;COL;15;10;997;0;0;0;0;22;0
chris-klein;SKC;25;25;2171;0;0;0;0;11;0
ritchie-kotschau;COL;23;19;1757;0;0;0;0;25;0
dema-kovalenko;CHI;23;23;2034;0;0;0;0;41;0
jason-kreis;DAL;27;26;2303;0;0;0;0;54;0
manny-lagos;SJ;26;20;1683;0;0;0;0;19;0
alexi-lalas;LA;26;26;2364;0;0;0;0;56;0
chris-leitch;CLB;13;11;989;0;0;0;0;18;0
marshall-leonard;NE;0;0;0;0;0;0;0;0;0
carlos-llamosa;NE;14;13;1056;0;0;0;0;28;0
jon-lowery;COL;0;0;0;0;0;0;0;0;0
jon-lowery;SJ;0;0;0;0;0;0;0;0;0
josh-lynk;DAL;0;0;0;0;0;0;0;0;0
brian-maisonneuve;CLB;26;26;2238;0;0;0;0;57;0
jesse-marsch;CHI;28;28;2557;0;0;0;0;57;0
tyrone-marshall;LA;24;19;1838;0;0;0;0;32;0
antonio-martinez;DAL;26;19;1774;0;0;0;0;25;0
kyle-martino;CLB;22;15;1455;0;0;0;0;29;0
pablo-mastroeni;COL;15;15;1329;0;0;0;0;30;0
jeff-matteo;CLB;1;0;14;0;0;0;0;0;0
brian-mcbride;CLB;14;14;1239;0;0;0;0;12;0
chad-mccarty;CLB;18;13;1176;0;0;0;0;31;0
