name;club;games_played;games_started;mins;goals_against;aerial_duels;areial_duel_perc;clearances;fouls;interception
brenner;CIN;33;33;2799;63;51;19.6;21;18;3
luciano-acosta;CIN;31;30;2695;61;18;33.3;8;54;13
michael-bradley;TOR;32;30;2690;61;19;52.6;27;22;27
tim-parker;HOU;34;34;3060;54;93;62.4;103;24;32
albert-rusnak;RSL;34;34;3045;54;27;22.2;6;23;9
jt-marcinkowski;SJ;33;33;2970;53;12;91.7;26;1;2
brad-stuver;ATX;33;33;2970;53;13;92.3;23;0;1
justen-glad;RSL;31;31;2787;52;109;56.9;98;35;46
richie-laryea;TOR;27;26;2294;52;18;38.9;20;30;23
jonathan-bond;LA;31;31;2790;50;11;90.9;30;0;0
yuya-kubo;CIN;29;29;2355;50;29;65.5;21;53;47
julian-araujo;LA;32;32;2797;49;58;58.6;72;45;56
alvaro-barreal;CIN;33;26;2213;49;35;14.3;12;22;14
geoff-cameron;CIN;28;26;2369;49;89;66.3;119;34;40
jackson-yueill;SJ;29;28;2558;49;17;29.4;22;21;20
gonzalo-higuain;MIA;30;28;2457;48;32;34.4;15;18;4
ryan-hollingshead;DAL;30;30;2671;48;84;63.1;68;42;35
damir-kreilach;RSL;33;32;2875;48;257;52.5;42;48;9
alexander-ring;ATX;31;31;2708;48;43;46.5;56;47;52
omar-gonzalez;TOR;27;26;2298;47;108;64.8;109;18;29
julio-cascante;ATX;31;27;2417;46;113;61.1;87;27;29
julian-gressel;DC;34;31;2699;46;55;40;29;30;48
kemar-lawrence;TOR;25;20;1915;46;45;55.6;62;11;29
marky-delgado;TOR;30;27;2372;45;40;50;22;31;49
ronald-matarrita;CIN;22;22;1965;45;21;47.6;34;30;33
blaise-matuidi;MIA;32;27;2290;45;42;52.4;17;37;44
lewis-morgan;MIA;34;34;2828;45;38;36.8;19;21;15
dario-zuparic;POR;31;30;2700;45;83;59;126;26;40
alex-bono;TOR;24;24;2160;44;10;100;16;3;0
cristian-espinoza;SJ;32;28;2242;44;29;24.1;9;28;18
