name;club;games_played;games_started;mins;goals_against;aerial_duels;areial_duel_perc;clearances;fouls;interception
mathieu-deplagne;CIN;33;33;2878;68;125;54.4;74;27;44
keegan-rosenberry;COL;34;34;3060;63;82;48.8;101;33;82
tim-melia;SKC;32;32;2880;60;4;75;20;0;0
evan-bush;MTL;32;32;2880;59;19;84.2;46;1;1
carles-gil;NE;34;34;3052;57;14;14.3;5;15;13
;SKC;32;31;2722;57;58;24.1;21;58;40
kei-kamara;COL;29;29;2541;56;226;62.8;32;39;8
david-bingham;LA;33;33;2970;55;10;100;30;1;2
saphir-taider;MTL;32;31;2728;55;38;39.5;27;24;17
daniel-vega;SJ;34;34;3060;55;22;90.9;34;0;1
victor-ulloa;CIN;26;22;1945;54;38;55.3;28;20;39
inbeom-hwang;VAN;34;31;2807;53;44;50;27;26;54
aljaz-struna;HOU;29;29;2610;53;65;58.5;84;27;18
kellyn-acosta;COL;31;30;2619;52;54;37;20;47;28
ilie-sanchez;SKC;32;27;2509;52;75;53.3;58;26;34
zlatan-ibrahimovic;LA;29;29;2610;51;236;65.7;24;51;7
diego-polenta;LA;28;28;2519;51;62;62.9;105;26;20
jonathan-dos-santos;LA;29;29;2546;50;20;50;18;32;56
jack-elliott;PHI;34;34;3060;50;126;69;140;21;42
magnus-eriksson;SJ;32;32;2807;50;70;24.3;22;34;14
daniel-lovitz;MTL;28;28;2520;50;67;67.2;55;28;38
haris-medunjanin;PHI;34;34;3060;50;24;70.8;15;31;33
luis-robles;RBNY;33;33;2970;50;10;90;24;0;1
matias-vera;HOU;30;30;2639;50;42;38.1;30;52;32
uriel-antuna;LA;31;29;2427;49;33;42.4;11;23;25
stefan-frei;SEA;34;34;3060;49;11;90.9;21;0;1
erik-godoy;VAN;29;28;2596;49;72;52.8;129;29;35
brian-rowe;ORL;32;32;2880;49;7;85.7;25;0;0
andrew-farrell;NE;29;29;2603;48;51;56.9;126;18;35
raymon-gaddis;PHI;34;34;2963;48;33;36.4;47;18;26
johnny-russell;SKC;28;24;2115;48;59;40.7;11;16;9
kendall-waston;CIN;25;24;2175;48;109;75.2;115;32;43
graham-zusi;SKC;27;26;2351;48;63;47.6;45;22;39
luis-alberto-caicedo;NE;31;27;2359;47;69;50.7;52;79;38
jack-price;COL;27;25;2233;47;15;60;20;17;41
maximiliano-urruti;MTL;31;27;2436;47;29;24.1;3;41;15
matt-besler;SKC;27;25;2115;46;93;64.5;90;13;35
maxime-crepeau;VAN;26;26;2340;46;20;100;32;0;6
rolf-feltscher;LA;25;25;2183;46;98;52;58;26;33
tim-howard;COL;25;25;2160;46;3;100;14;0;1
bacary-sagna;MTL;26;25;2180;46;165;65.5;61;15;31
tommy-smith;COL;27;27;2415;46;92;67.4;95;16;21
alejandro-bedoya;PHI;32;32;2833;45;86;45.4;30;38;39
boniek-garcia;HOU;32;30;2584;45;31;54.8;14;49;29
nick-hagglund;CIN;22;20;1802;45;118;69.5;110;17;31
spencer-richey;CIN;19;19;1710;45;6;100;19;0;0
ryan-hollingshead;DAL;34;33;2961;44;104;68.3;87;29;55
justin-hoyte;CIN;17;16;1477;44;33;51.5;37;11;17
mauro-manotas;HOU;32;28;2539;44;114;24.6;32;17;3
diego-rubio;COL;26;25;2065;44;99;60.6;26;40;19
joe-willis;HOU;27;27;2430;44;6;83.3;12;0;2
jackson-yueill;SJ;32;29;2668;44;21;42.9;24;26;14
diego-chara;POR;30;29;2606;43;31;48.4;34;69;43
cristian-espinoza;SJ;30;30;2533;43;16;12.5;9;39;11
brad-guzan;ATL;34;34;3060;43;11;90.9;21;0;1
emmanuel-ledesma;CIN;26;20;1767;43;88;39.8;19;29;24
vito-mannone;MIN;34;34;3060;43;8;100;25;1;0
darlington-nagbe;ATL;33;32;2825;43;49;42.9;17;17;23
yordy-reyna;VAN;25;22;1988;43;32;28.1;6;35;10
miles-robinson;ATL;34;33;2978;43;146;67.8;124;23;58
daniel-steres;LA;30;30;2615;43;124;62.9;119;19;41
reto-ziegler;DAL;32;32;2880;43;77;55.8;92;32;33
marky-delgado;TOR;30;29;2554;42;35;34.3;19;28;29
maynor-figueroa;HOU;25;25;2249;42;84;54.8;96;19;34
jesse-gonzalez;DAL;32;32;2880;42;10;100;21;0;1
matt-hedges;DAL;33;33;2884;42;101;61.4;133;12;49
doneil-henry;VAN;25;24;2106;42;83;57.8;127;10;46
sebastian-lletget;LA;29;27;2316;42;47;46.8;25;16;16
jukka-raitala;MTL;26;23;2083;42;55;43.6;54;19;27
andy-rose;VAN;24;20;1838;42;108;42.6;63;12;26
caleb-stanko;CIN;23;16;1438;42;25;48;21;26;12
diego-valeri;POR;31;29;2600;42;61;27.9;3;26;7
sam-vines;COL;26;23;2149;42;22;45.5;66;11;18
andre-blake;PHI;26;26;2304;41;12;100;19;0;2
sean-davis;RBNY;30;28;2557;41;76;60.5;50;32;53
roland-lamah;CIN;28;22;1782;41;45;42.2;4;13;8
kekuta-manneh;CIN;27;15;1498;41;29;20.7;4;9;10
dax-mccarty;CHI;32;32;2850;41;77;61;47;36;44
alejandro-pozuelo;TOR;30;28;2524;41;35;25.7;4;32;4
cristian-roldan;SEA;29;29;2538;41;81;51.9;37;26;20
pedro-santos;CLB;33;30;2763;41;72;41.7;10;33;17
cj-sapong;CHI;32;29;2551;41;270;50.4;18;44;11
kai-wagner;PHI;30;30;2691;41;74;51.4;61;33;41
quentin-westberg;TOR;28;28;2505;41;12;100;25;1;2
nani;ORL;30;26;2277;40;69;40.6;10;26;11
brandon-bye;NE;30;30;2657;40;175;61.1;86;37;37
joe-corona;LA;31;26;2324;40;74;51.4;18;43;39
gerso-fernandes;SKC;25;20;1749;40;21;9.5;3;37;2
florian-jungwirth;SJ;30;30;2671;40;126;49.2;113;39;66
guram-kashia;SJ;23;21;1905;40;80;53.8;65;22;43
adam-lundkvist;HOU;28;26;2387;40;39;48.7;43;34;27
justin-morrow;TOR;28;26;2349;40;73;56.2;42;18;24
jake-nerwinski;VAN;26;24;2023;40;70;57.1;56;20;34
vako;SJ;32;24;2097;40;28;35.7;3;19;17
daniel-royer;RBNY;31;26;2321;40;121;46.3;13;17;19
sebastian-blanco;POR;30;28;2511;39;27;48.1;9;38;13
reggie-cannon;DAL;28;26;2268;39;41;43.9;56;21;25
jesus-ferreira;DAL;33;29;2453;39;32;21.9;21;27;20
kim-kee-hee;SEA;30;30;2622;39;54;51.9;97;31;50
nicolas-lodeiro;SEA;28;28;2500;39;52;36.5;17;45;22
tomas-martinez;HOU;33;30;2329;39;32;21.9;3;46;17
;PHI;26;25;2241;39;226;47.4;21;37;6
steven-birnbaum;DC;34;34;3032;38;247;71.7;177;35;40
maxime-chanot;NYC;31;31;2790;38;127;62.2;152;32;47
ruan;ORL;25;23;2096;38;27;22.2;31;19;20
alexander-ring;NYC;31;31;2790;38;67;50.8;56;67;42
