name;club;games_played;games_started;mins;goals_against;aerial_duels;areial_duel_perc;clearances;fouls;interception
jefferson-mena;NYC;16;16;1306;21;38;65.8;56;14;45
alex-muyl;RBNY;27;18;1599;21;82;40.2;14;41;23
;SKC;21;18;1500;21;51;31.4;10;8;15
shea-salinas;SJ;33;8;1223;21;31;32.3;8;12;15
sunday-stephen;RSL;15;15;1115;21;24;58.3;12;26;21
jordan-allen;RSL;23;11;1099;20;20;30;7;15;17
sean-davis;RBNY;21;11;1108;20;14;64.3;17;18;25
jared-jeffrey;DC;21;14;1314;20;24;37.5;14;40;38
daigo-kobayashi;NE;27;6;701;20;6;33.3;8;6;23
wandrille-lefevre;MTL;13;12;1113;20;17;52.9;52;15;38
nicolas-mezquida;VAN;28;17;1395;20;31;19.4;8;19;9
patrick-nyarko;DC;26;23;1828;20;61;52.5;24;19;33
jared-watts;COL;21;18;1647;20;52;46.1;73;18;53
josh-yaro;PHI;17;15;1328;20;28;46.4;72;12;43
;TOR;23;16;1487;19;65;53.9;14;43;7
quincy-amarikwa;SJ;23;22;1699;19;75;34.7;8;55;9
brad-davis;SKC;24;14;1300;19;17;35.3;2;10;8
tsubasa-endoh;TOR;21;15;1387;19;25;20;3;9;14
shaun-francis;SJ;18;17;1524;19;30;56.7;38;25;35
tim-howard;COL;17;17;1530;19;0;0;7;0;3
robbie-keane;LA;17;16;1426;19;11;36.4;0;7;2
jeff-larentowicz;LA;23;17;1496;19;57;57.9;31;33;27
mauro-manotas;HOU;22;10;1054;19;26;19.2;2;11;1
ike-opara;SKC;25;16;1542;19;59;66.1;75;22;50
rob-vincent;DC;20;12;1137;19;12;75;21;11;31
fraser-aird;VAN;18;16;1455;18;14;35.7;30;23;30
dominique-badji;COL;27;17;1571;18;80;43.8;21;39;10
clint-dempsey;SEA;17;17;1429;18;49;46.9;1;23;9
matt-lampson;CHI;11;11;990;18;6;83.3;7;0;1
darren-mattocks;POR;19;12;940;18;41;36.6;10;14;8
kofi-opare;DC;10;10;874;18;28;71.4;40;17;25
matias-perez-garcia;ORL;13;10;883;18;6;83.3;2;8;8
lloyd-sam;DC;13;13;971;18;9;44.4;2;12;12
ethan-white;NYC;13;7;676;18;16;75;32;7;23
travis-worra;DC;13;13;1170;18;5;80;13;0;4
gyasi-zardes;LA;19;17;1604;18;99;42.4;15;10;12
ronald-zubar;RBNY;21;19;1593;18;73;74;68;15;43
hernan-bernardello;MTL;12;11;991;17;10;60;2;13;22
fabian-espindola;DC;15;10;926;17;43;60.5;7;9;13
rafael-ramos;ORL;12;12;1015;17;10;10;22;12;23
olmes-garcia;RSL;24;9;964;17;72;44.4;4;23;2
patrick-mullins;DC;14;12;1048;17;85;34.1;8;23;1
lawrence-olum;SKC;19;17;1469;17;51;54.9;36;13;48
julio-baptista;ORL;23;5;729;17;23;39.1;3;6;6
blas-perez;VAN;22;5;754;17;78;51.3;11;26;4
michael-stephens;CHI;17;11;948;17;4;50;8;5;17
steven-taylor;POR;9;9;810;17;17;64.7;23;3;12
adrian-winter;ORL;13;12;975;17;26;30.8;7;18;12
vytas;POR;11;10;916;16;14;50;25;19;19
alex-bono;TOR;16;15;1370;16;10;80;12;0;2
nigel-de-jong;LA;18;18;1561;16;20;70;27;20;40
brad-knighton;NE;13;13;1153;16;3;100;1;2;3
mikey-lopez;NYC;15;6;672;16;18;66.7;15;19;13
tyson-wahl;CLB;13;11;1011;16;37;59.5;47;14;28
eriq-zavaleta;TOR;15;14;1277;16;36;55.6;52;7;35
eric-alexander;MTL;12;12;1047;15;6;50;5;11;15
giles-barnes;HOU;14;13;1101;15;62;59.7;11;16;9
kyle-bekker;MTL;18;13;1139;15;10;50;11;14;20
julian-buescher;DC;20;3;584;15;11;27.3;2;21;8
cordell-cato;SJ;21;15;1391;15;26;23.1;23;9;23
mix-diskerud;NYC;12;9;812;15;20;40;6;7;9
nicolas-lodeiro;SEA;13;13;1170;15;16;31.3;1;8;8
calum-mallace;MTL;18;10;862;15;19;63.2;18;11;22
damien-perquis;TOR;12;11;986;15;45;75.6;56;12;40
kofi-sarkodie;SJ;13;12;1043;15;17;41.2;26;11;18
mekeil-williams;COL;21;17;1468;15;46;54.4;44;12;29
jose-aja;ORL;10;9;830;14;44;56.8;46;16;24
alejandro-bedoya;PHI;10;10;844;14;26;46.1;11;24;22
kevin-ellis;SKC;14;10;953;14;26;38.5;38;8;29
adam-jahn;CLB;12;4;459;14;52;53.9;8;9;4
masato-kudo;VAN;17;12;894;14;19;26.3;8;12;2
connor-lade;RBNY;18;15;1380;14;25;60;20;17;40
zach-loyd;DAL;12;10;919;14;24;45.8;39;4;42
mike-magee;LA;30;16;1467;14;13;30.8;11;15;11
carlos-rivas;ORL;21;8;799;14;6;33.3;1;19;3
michael-salazar;MTL;17;8;711;14;35;48.6;8;17;6
lloyd-sam;RBNY;16;13;1054;14;12;33.3;2;11;13
zach-scott;SEA;14;9;886;14;45;57.8;40;7;29
giles-barnes;VAN;10;8;706;13;39;46.1;9;11;3
darwin-ceren;SJ;12;9;891;13;22;40.9;4;17;21
david-edgar;VAN;8;8;720;13;27;48.1;38;7;12
andres-imperiale;SJ;11;10;869;13;26;69.2;40;9;26
kei-kamara;CLB;9;9;790;13;51;66.7;8;8;4
adam-kwarasey;POR;7;7;590;13;3;100;9;0;0
zac-macmath;COL;17;17;1530;13;11;90.9;14;1;3
karl-ouimette;RBNY;7;6;582;13;24;58.3;28;3;28
john-stertzer;RSL;18;9;777;13;12;75;9;14;20
jordan-stewart;SJ;15;14;1221;13;40;52.5;22;15;35
tommy-thompson;SJ;17;9;825;13;18;55.6;8;10;18
maxim-tissot;MTL;7;5;517;13;5;60;16;7;16
johan-venegas;MTL;20;7;683;13;10;40;10;18;7
ben-zemanski;POR;16;11;1010;13;14;35.7;16;10;28
bobby-burling;COL;16;16;1415;12;49;67.3;47;21;40
dilly-duka;CLB;15;5;604;12;7;14.3;1;7;2
jordan-hamilton;TOR;14;11;911;12;58;48.3;4;9;4
chris-klute;POR;8;8;709;12;12;50;27;8;12
cedrick-mabwati;CLB;17;6;593;12;5;80;1;4;6
matteo-mancosu;MTL;15;7;772;12;36;44.4;9;9;1
lucas-ontivero;MTL;21;12;980;12;14;28.6;0;24;9
luis-solignac;COL;18;12;1105;12;35;40;7;10;8
russell-teibert;VAN;11;8;696;12;9;11.1;7;16;22
david-arshakyan;CHI;9;3;324;11;17;47.1;0;2;0
dairon-asprilla;POR;9;6;489;11;18;44.4;8;8;7
molham-babouli;TOR;16;6;647;11;32;18.8;4;11;4
jack-barmby;POR;19;2;381;11;7;28.6;2;7;3
chad-barson;CLB;7;3;326;11;12;41.7;15;4;12
raymon-gaddis;PHI;7;5;514;11;5;40;9;7;10
herculez-gomez;SEA;21;9;842;11;45;33.3;9;16;8
jesse-gonzalez;DAL;6;6;539;11;1;100;7;0;1
marlon-hairston;COL;21;14;1272;11;23;26.1;11;11;34
alec-kann;SKC;7;7;630;11;0;0;7;0;1
aaron-kovar;SEA;16;10;811;11;22;13.6;1;12;6
jack-mcinerney;POR;24;8;904;11;23;43.5;10;16;4
luke-mishu;DC;7;5;448;11;6;66.7;17;2;17
damien-perrinelle;RBNY;10;7;726;11;25;44;19;9;15
alvaro-saborio;DC;19;8;890;11;64;39.1;8;19;4
gaston-sauro;CLB;13;12;918;11;29;48.3;48;23;38
nelson-valdez;SEA;24;8;900;11;91;45;7;21;7
josh-williams;TOR;15;11;918;11;24;58.3;50;7;34
gideon-baah;RBNY;9;6;467;10;13;84.6;14;8;23
amadou-dia;SKC;10;9;817;10;19;57.9;17;16;27
eric-gehrig;CHI;5;3;259;10;2;50;16;5;8
nick-hagglund;TOR;16;8;847;10;50;72;48;13;25
connor-hallisey;SKC;17;12;1072;10;24;20.8;3;5;8
pa-modou-kah;VAN;5;4;395;10;14;64.3;27;8;13
nick-labrocca;CHI;12;5;514;10;13;30.8;9;13;5
vincent-nogueira;PHI;8;8;684;10;1;100;0;6;14
marco-pappa;COL;20;10;895;10;3;0;0;10;10
maxime-chanot;NYC;6;5;494;9;22;68.2;13;6;19
benoit-cheyrou;TOR;14;9;800;9;15;46.7;5;9;18
alan-gordon;LA;22;7;710;9;73;56.2;7;17;3
chance-myers;SKC;11;6;559;9;18;44.4;9;6;9
matias-perez-garcia;SJ;14;9;752;9;8;37.5;1;6;12
octavio-rivero;VAN;12;9;757;9;38;36.8;7;25;0
tony-rocha;ORL;8;2;298;9;3;0;0;7;5
tony-taylor;NYC;14;7;605;9;9;33.3;2;14;3
darrius-barnes;NE;4;4;345;8;7;57.1;9;5;15
hadji-barry;ORL;8;4;293;8;4;50;4;4;0
joey-calistri;CHI;14;2;348;8;15;33.3;7;2;4
aubrey-david;DAL;5;4;363;8;16;68.8;12;5;15
marcel-de-jong;VAN;7;5;467;8;5;40;16;9;13
agus;HOU;8;8;672;8;25;56;48;13;25
henok-goitom;SJ;8;3;416;8;17;47.1;2;6;1
ned-grabavoy;POR;22;5;632;8;19;57.9;6;12;5
chris-rolfe;DC;9;9;643;8;14;28.6;0;7;7
