name;club;games_played;games_started;mins;goals_against;aerial_duels;areial_duel_perc;clearances;fouls;interception
josh-saunders;NYC;33;33;2970;57;13;100;33;2;15
sebastian-giovinco;TOR;33;32;2775;54;0;0;0;43;8
steve-clark;CLB;34;34;3060;53;11;100;28;0;10
andrew-jacobson;NYC;33;33;2837;53;101;65.3;65;46;63
david-villa;NYC;30;29;2514;51;46;23.9;5;29;6
aurelien-collin;ORL;28;27;2407;49;123;68.3;161;36;97
justin-morrow;TOR;32;31;2757;49;70;58.6;94;31;75
federico-higuain;CLB;32;32;2724;48;5;0;4;27;13
michael-parkhurst;CLB;33;33;2895;48;81;44.4;162;15;107
tony-tchani;CLB;32;32;2787;48;69;58;47;73;47
ethan-finlay;CLB;34;34;2790;47;34;23.5;14;28;16
kei-kamara;CLB;32;31;2761;47;242;56.6;28;59;6
raymon-gaddis;PHI;28;27;2399;46;27;44.4;59;15;67
harry-shipp;CHI;33;29;2571;45;45;35.6;18;21;19
bobby-boswell;DC;34;33;2975;44;104;47.1;194;21;98
benoit-cheyrou;TOR;28;28;2408;44;42;52.4;34;44;62
tyler-deric;HOU;31;31;2790;44;8;100;27;1;3
waylon-francis;CLB;28;28;2410;44;55;47.3;54;30;55
joevin-jones;CHI;28;26;2257;44;40;52.5;38;26;56
matt-polster;CHI;30;27;2422;44;71;63.4;53;57;78
scott-caldwell;NE;34;32;2882;43;43;37.2;38;42;69
kaka;ORL;28;28;2440;43;24;29.2;2;18;7
dom-dwyer;SKC;30;28;2546;43;189;36.5;26;59;5
luis-robles;RBNY;34;34;3060;43;14;92.9;39;0;9
ricardo-clark;HOU;30;30;2573;42;79;49.4;22;44;36
jose-goncalves;NE;29;28;2480;42;116;64.7;137;33;81
perry-kitchen;DC;33;31;2831;42;50;52;38;66;58
justin-meram;CLB;31;28;2230;42;53;54.7;18;27;25
juninho;LA;34;32;2857;42;43;55.8;39;29;76
giles-barnes;HOU;28;28;2474;41;105;29.5;13;37;11
tony-beltran;RSL;31;31;2774;41;93;43;87;32;76
matt-besler;SKC;32;32;2830;41;153;57.5;217;28;124
luke-boden;ORL;25;24;2238;41;28;64.3;47;26;52
brad-davis;HOU;30;29;2596;41;51;43.1;21;28;23
tally-hall;ORL;23;23;2064;41;1;100;13;0;6
david-horst;HOU;32;28;2603;41;160;70;179;36;124
sacha-kljestan;RBNY;33;33;2843;41;125;49.6;45;43;23
dax-mccarty;RBNY;32;32;2777;41;96;51;42;35;81
bobby-shuttleworth;NE;31;31;2790;41;6;100;22;0;3
bradley-wright-phillips;RBNY;34;33;2865;41;194;28.4;31;47;6
darwin-ceren;ORL;26;25;2254;40;21;47.6;27;53;65
jason-hernandez;NYC;26;26;2294;40;88;63.6;140;38;81
cristian-maidana;PHI;28;25;2121;40;43;23.3;3;9;7
david-bingham;SJ;34;34;3060;39;14;85.7;48;4;6
nat-borchers;POR;31;31;2790;39;133;52.6;163;13;68
evan-bush;MTL;31;31;2790;39;12;83.3;28;0;3
razvan-cocis;CHI;26;22;2005;39;72;68.1;47;21;56
andrew-farrell;NE;32;32;2819;39;57;59.6;172;13;108
benny-feilhaber;SKC;32;30;2731;39;32;56.3;11;44;46
sebastien-le-toux;PHI;31;26;2379;39;52;40.4;22;21;23
donny-toia;MTL;31;29;2699;39;86;61.6;114;28;70
michael-bradley;TOR;25;25;2250;38;14;14.3;30;22;33
maurice-edu;PHI;22;22;1980;38;66;48.5;75;37;42
kevin-ellis;SKC;27;26;2335;38;136;48.5;126;31;115
cristian-higuita;ORL;26;25;2228;38;44;65.9;27;73;46
clint-irwin;COL;31;31;2790;38;15;93.3;39;1;11
felipe-martins;RBNY;34;34;2922;38;34;23.5;37;33;67
leonardo;LA;26;26;2264;38;108;58.3;137;40;134
raul-rodriguez;HOU;27;27;2364;38;94;39.4;133;34;126
chris-rolfe;DC;31;30;2454;38;84;29.8;27;19;28
gyasi-zardes;LA;29;27;2454;38;141;27.7;20;28;27
brian-carroll;PHI;22;21;1820;37;41;29.3;28;17;50
laurent-ciman;MTL;27;27;2405;37;79;54.4;146;45;119
marky-delgado;TOR;20;19;1699;37;49;42.9;17;18;30
taylor-kemp;DC;27;25;2261;37;52;63.5;91;30;73
lee-nguyen;NE;32;31;2706;37;13;30.8;0;40;15
lovel-palmer;CHI;22;20;1797;37;59;55.9;74;19;56
liam-ridgewell;POR;32;32;2868;37;94;73.4;212;19;57
chris-tierney;NE;31;29;2613;37;43;44.2;65;16;39
victor-ulloa;DAL;33;33;2915;37;121;57.9;54;41;96
marvell-wynne;SJ;33;32;2762;37;57;49.1;80;22;53
damarcus-beasley;HOU;28;28;2374;36;43;46.5;65;16;81
will-bruin;HOU;33;28;2414;36;161;38.5;19;32;2
shay-facey;NYC;23;20;1818;36;43;51.2;112;28;87
eric-gehrig;CHI;25;25;2214;36;83;69.9;107;22;94
adam-kwarasey;POR;33;33;2970;36;11;100;28;2;0
david-ousted;VAN;34;34;3060;36;8;100;21;0;4
damien-perquis;TOR;25;24;2069;36;97;59.8;133;25;93
andrew-wenger;PHI;26;22;1725;36;72;56.9;21;13;20
kyle-beckerman;RSL;26;26;2335;35;32;56.3;67;36;54
mix-diskerud;NYC;27;23;2073;35;63;49.2;21;32;30
tyrone-mears;SEA;33;33;2960;35;40;50;50;29;51
jonathan-osorio;TOR;29;26;2235;35;13;38.5;7;22;24
jorge-villafana;POR;33;33;2929;35;49;63.3;89;26;58
