name;club;games_played;games_started;mins;goals_against;aerial_duels;areial_duel_perc;clearances;fouls;interception
matt-jordan;DAL;26;26;2388;45;0;0;0;1;0
mike-ammann;DC;19;19;1739;38;0;0;0;2;0
scott-garlick;TB;14;14;1270;35;0;0;0;1;0
tim-howard;RBNY;26;26;2370;35;0;0;0;0;0
tom-presthus;CLB;25;25;2309;35;0;0;0;0;0
adin-brown;TB;13;13;1188;33;0;0;0;1;0
nick-rimando;MIA;25;25;2300;33;0;0;0;1;0
zach-thornton;CHI;27;27;2496;30;0;0;0;1;0
joe-cannon;SJ;25;25;2306;28;0;0;0;0;0
tony-meola;SKC;17;17;1534;28;0;0;0;0;0
bo-oshoniyi;SKC;11;10;938;25;0;0;0;0;0
jeff-causey;NE;11;10;1003;23;0;0;0;0;0
matt-reis;LA;16;15;1405;22;0;0;0;1;0
scott-garlick;COL;12;12;1130;21;0;0;0;0;0
adin-brown;COL;9;9;830;18;0;0;0;1;0
juergen-sommer;NE;10;10;911;17;0;0;0;0;0
kevin-hartman;LA;11;11;1007;14;0;0;0;0;0
jose-fernandez;NE;7;7;578;12;0;0;0;0;0
mark-simpson;DC;7;7;630;12;0;0;0;0;0
david-kramer;COL;5;5;466;8;0;0;0;0;0
jeff-cassar;MIA;1;1;90;3;0;0;0;0;0
chris-snitko;DAL;1;0;24;2;0;0;0;0;0
jon-conway;SJ;1;1;90;1;0;0;0;0;0
mark-dougherty;CLB;2;1;100;1;0;0;0;0;0
kevin-adams;CLB;5;0;42;0;0;0;0;1;0
junior-agogo;SJ;14;6;589;0;0;0;0;21;0
jeff-agoos;SJ;20;20;1765;0;0;0;0;13;0
lazo-alavanja;MIA;16;11;896;0;0;0;0;19;0
pedro-alvarez;RBNY;21;17;1494;0;0;0;0;45;0
chris-armas;CHI;21;21;1940;0;0;0;0;43;0
shaker-asad;MIA;1;0;8;0;0;0;0;0;0
isaias-bardales-jr;LA;12;1;270;0;0;0;0;7;0
wade-barrett;SJ;24;23;2125;0;0;0;0;22;0
damarcus-beasley;CHI;24;24;2156;0;0;0;0;38;0
jamar-beasley;CHI;18;8;727;0;0;0;0;18;0
kyle-beckerman;MIA;1;0;14;0;0;0;0;1;0
alex-bengard;LA;3;0;56;0;0;0;0;1;0
jeff-bilyk;MIA;15;5;535;0;0;0;0;18;0
ian-bishop;MIA;23;23;2115;0;0;0;0;20;0
carlos-bocanegra;CHI;15;13;1250;0;0;0;0;19;0
tenywa-bonseu;CLB;24;24;2160;0;0;0;0;21;0
scott-bower;SJ;12;3;391;0;0;0;0;9;0
paul-broome;DAL;22;16;1513;0;0;0;0;30;0
dario-brose;SJ;1;0;3;0;0;0;0;1;0
chris-brown;SKC;27;23;2034;0;0;0;0;19;0
c-j-brown;CHI;22;22;1882;0;0;0;0;42;0
