name;club;games_played;games_started;mins;goals_against;aerial_duels;areial_duel_perc;clearances;fouls;interception
brad-stuver;ATX;34;34;3060;55;4;75;27;0;0
drake-callender;MIA;33;33;2970;53;11;72.7;28;0;0
andreas-maxso;COL;33;33;2925;52;107;64.5;122;17;17
juan-mosquera;POR;29;27;2411;52;44;38.6;29;14;18
dario-zuparic;POR;31;31;2790;52;112;63.4;103;44;41
federico-bernardeschi;TOR;31;31;2608;51;7;57.1;2;33;12
jon-gallagher;ATX;34;31;2793;51;42;40.5;39;22;22
ricard-puig-marti;LA;29;28;2526;49;5;20;2;14;12
daniel-salloi;SKC;34;33;2875;49;45;42.2;15;25;16
miguel-tapias;MIN;32;32;2860;49;96;54.2;156;35;37
remi-walter;SKC;33;29;2736;49;44;59.1;28;22;34
christian-benteke;DC;31;31;2789;48;367;66.5;30;67;4
brooks-lennon;ATL;33;32;2881;48;37;46;77;27;27
jonathan-sirois;MTL;33;32;2887;47;8;100;33;1;1
jonathan-bond;LA;24;24;2049;46;9;88.9;31;0;2
tyler-boyd;LA;34;28;2338;46;34;17.6;10;47;12
raheem-edwards;LA;30;21;1873;46;50;48;37;30;24
dave-romney;NE;34;34;3060;46;189;58.7;157;11;37
connor-ronan;COL;34;33;2856;46;15;33.3;23;18;20
michael-boxall;MIN;32;32;2856;45;67;64.2;135;30;48
nathan-byrne;CLT;31;29;2600;45;64;46.9;51;28;20
mateusz-klich;DC;32;31;2723;45;13;46.1;10;41;14
yohei-takaoka;VAN;33;33;2970;45;18;94.4;31;0;0
wil-trapp;MIN;30;28;2425;45;52;48.1;29;30;30
chris-brady;CHI;30;30;2640;44;8;87.5;33;1;1
diego-chara;POR;29;28;2565;44;31;51.6;28;41;30
ryan-gauld;VAN;32;30;2640;44;59;44.1;13;38;16
nick-lima;ATX;33;25;2419;44;52;46.1;57;14;22
steven-moreira;CLB;34;33;2925;44;39;33.3;50;18;21
jonathan-osorio;TOR;21;21;1877;44;10;40;8;15;16
daniel-pereira;ATX;32;29;2529;44;16;43.8;20;46;32
claudio-bravo;POR;29;27;2333;43;39;46.1;48;65;39
marky-delgado;LA;30;25;2317;43;31;48.4;22;31;36
kobe-franklin;TOR;27;23;2172;43;47;36.2;50;13;31
bongokuhle-hlongwane;MIN;30;29;2492;43;91;47.3;22;25;26
patrick-schulte;CLB;31;31;2790;43;9;66.7;15;2;0
dayne-st-clair;MIN;30;30;2700;43;5;100;23;0;0
caleb-wiley;ATL;30;28;2338;43;52;46.1;31;27;29
thiago-almada;ATL;31;31;2730;42;12;16.7;1;23;9
brandt-bronico;CLT;32;30;2597;42;55;50.9;32;60;23
roman-burki;STL;33;33;2970;42;15;100;42;1;0
sebastian-driussi;ATX;28;26;2311;42;62;37.1;33;22;8
adilson-malanda;CLT;29;29;2569;42;154;62.3;109;35;32
emiliano-rigoni;ATX;33;25;2198;42;50;40;33;22;5
rodrigues;SJ;34;34;3000;42;129;65.9;147;27;58
ranko-veselinovic;VAN;32;31;2824;42;116;51.7;148;21;33
ashley-westwood;CLT;29;29;2531;42;10;70;18;34;10
rafael-czichos;CHI;32;28;2511;41;91;57.1;101;30;44
hassani-dotson;MIN;34;29;2573;41;96;46.9;44;21;32
jeremy-ebobisse;SJ;34;34;2973;41;61;42.6;12;19;14
cristian-espinoza;SJ;34;34;3033;41;36;13.9;19;44;21
justen-glad;RSL;32;31;2718;41;99;55.6;119;29;50
aidan-morris;CLB;30;30;2587;41;27;37;10;50;44
darlington-nagbe;CLB;34;32;2791;41;42;66.7;20;28;21
dj-taylor;MIN;30;29;2513;41;68;50;72;28;31
erik-thommy;SKC;34;32;2601;41;21;42.9;10;28;24
danny-wilson;COL;29;25;2315;41;91;57.1;104;20;21
mathieu-choiniere;MTL;28;27;2436;40;37;32.4;31;36;26
andreu-fontas;SKC;28;27;2393;40;45;62.2;75;19;40
matt-polster;NE;31;31;2738;40;51;62.8;43;49;45
alexander-ring;ATX;28;25;2154;40;50;52;66;24;27
karol-swiderski;CLT;31;29;2428;40;66;39.4;14;20;6
julio-cascante;ATX;24;24;2065;39;132;56.1;91;23;20
carlos-miguel-coronel;RBNY;34;34;3060;39;6;100;33;0;0
jack-elliott;PHI;32;31;2790;39;96;61.5;123;25;46
jakob-glesnes;PHI;31;31;2790;39;87;59.8;89;27;46
brian-gutierrez;CHI;32;28;2399;39;35;22.9;10;33;8
