name;club;games_played;games_started;mins;goals_against;aerial_duels;areial_duel_perc;clearances;fouls;interception
cristian-pavon;LA;22;22;1980;46;44;13.6;1;20;16
daniel-steres;LA;20;20;1800;44;69;59.4;83;17;21
emiliano-insua;LA;22;22;1892;43;26;61.5;29;13;28
;SJ;21;20;1701;43;36;50;27;44;27
cristian-espinoza;SJ;23;22;1811;41;16;18.8;7;21;15
samuel-piette;MTL;22;22;1943;41;23;52.2;24;35;20
perry-kitchen;LA;21;19;1723;40;51;64.7;32;39;27
marko-maric-x2484;HOU;23;23;2070;40;7;71.4;19;0;1
victor-wanyama;MTL;21;21;1890;40;35;57.1;36;36;34
andres-rios;SJ;22;20;1711;39;66;50;14;41;9
jackson-yueill;SJ;21;21;1861;39;13;38.5;14;22;19
luis-binks;MTL;21;20;1762;37;75;61.3;91;30;46
adam-lundkvist;HOU;21;21;1819;37;38;31.6;43;27;35
alvaro-medran;CHI;23;23;1996;37;32;21.9;9;34;24
junior-moreno;DC;20;20;1722;37;24;37.5;30;21;26
daniel-vega;SJ;12;12;1080;37;1;100;16;0;0
zachary-brault-guillard;MTL;21;19;1789;36;32;43.8;39;16;26
francisco-calvo;CHI;22;22;1911;36;74;50;90;30;77
clement-diop;MTL;20;20;1800;36;7;100;14;0;1
maynor-figueroa;HOU;20;19;1717;36;86;54.6;73;29;41
mauricio-pineda;CHI;23;23;2022;36;51;54.9;61;24;34
eddie-segura;LAFC;22;21;1886;36;87;60.9;67;17;45
robert-beric;CHI;23;22;1931;35;61;31.1;7;38;7
david-bingham;LA;18;18;1620;35;3;100;16;1;0
latif-blessing;LAFC;21;18;1721;35;52;48.1;19;37;34
florian-jungwirth;SJ;19;18;1611;35;46;63;46;25;30
jake-nerwinski;VAN;21;18;1700;35;45;40;56;14;29
julian-gressel;DC;22;19;1681;34;26;26.9;16;13;27
sebastian-lletget;LA;21;19;1692;34;52;34.6;17;20;13
diego-rossi;LAFC;19;19;1698;34;19;52.6;4;6;4
boris-sekulic;CHI;21;21;1826;34;48;58.3;37;26;23
matias-vera;HOU;20;20;1689;34;31;41.9;20;32;30
nick-depuy;LA;16;15;1409;33;42;61.9;67;22;31
lewis-morgan;MIA;23;23;1952;33;21;28.6;8;9;18
ali-adnan;VAN;22;20;1769;33;49;77.5;53;18;40
cristian-dajome;VAN;23;18;1603;32;44;40.9;3;24;14
