name;club;games_played;games_started;mins;goals_against;aerial_duels;areial_duel_perc;clearances;fouls;interception
michael-bradley;TOR;34;34;3050;66;42;35.7;47;21;41
jt-marcinkowski;SJ;33;33;2925;66;9;88.9;25;0;1
steven-birnbaum;DC;32;32;2850;64;181;79.6;122;45;61
cristian-espinoza;SJ;34;33;2856;61;12;25;6;32;15
jackson-yueill;SJ;31;31;2695;61;28;42.9;23;29;28
chris-durkin;DC;29;24;2241;60;34;58.8;22;34;21
jeremy-ebobisse;SJ;34;34;2951;59;44;40.9;10;19;2
christopher-mcvey;MIA;34;34;3040;56;48;56.3;85;50;47
deandre-yedlin;MIA;34;33;2986;56;47;51.1;78;36;41
keegan-rosenberry;COL;34;33;2961;55;50;54;73;19;42
william-yarbrough;COL;34;34;3015;54;6;100;19;2;1
tanner-beason;SJ;28;25;2245;53;76;57.9;81;6;45
paul-marie;SJ;32;26;2247;53;29;41.4;41;37;34
jamiro-monteiro;SJ;31;31;2643;53;11;0;4;48;14
remi-walter;SKC;34;34;2975;53;55;54.5;27;18;32
jonathan-bond;LA;34;34;3060;51;6;100;27;1;0
gregore;MIA;30;30;2700;51;72;52.8;49;78;36
alan-franco;ATL;31;31;2715;51;83;61.5;101;24;38
brandt-bronico;CLT;34;32;2815;50;53;58.5;47;61;32
aljaz-ivacic;POR;32;32;2880;50;10;90;32;0;0
jesus-jimenez;TOR;33;27;2351;50;85;36.5;21;26;6
brandon-vazquez;CIN;33;32;2753;50;206;46.1;29;41;1
;MIA;33;33;2679;49;27;37;20;28;31
nathan-raphael-pelae-cardoso;SJ;26;26;2272;49;97;73.2;90;22;56
ranko-veselinovic;VAN;31;31;2765;49;95;52.6;178;22;33
adalberto-carrasquilla;HOU;32;27;2395;48;24;54.2;22;47;35
steve-clark;HOU;33;33;2906;48;11;90.9;25;2;0
carles-gil;NE;33;32;2910;48;7;28.6;4;11;9
kristijan-kahlina;CLT;31;31;2790;48;11;90.9;16;1;2
dayne-st-clair;MIN;32;32;2835;48;11;81.8;28;0;0
luciano-acosta;CIN;30;28;2499;47;13;15.4;4;51;8
pedro-gallese;ORL;32;32;2880;47;4;100;18;1;0
adam-lundkvist;HOU;31;30;2585;46;42;54.8;47;28;41
shane-o-neill;TOR;26;21;1895;46;47;59.6;69;26;31
julio-cascante;ATX;32;31;2716;45;154;61.7;107;39;28
yimmi-chara;POR;34;33;2778;45;31;35.5;6;26;23
sebastian-driussi;ATX;34;32;2882;45;65;44.6;33;38;11
ruben-gabrielsen;ATX;33;31;2740;45;108;55.6;88;14;32
ruan;ORL;31;29;2468;45;15;20;30;9;18
zac-macmath;RSL;34;34;3060;45;6;83.3;25;1;1
fafa-picault;HOU;30;26;2359;45;125;47.2;40;32;31
alexander-ring;ATX;34;32;2786;45;48;41.7;38;48;29
gabriel-slonina;CHI;32;32;2880;45;14;85.7;36;0;1
alistair-johnston;MTL;33;30;2648;44;49;44.9;37;46;32
johnny-russell;SKC;33;31;2707;44;94;54.3;34;22;16
daniel-salloi;SKC;29;28;2533;44;46;21.7;15;19;13
robert-taylor;MIA;33;26;2239;44;27;59.3;14;10;29
joel-waterman;MTL;30;30;2673;44;51;62.8;79;29;36
michael-boxall;MIN;31;31;2790;43;76;61.8;131;29;46
nick-hagglund;CIN;32;31;2719;43;140;72.9;129;31;42
dejuan-jones;NE;31;31;2740;43;55;34.5;58;20;32
mauricio-pereyra;ORL;32;31;2551;43;32;37.5;11;40;26
gyasi-zardes;COL;26;24;2063;43;120;41.7;12;12;0
julian-araujo;LA;33;30;2742;42;56;51.8;73;40;45
alex-bono;TOR;24;24;2160;42;10;90;11;1;1
joao-moutinho;ORL;28;28;2461;42;60;66.7;43;38;30
rudy-camacho;MTL;28;28;2480;42;79;67.1;66;29;51
roman-celentano-x4766;CIN;27;27;2430;42;6;100;20;1;1
kemar-lawrence;MIN;27;26;2308;42;49;63.3;80;12;30
jayden-nelson;TOR;31;25;1982;42;36;50;8;29;13
diego-rubio;COL;30;28;2445;42;102;55.9;30;35;9
