name;club;games_played;games_started;mins;goals_against;aerial_duels;areial_duel_perc;clearances;fouls;interception
giles-barnes;HOU;34;34;3028;58;197;43.1;20;52;12
dan-kennedy;CHV;33;33;2957;57;14;92.9;21;2;2
marvell-wynne;COL;28;27;2404;54;61;45.9;99;20;54
nick-labrocca;COL;31;29;2584;53;42;45.2;37;38;44
kofi-sarkodie;HOU;32;32;2872;52;54;53.7;59;43;28
raymon-gaddis;PHI;34;34;3051;51;38;36.8;68;37;73
deshorn-brown;COL;30;26;2288;50;81;35.8;14;31;11
jon-busch;SJ;34;34;3060;50;15;93.3;29;0;1
stefan-frei;SEA;34;34;3060;50;13;84.6;15;0;2
jeff-larentowicz;CHI;33;33;2970;50;89;58.4;107;51;72
luis-robles;RBNY;34;34;3060;50;14;100;42;0;2
osvaldo-alonso;SEA;33;33;2952;49;25;72;56;45;73
clint-irwin;COL;26;25;2336;49;12;91.7;32;0;4
sean-johnson;CHI;33;33;2970;49;13;100;48;0;3
amobi-okugo;PHI;32;31;2797;49;101;56.4;99;39;69
felipe-martins;MTL;31;28;2456;48;41;21.9;17;43;27
diego-valeri;POR;33;32;2763;47;72;36.1;7;24;14
sam-cronin;SJ;31;30;2627;46;45;53.3;71;36;57
david-horst;HOU;31;31;2653;46;180;73.3;206;37;71
will-johnson;POR;29;29;2526;46;45;51.1;53;25;37
justin-morrow;TOR;31;30;2676;46;83;48.2;89;29;77
eric-avila;CHV;29;26;2171;45;24;41.7;37;23;43
joe-bendik;TOR;27;27;2430;45;8;75;30;1;1
diego-chara;POR;31;31;2745;45;28;53.6;59;83;59
zac-macmath;PHI;29;29;2610;45;10;90;45;2;3
dillon-powers;COL;30;27;2328;45;80;38.8;19;25;12
lloyd-sam;RBNY;32;32;2832;45;25;32;13;30;23
marc-burch;COL;22;21;1899;44;27;48.1;36;21;53
tally-hall;HOU;24;24;2150;44;12;91.7;21;2;0
chris-klute;COL;25;24;2132;44;45;44.4;60;20;54
chad-marshall;SEA;31;31;2790;44;171;73.7;206;20;137
jose-mari;COL;20;20;1745;44;82;51.2;38;22;37
darlington-nagbe;POR;32;30;2681;44;49;49;9;13;6
donovan-ricketts;POR;32;32;2861;44;7;100;23;2;3
eric-alexander;RBNY;34;30;2641;43;51;41.2;18;11;39
hassoun-camara;MTL;28;26;2365;43;125;68.8;103;56;92
thierry-henry;RBNY;30;30;2651;43;55;45.5;25;33;18
dax-mccarty;RBNY;31;29;2661;43;54;53.7;23;26;57
lovel-palmer;CHI;30;29;2625;43;81;51.9;115;31;86
